period,name,cash,n_candidates,n_accepted,n_natural,n_blocked,n_rejected_capacity,n_rejected_ruined,net_wins,net_losses,max_consecutive_net_loss,max_consecutive_losing_stop,max_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,abandoned_cycles,capacity_failed_cycles,capped_cycles,natural_sum_net_r,natural_positive_cash,natural_negative_cash,n_boundary_marks,boundary_mark_pnl,initial_balance,final_balance,profit,final_cash_excluding_boundary,win_rate,active_months,ruined,cash_pf,n_partial,n_full_initial_stop,max_full_initial_stop,max_price_loss,mean_net_r,mean_gross_r
development,whole_3r_trail1,fixed,923,755,755,168,0,0,213,542,17,12,1.0,2.7884493685175196,0.5314461339524458,82,75,0,75,-531.446133952446,356.3133661559456,-887.7595001083916,0,0.0,1000.0,468.5538660475542,-531.4461339524457,468.5538660475542,0.28211920529801326,17,False,0.40136249300902016,0,447,12,17,-0.7039021641754246,0.017368852242174587
development,whole_3r_trail2,fixed,923,755,755,168,0,0,207,548,18,13,1.0,2.798888307401694,0.5465369285736443,92,76,0,76,-546.5369285736446,344.2826036623106,-890.8195322359552,0,0.0,1000.0,453.4630714263556,-546.5369285736444,453.4630714263556,0.27417218543046357,17,False,0.38647850793994376,0,447,12,17,-0.7238899716207207,-0.0026189552031213917
development,whole_3r_trail3,fixed,923,754,754,169,0,0,195,559,18,13,1.0,2.8039966626596895,0.5418515882665882,76,78,0,78,-541.8515882665887,354.0258236442197,-895.8774119108082,0,0.0,1000.0,458.14841173341176,-541.8515882665882,458.14841173341176,0.25862068965517243,17,False,0.3951721730422039,0,446,12,17,-0.7186360587090028,0.003024469270381851
validation,whole_3r,fixed,653,526,526,127,0,0,149,377,16,11,1.0,1.526650067230157,0.23201685902607472,73,52,0,52,-227.9441554366239,283.32713742298506,-511.27129285960973,0,0.0,1000.0,772.0558445633753,-227.94415543662467,772.0558445633753,0.2832699619771863,12,False,0.5541620297871565,0,299,11,16,-0.43335390767419024,0.04743961803278508
validation,whole_3r,x1.5_net_win,653,525,525,126,2,0,148,377,24,11,7.59375,7.187580085608363,0.5087987169127866,112,57,2,19,-228.10504452629473,687.866851252043,-1190.6593334019897,0,0.0,1000.0,497.20751785005325,-502.79248214994675,497.20751785005325,0.2819047619047619,12,False,0.5777192786845655,0,299,11,24,-0.43448579909770463,0.04180874180992134
validation,whole_3r,x1.5_recovery,653,524,524,126,3,0,147,377,24,11,7.59375,7.327325715789924,0.5964004592457225,107,36,3,33,-229.80580435162213,792.3643418994995,-1386.9739765235183,0,0.0,1000.0,405.39036537598054,-594.6096346240195,405.39036537598054,0.28053435114503816,12,False,0.5712899847519697,0,299,11,24,-0.4385606953275235,0.03615917183987675
validation,whole_3r,x2.0_net_win,653,512,512,123,18,0,143,369,23,10,32.0,9.68941737530974,0.7326621185462274,115,55,18,9,-224.0964631417082,1468.5418660540836,-2189.2784913821024,0,0.0,1000.0,279.26337467198164,-720.7366253280184,279.26337467198164,0.279296875,12,False,0.6707880572685779,0,291,10,23,-0.4376884045736491,0.032385762481057734
validation,whole_3r,x2.0_recovery,653,501,501,119,33,0,138,363,21,9,32.0,9.719260118049977,0.7950887850981094,109,44,33,11,-222.07653574036638,1523.4869796107125,-2317.390204017756,0,0.0,1000.0,206.09677559295693,-793.9032244070431,206.09677559295693,0.2754491017964072,12,False,0.6574149562595801,0,285,9,21,-0.4432665384039252,0.014288848378189478
validation,whole_3r_be1,fixed,653,548,548,105,0,0,118,430,26,15,1.0,1.583021005012657,0.25535700020668106,60,59,0,59,-253.656240381353,221.39556233519056,-475.0518027165442,0,0.0,1000.0,746.3437596186463,-253.65624038135365,746.3437596186463,0.21532846715328466,12,False,0.4660450945963334,0,249,6,12,-0.46287635106086317,0.01583234044215426
validation,whole_3r_be1,x1.5_net_win,653,547,547,104,2,0,117,430,26,15,7.59375,7.32934620502273,0.4818461908401105,87,58,2,26,-254.81712947102386,709.9983079772396,-1186.1978342214898,0,0.0,1000.0,523.8004737557501,-476.1995262442499,523.8004737557501,0.21389396709323583,12,False,0.5985496579861964,0,250,6,12,-0.4658448436398974,0.008541998038874383
validation,whole_3r_be1,x1.5_recovery,653,546,546,104,3,0,118,428,26,15,7.59375,9.164423925091215,0.6483718848740194,85,45,3,42,-249.707359872458,712.2353892277279,-1355.545511637792,0,0.0,1000.0,356.68987758993546,-643.3101224100645,356.68987758993546,0.21611721611721613,12,False,0.5254234425277198,0,249,6,12,-0.45733948694589377,0.015890334363187784
validation,whole_3r_be1,x2.0_net_win,653,533,533,101,19,0,111,422,27,17,32.0,9.708077419102702,0.7032518376270718,90,56,19,16,-254.63966528417052,1735.9762583919646,-2399.948189506461,0,0.0,1000.0,336.02806888550367,-663.9719311144963,336.02806888550367,0.20825515947467166,12,False,0.7233390562272766,0,244,6,12,-0.47774796488587357,-0.012934746387288792
validation,whole_3r_be1,x2.0_recovery,653,511,511,91,51,0,108,403,24,14,32.0,9.730742052506288,0.9017792927275347,88,64,51,13,-237.31989327951493,1122.461978286093,-2021.9153681407797,0,0.0,1000.0,100.54661014531285,-899.4533898546872,100.54661014531285,0.21135029354207435,12,False,0.5551478543428032,0,236,6,15,-0.4644224917407337,-0.014692764992538103
validation,p50_1_be,fixed,653,548,548,105,0,0,198,350,18,8,1.0,1.601512866912161,0.2632309807728349,64,51,0,51,-262.53022094750776,156.6834253094554,-419.2136462569629,0,0.0,1000.0,737.4697790524925,-262.5302209475075,737.4697790524925,0.3613138686131387,12,False,0.37375554614797557,261,249,6,12,-0.4790697462545759,-0.000361054751558449
validation,p50_1_be,x1.5_net_win,653,547,547,105,1,0,198,349,17,8,7.59375,8.562847739009396,0.5554987342503539,119,93,1,13,-260.6540913928518,352.6837437279548,-906.605768371322,0,0.0,1000.0,446.07797535663286,-553.9220246433672,446.07797535663286,0.3619744058500914,12,False,0.38901555232936125,260,249,6,12,-0.47651570638546903,-0.0012757915975395227
validation,p50_1_be,x1.5_recovery,653,545,545,105,3,0,198,347,16,8,7.59375,9.542363497901128,0.7917162289220095,98,44,3,41,-259.63601434033853,418.6108735212566,-1207.7254708486055,0,0.0,1000.0,210.8854026726519,-789.1145973273481,210.8854026726519,0.363302752293578,12,False,0.3466109506054556,259,248,6,12,-0.4763963565877768,-0.0031220323649364316
validation,p50_1_be,x2.0_net_win,653,529,529,100,24,0,191,338,15,9,32.0,9.051264431581956,0.8514947024090384,130,89,24,4,-252.89949147097187,568.9273683582021,-1418.9957858469286,0,0.0,1000.0,149.93158251127488,-850.0684174887251,149.93158251127488,0.3610586011342155,12,False,0.40093661590308205,250,241,6,11,-0.4780708723458822,-0.018345294852757706
validation,p50_1_be,x2.0_recovery,653,509,509,90,54,0,189,320,11,8,32.0,9.6176729751478,0.9324988095326954,123,60,52,8,-242.26856034221365,647.7818577717087,-1579.401655070234,0,0.0,1000.0,68.38020270147447,-931.6197972985256,68.38020270147447,0.3713163064833006,12,False,0.410143838770957,236,235,6,10,-0.4759696666841128,-0.028888989461099218
validation,p70_1_be,fixed,653,548,548,105,0,0,230,318,17,7,1.0,1.6090359189993837,0.26638276358481394,66,50,0,50,-266.0820037594869,144.5794927877564,-410.6614965472429,0,0.0,1000.0,733.9179962405135,-266.0820037594865,733.9179962405135,0.4197080291970803,12,False,0.35206488556475574,261,249,6,12,-0.48555110175088817,-0.00684241024787088
validation,p70_1_be,x1.5_net_win,653,547,547,105,1,0,230,317,16,7,7.59375,8.708719945146584,0.5625586142387109,134,109,1,12,-264.405874204831,265.16412155115484,-827.0460261828789,0,0.0,1000.0,438.1180953682759,-561.8819046317242,438.1180953682759,0.42047531992687387,12,False,0.3206159187717576,260,249,6,12,-0.48337454150791737,-0.008134626719987884
validation,p70_1_be,x1.5_recovery,653,546,546,104,3,0,229,317,16,7,7.59375,9.09275566578187,0.7778846148121622,91,39,3,36,-266.8436526744853,423.45980405814896,-1201.3444188703113,0,0.0,1000.0,222.11538518783777,-777.8846148121622,222.11538518783777,0.4194139194139194,12,False,0.3524882601580244,258,250,6,12,-0.4887246385979584,-0.0158525162215807
validation,p70_1_be,x2.0_net_win,653,534,534,100,19,0,225,309,15,9,32.0,9.181577255687245,0.8253876997312625,148,100,19,4,-254.79978393100532,420.3605095741599,-1245.7482093054218,0,0.0,1000.0,174.61230026873756,-825.3876997312625,174.61230026873756,0.42134831460674155,12,False,0.33743617404719023,252,244,6,11,-0.4771531534288488,-0.01789414579959451
validation,p70_1_be,x2.0_recovery,653,507,507,95,51,0,216,291,14,6,32.0,9.775537025558299,0.9311750735736903,132,57,50,7,-237.7979895797217,584.3880608804684,-1515.2426046553262,0,0.0,1000.0,69.14545622514234,-930.8545437748577,69.14545622514234,0.4260355029585799,12,False,0.3856729338820299,238,232,6,11,-0.46902956524599937,-0.019774326830365327
preholdout,whole_3r,fixed,233,189,189,44,0,0,50,139,13,12,1.0,1.3727116000347641,0.12008068410290984,13,19,0,19,-120.0806841029094,95.60092977787428,-215.68161388078408,0,0.0,1000.0,879.9193158970902,-120.0806841029098,879.9193158970902,0.26455026455026454,4,False,0.44325025234054843,0,110,9,10,-0.6353475349360286,0.01091124294303851
preholdout,whole_3r,x1.5_net_win,233,189,189,44,0,0,50,139,13,12,7.59375,7.86878310627569,0.2746030593389298,34,25,0,9,-120.0806841029094,239.24058172200068,-513.8436410609305,0,0.0,1000.0,725.3969406610702,-274.6030593389298,725.3969406610702,0.26455026455026454,4,False,0.46559023524751963,0,110,9,10,-0.6353475349360286,0.01091124294303851
preholdout,whole_3r,x1.5_recovery,233,189,189,44,0,0,50,139,13,12,7.59375,7.957974146650319,0.2835635716511644,31,13,0,13,-120.0806841029094,292.1071838393741,-574.3753608524887,0,0.0,1000.0,717.7318229868854,-282.2681770131146,717.7318229868854,0.26455026455026454,4,False,0.5085649624765035,0,110,9,10,-0.6353475349360286,0.01091124294303851
preholdout,whole_3r,x2.0_net_win,233,185,185,40,8,0,50,135,13,12,32.0,9.463747681094448,0.2745512882919833,39,21,8,2,-113.30663719034166,553.5937239737777,-826.943140922639,0,0.0,1000.0,726.6505830511387,-273.3494169488613,726.6505830511387,0.2702702702702703,4,False,0.6694459347665921,0,108,12,13,-0.612468309136982,0.02329009715109345
preholdout,whole_3r,x2.0_recovery,233,183,183,42,8,0,50,133,11,10,32.0,9.68537231050397,0.2954608469601334,39,11,8,3,-107.83341516978628,634.1912860307065,-897.6085134987819,0,0.0,1000.0,736.5827725319245,-263.41722746807545,736.5827725319245,0.273224043715847,4,False,0.7065343927707378,0,105,7,9,-0.5892536348075754,0.04038415642630292
preholdout,whole_3r_be1,fixed,233,195,195,38,0,0,38,157,15,15,1.0,1.3763555532480496,0.1310770861740479,20,23,0,23,-131.07708617404754,68.87804815567756,-199.9551343297254,0,0.0,1000.0,868.9229138259522,-131.07708617404785,868.9229138259522,0.19487179487179487,4,False,0.34446751460804137,0,88,8,8,-0.6721901855079362,-0.029585893460740698
preholdout,whole_3r_be1,x1.5_net_win,233,195,195,38,0,0,38,157,15,15,7.59375,8.125926880266288,0.2968381964363167,26,24,0,12,-131.07708617404754,219.7731489869966,-514.2880493724072,0,0.0,1000.0,705.4850996145894,-294.51490038541056,705.4850996145894,0.19487179487179487,4,False,0.42733473829537516,0,88,8,8,-0.6721901855079362,-0.029585893460740698
preholdout,whole_3r_be1,x1.5_recovery,233,195,195,38,0,0,38,157,15,15,7.59375,8.786974226433234,0.35223611442856917,24,18,0,18,-131.07708617404754,212.55112790384226,-562.4639462815053,0,0.0,1000.0,650.087181622337,-349.91281837766303,650.087181622337,0.19487179487179487,4,False,0.3778928930628087,0,88,8,8,-0.6721901855079362,-0.029585893460740698
preholdout,whole_3r_be1,x2.0_net_win,233,184,184,34,15,0,35,149,13,12,32.0,9.374256664768042,0.5994761619613684,30,24,15,4,-124.89087101887127,297.1450434966777,-896.6212054580462,0,0.0,1000.0,400.5238380386315,-599.4761619613685,400.5238380386315,0.19021739130434784,4,False,0.331405326672905,0,83,6,8,-0.6787547337982135,-0.04973204532532123
preholdout,whole_3r_be1,x2.0_recovery,233,182,182,33,18,0,34,148,13,12,32.0,9.41627740467449,0.6225437952359544,27,22,18,4,-124.99290086644135,280.71754400868633,-903.2613392446408,0,0.0,1000.0,377.4562047640456,-622.5437952359543,377.4562047640456,0.18681318681318682,4,False,0.31078219759016645,0,83,6,8,-0.6867741805848426,-0.06677307883447804
preholdout,p50_1_be,fixed,233,195,195,38,0,0,71,124,13,13,1.0,1.3736668942246184,0.13017325920134604,18,19,0,19,-130.17325920134635,48.243464699720334,-178.41672390106635,0,0.0,1000.0,869.826740798654,-130.173259201346,869.826740798654,0.3641025641025641,4,False,0.2703976602914857,93,88,8,8,-0.6675551753915198,-0.024950883344324437
preholdout,p50_1_be,x1.5_net_win,233,195,195,38,0,0,71,124,13,13,7.59375,5.26761418434863,0.2931725373325418,39,39,0,7,-130.17325920134635,89.4785840530418,-382.65112138558356,0,0.0,1000.0,706.8274626674582,-293.17253733254176,706.8274626674582,0.3641025641025641,4,False,0.2338385517571174,93,88,8,8,-0.6675551753915198,-0.024950883344324437
preholdout,p50_1_be,x1.5_recovery,233,195,195,38,0,0,71,124,13,13,7.59375,5.529098326094312,0.36551351271891386,24,15,0,15,-130.17325920134635,154.7750867497375,-520.2885994686513,0,0.0,1000.0,634.4864872810862,-365.51351271891383,634.4864872810862,0.3641025641025641,4,False,0.29747929688984676,93,88,8,8,-0.6675551753915198,-0.024950883344324437
preholdout,p50_1_be,x2.0_net_win,233,189,189,36,8,0,70,119,11,11,32.0,8.526872723696778,0.4513416368861414,44,35,8,1,-122.14034636922415,126.3826826013559,-577.7243194874973,0,0.0,1000.0,548.6583631138586,-451.3416368861414,548.6583631138586,0.37037037037037035,4,False,0.21875949884448476,91,84,7,8,-0.6462452188847839,-0.017813258196106452
preholdout,p50_1_be,x2.0_recovery,233,186,186,35,12,0,70,116,11,11,32.0,8.526872723696778,0.4314044566317201,35,14,12,2,-117.57587835916843,338.31569195833174,-769.7201485900518,0,0.0,1000.0,568.5955433682799,-431.4044566317201,568.5955433682799,0.3763440860215054,4,False,0.43953077307128746,89,83,7,8,-0.6321283782750989,-0.018119965845501577
preholdout,p70_1_be,fixed,233,195,195,38,0,0,75,120,13,12,1.0,1.3725943695478406,0.12981407103654818,20,19,0,19,-129.81407103654863,44.72429389421825,-174.53836493076642,0,0.0,1000.0,870.1859289634518,-129.81407103654817,870.1859289634518,0.38461538461538464,4,False,0.2562433417544555,93,88,8,8,-0.6657131848028135,-0.023108892755618015
preholdout,p70_1_be,x1.5_net_win,233,195,195,38,0,0,75,120,13,12,7.59375,5.237401817386817,0.2969688453835574,41,41,0,7,-129.81407103654863,75.43695028956517,-372.4057956731226,0,0.0,1000.0,703.0311546164426,-296.96884538355744,703.0311546164426,0.38461538461538464,4,False,0.20256653136456446,93,88,8,8,-0.6657131848028135,-0.023108892755618015
preholdout,p70_1_be,x1.5_recovery,233,195,195,38,0,0,75,120,13,12,7.59375,5.588040050975932,0.3792587108508537,30,15,0,15,-129.81407103654863,126.7113578525632,-505.9700687034169,0,0.0,1000.0,620.7412891491463,-379.25871085085373,620.7412891491463,0.38461538461538464,4,False,0.2504325170405233,93,88,8,8,-0.6657131848028135,-0.023108892755618015
preholdout,p70_1_be,x2.0_net_win,233,189,189,36,8,0,75,114,11,10,32.0,8.55373548914983,0.45601354109817016,46,38,8,1,-121.5808700199884,106.97327725907166,-562.9868183572419,0,0.0,1000.0,543.9864589018298,-456.0135410981702,543.9864589018298,0.3968253968253968,4,False,0.19001026981628555,91,84,7,8,-0.6432850265607851,-0.014853065872107687
preholdout,p70_1_be,x2.0_recovery,233,185,185,36,12,0,74,111,11,10,32.0,9.796892058106986,0.5423521642127374,37,15,12,3,-116.05220228115533,234.01179921506912,-776.3639634278065,0,0.0,1000.0,457.64783578726264,-542.3521642127373,457.64783578726264,0.4,4,False,0.3014202232956034,89,82,7,8,-0.6273092015197584,-0.011937995509798207
continuous_pre,whole_3r,fixed,1809,1466,1466,343,0,0,390,1076,17,13,1.0,8.45941803261999,0.8682038323050115,172,147,0,147,-868.2038323050124,753.0020730495827,-1621.2059053545938,0,0.0,1000.0,131.79616769498847,-868.2038323050115,131.79616769498847,0.2660300136425648,33,False,0.46447034923974345,0,852,12,17,-0.5922263521862287,0.0319303173958647
continuous_pre,whole_3r,x1.5_net_win,1809,630,630,142,1037,0,156,474,17,11,7.59375,9.77646180240376,0.9943284436965455,125,151,102,18,-430.84866889981436,563.0702149255077,-1556.3980432520607,0,0.0,1000.0,6.672171673445343,-993.3278283265547,6.672171673445343,0.24761904761904763,27,False,0.36177777103149295,0,366,11,17,-0.6838867760314516,-0.02476783786757573
continuous_pre,whole_3r,x1.5_recovery,1809,593,593,140,1076,0,149,444,17,11,7.59375,9.785081048798851,0.994082366277887,119,128,107,21,-403.29937158207974,535.6907520660714,-1529.445120695313,0,0.0,1000.0,6.24563137075779,-993.7543686292422,6.24563137075779,0.25126475548060706,27,False,0.35025169900998915,0,341,11,17,-0.6801001207117701,-0.024295709125451485
continuous_pre,whole_3r,x2.0_net_win,1809,433,433,107,1269,0,99,334,24,12,32.0,9.775464673718986,0.9958292974878071,90,132,122,1,-331.92629012785994,385.7652686519559,-1381.5945661397636,0,0.0,1000.0,4.170702512192884,-995.8292974878071,4.170702512192884,0.22863741339491916,22,False,0.27921741884799184,0,246,9,13,-0.7665734183091454,-0.051905319950939395
continuous_pre,whole_3r,x2.0_recovery,1809,463,463,104,1242,0,112,351,24,12,32.0,9.79726898637986,0.9953655378647209,104,150,149,1,-321.17441026885757,387.03571864351204,-1382.4012565082328,0,0.0,1000.0,4.634462135279078,-995.365537864721,4.634462135279078,0.24190064794816415,22,False,0.2799735003287789,0,263,9,13,-0.6936812316821974,-0.01627112179147634
