side,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,p95_net_bp,p99_net_bp,max_net_bp,median_hold_bars,armed_events,armed_rate,armed_net_loss_rate,mean_exit_giveback_atr
long,251,5.80286191779584,-14.197138082204168,-61.44983952197201,0.27091633466135456,0.7362574574671569,312.11448577368907,498.0757270441971,599.8134838308599,19.0,107,0.4262948207171315,0.37383177570093457,3.768274992001524
short,274,1.9987043066216024,-18.001295693378403,-60.16551076100217,0.22262773722627738,0.6721025679432875,299.2288616067229,393.01137702103506,449.23531330982814,22.0,126,0.45985401459854014,0.5158730158730159,3.5942775816389894
