signal_family,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,p95_net_bp,p99_net_bp,max_net_bp,median_hold_bars,armed_events,armed_rate,armed_net_loss_rate,mean_exit_giveback_atr,period
direct+rejection+coil,501,6.4934267941122155,-13.50657320588777,-54.980102832844,0.23952095808383234,0.7464327298676091,274.738811723715,497.036180457128,1218.165301415947,21.0,211,0.42115768463073855,0.43601895734597157,3.9750318785514,development_2024_to_2026-02
rejection,1907,3.374035011659972,-16.625964988339973,-53.995091355176,0.22496067121132668,0.6904568571902294,245.01038578889543,567.1552810446926,1382.5592570004899,24.0,817,0.42842160461457784,0.4883720930232558,3.671939556120618,development_2024_to_2026-02
coil,675,2.6499466296536474,-17.350053370346316,-60.565523947597,0.21185185185185185,0.697281450608272,269.0912963606956,768.9643538953349,1210.9709334192692,20.0,265,0.3925925925925926,0.4679245283018868,4.028863574502313,development_2024_to_2026-02
direct+rejection,3118,0.8889424236195967,-19.111057576380357,-56.007380320633494,0.21840923669018603,0.649378950772117,241.59799752784454,578.1476229012588,1042.8121016501161,21.5,1329,0.42623476587556125,0.49887133182844245,3.746362851030748,development_2024_to_2026-02
direct,842,-0.2971617905089716,-20.297161790508913,-50.2094670539115,0.2161520190023753,0.6029553858570345,224.78586346261483,521.0373822481779,750.822887750235,21.0,380,0.4513064133016627,0.531578947368421,3.7226360899127946,development_2024_to_2026-02
direct+coil,45,-5.6390696738008685,-25.639069673800826,-60.858306405933,0.1111111111111111,0.5854797762575173,175.65867242464518,650.5001444473384,656.0635680125459,19.0,19,0.4222222222222222,0.7368421052631579,3.793620703317587,development_2024_to_2026-02
rejection+coil,67,-7.366111016709134,-27.36611101670911,-62.85174268397,0.14925373134328357,0.5508042586166906,210.69615540475317,487.7051935503969,571.990394596483,16.0,20,0.29850746268656714,0.5,3.866995216778997,development_2024_to_2026-02
rejection+coil,9,31.483311741329345,11.483311741329338,-81.38903586755839,0.2222222222222222,1.1608972930473664,402.0378105464658,495.4646770373753,518.8213936601027,5.0,2,0.2222222222222222,0.0,2.189363275808958,fresh_2026-03_to_2026-05-03
direct,63,23.868337050580948,3.8683370505809385,-44.02418067880996,0.30158730158730157,1.0821757103192884,419.83809561315655,523.8737613212678,599.8134838308599,32.0,35,0.5555555555555556,0.45714285714285713,4.125393778067001,fresh_2026-03_to_2026-05-03
rejection,134,5.525776715287913,-14.47422328471209,-50.81033790601651,0.2537313432835821,0.7248350403331042,297.799182251016,377.3052068487858,449.23531330982814,21.0,60,0.44776119402985076,0.43333333333333335,3.602558381676572,fresh_2026-03_to_2026-05-03
direct+rejection,206,1.489542946676861,-18.510457053323147,-62.418027500759074,0.24271844660194175,0.6584314326770285,292.8712014880988,402.8661276398919,422.86242527465936,21.0,93,0.45145631067961167,0.4731182795698925,3.695539615366204,fresh_2026-03_to_2026-05-03
coil,58,-0.3567951650705088,-20.35679516507052,-62.72032497639577,0.22413793103448276,0.6632729446974082,336.9631477035819,470.80073581846057,528.8544272663142,14.5,25,0.43103448275862066,0.48,3.7053604901551513,fresh_2026-03_to_2026-05-03
direct+rejection+coil,53,-12.937369245255455,-32.93736924525546,-67.21913151291557,0.20754716981132076,0.43008746401711256,167.22923262947754,334.2736079391019,384.46368178096213,16.0,17,0.32075471698113206,0.35294117647058826,3.496385302435197,fresh_2026-03_to_2026-05-03
direct+coil,2,-61.908477884436984,-81.90847788443699,-81.90847788443699,0.0,0.0,-70.50264249181812,-69.48879045691868,-69.23532744819381,17.5,1,0.5,1.0,3.410844746400495,fresh_2026-03_to_2026-05-03
