policy,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,p95_net_bp,p99_net_bp,max_net_bp,median_hold_bars,armed_events,armed_rate,armed_net_loss_rate,mean_exit_giveback_atr
Fixed +5ATR,525,-0.37979670145472816,-20.37979670145474,-68.61461926128685,0.31047619047619046,0.6476582767274651,179.06602914134328,248.5887922647666,277.9392002754322,14.0,149,0.2838095238095238,0.0,2.723652196086123
Grid locked EMA30,525,0.6019763415863231,-19.39802365841369,-65.72363674124614,0.31238095238095237,0.6486008980572706,244.83598836126038,430.85943239044013,678.0131918811128,18.0,183,0.3485714285714286,0.1092896174863388,3.379242445349171
Saved Pine SMA60,525,3.817453945487762,-16.182546054512247,-60.51490907390543,0.24571428571428572,0.7024598904333891,306.9289548857827,444.0608452126972,599.8134838308599,21.0,233,0.4438095238095238,0.45064377682403434,3.67746491497422
