failure_category,events,mean_net_bp,cumulative_net_bp,mean_mfe_at_exit_atr,mean_exit_giveback_atr
failed_before_activation,291,-83.5300000285891,-24307.230008319428,0.8917873713962696,2.891787371396272
armed_then_reversed_to_loss,85,-47.49157686187193,-4036.7840332591136,4.269282982227713,5.1483270299874
cost_erased_after_arm,20,-10.478525940741541,-209.57051881483085,5.056440111980802,4.733973474399663
small_win_unarmed,1,20.612308653547036,20.612308653547036,1.9635691899824577,0.4353487691338713
armed_winner_retained,24,221.70237695621358,5320.857046949126,8.28554869631134,1.2751193592316101
armed_winner_large_giveback,104,141.50267813626704,14716.27852617177,10.839295477754488,5.05609110439938
