feature,quartile,events,feature_min,feature_max,mean_net_bp,win_rate
signal_score,Q1,132,0.2655350881511451,0.48065227051719805,-7.709441653696361,0.2727272727272727
signal_score,Q2,131,0.4821092461003655,0.6020744457659317,-19.369637537798344,0.2366412213740458
signal_score,Q3,131,0.6035003903746886,0.7440908001910024,-28.008927101851686,0.20610687022900764
signal_score,Q4,131,0.7444467205605045,0.9810478615770221,-9.706858110968367,0.26717557251908397
atr_ratio96,Q1,132,0.39771877577851505,0.7991036928174137,-5.363222044872221,0.2803030303030303
atr_ratio96,Q2,131,0.8004352485729977,0.9438508309638749,-19.421175076894958,0.20610687022900764
atr_ratio96,Q3,131,0.9460724243843543,1.1232059068856517,-17.883736069914438,0.22900763358778625
atr_ratio96,Q4,131,1.126509402834948,2.690264927471955,-22.144641285982942,0.26717557251908397
adx14,Q1,132,8.233994125110936,15.582900736090282,-11.50338863080594,0.22727272727272727
adx14,Q2,131,15.629365593256551,19.586194262875665,1.4927736022444233,0.31297709923664124
adx14,Q3,131,19.597902619135596,25.490845142364215,-26.66031078223065,0.2366412213740458
adx14,Q4,131,25.523467781913713,49.6574718322945,-28.094977166216395,0.20610687022900764
signed_body_atr,Q1,132,0.10300414298870982,0.42314551527582844,-19.663221095145087,0.22727272727272727
signed_body_atr,Q2,131,0.42322513942192147,0.6663773737701751,-7.48080696183099,0.29770992366412213
signed_body_atr,Q3,131,0.6699676094055292,1.003478802500261,-24.225972656169034,0.20610687022900764
signed_body_atr,Q4,131,1.0095418363113102,5.076322675250861,-13.333613466425762,0.25190839694656486
sma60_sma160_spread_atr,Q1,132,-10.64547090000986,-2.0720039567805095,-13.084218662955243,0.30303030303030304
sma60_sma160_spread_atr,Q2,131,-2.0641822821470095,-0.06917335558072489,-2.3744957118914565,0.24427480916030533
sma60_sma160_spread_atr,Q3,131,-0.05694289045667839,2.144483012413676,-28.034979058497562,0.22900763358778625
sma60_sma160_spread_atr,Q4,131,2.157668109792383,11.89201376232949,-21.26014213883875,0.20610687022900764
fee_to_risk,Q1,132,0.1434401132921785,0.2515321273841008,-28.127293946071486,0.25757575757575757
fee_to_risk,Q2,131,0.25185854720530537,0.3306161655627115,-23.474007546325318,0.20610687022900764
fee_to_risk,Q3,131,0.3314288154713946,0.42515959225147065,-9.042826738877748,0.2366412213740458
fee_to_risk,Q4,131,0.4275998760455767,1.1535030014710512,-3.9948747051594693,0.2824427480916031
