figure,symbol,timeframe,period,bars_after_v9,source,joint_reason,v9_net_r,joint_net_r,v9_mfe,joint_mfe,entry_premium_pct,joint_stop_above_v9_stop,matched,control_net_r,v9_max_close_r_before_exit,v9_held_bars,v9_mfe_rebuilt,v9_best_raw_trail_candidate_r,v9_h12_complete,v9_h12_close_r,v9_h12_close_return,v9_h12_max_r,v9_h12_min_r,v9_h12_first_touch,v9_h24_complete,v9_h24_close_r,v9_h24_close_return,v9_h24_max_r,v9_h24_min_r,v9_h24_first_touch,v9_h48_complete,v9_h48_close_r,v9_h48_close_return,v9_h48_max_r,v9_h48_min_r,v9_h48_first_touch,v9_post_exit48_complete,v9_post_exit48_max_r,v9_post_exit48_min_r,joint_max_close_r_before_exit,joint_held_bars,joint_mfe_rebuilt,joint_best_raw_trail_candidate_r,joint_h12_complete,joint_h12_close_r,joint_h12_close_return,joint_h12_max_r,joint_h12_min_r,joint_h12_first_touch,joint_h24_complete,joint_h24_close_r,joint_h24_close_return,joint_h24_max_r,joint_h24_min_r,joint_h24_first_touch,joint_h48_complete,joint_h48_close_r,joint_h48_close_return,joint_h48_max_r,joint_h48_min_r,joint_h48_first_touch,joint_post_exit48_complete,joint_post_exit48_max_r,joint_post_exit48_min_r
1,ETHUSDT,15m,earlier,1,本周期,opposite_v6_next_open,0.1855244494214221,0.2652347100873786,1.2872340425531894,1.4372517871326564,-0.14239184900619595,False,True,-0.953785796545122,1.0067189249719983,173,1.2872340425531894,,True,0.2946995147443073,0.006593452480374129,0.6075027995520674,-0.14352370287420801,neither,True,0.733855916386707,0.016418907633205082,0.8702874206793527,-0.14352370287420801,neither,True,0.6653602090332155,0.014886420577918669,1.2872340425531894,-0.14352370287420801,up_first,True,0.43747667039939586,-1.09742441209407,1.138800635424946,172,1.4372517871326564,,True,0.6193407466243102,0.013042623746022164,0.7202144559173991,-0.006949960285939462,neither,True,1.1308578236695919,0.023814601549726477,1.4372517871326564,-0.006949960285939462,up_first,True,0.7966640190627603,0.016776853629061117,1.4372517871326564,-0.006949960285939462,up_first,True,0.5331612390786356,-1.0998808578236743
2,MANAUSDT,15m,earlier,0,本周期,initial_stop,-1.151512195121953,-1.151512195121953,0.3414634146341546,0.3414634146341546,0.0,False,True,-1.258898305084743,0.21951219512195452,27,0.34146341463415,,True,-0.2439024390243909,-0.003219575016097931,0.14634146341463183,-0.7073170731707363,neither,True,0.02439024390243638,0.0003219575016097931,0.3170731707317136,-0.8536585365853682,neither,True,0.02439024390243638,0.0003219575016097931,0.34146341463415,-1.8780487804878045,down_first,True,2.292682926829277,-1.8780487804878045,0.21951219512195452,27,0.34146341463415,,True,-0.2439024390243909,-0.003219575016097931,0.14634146341463183,-0.7073170731707363,neither,True,0.02439024390243638,0.0003219575016097931,0.3170731707317136,-0.8536585365853682,neither,True,0.02439024390243638,0.0003219575016097931,0.34146341463415,-1.8780487804878045,down_first,True,2.292682926829277,-1.8780487804878045
3,MKRUSDT,15m,earlier,10,本周期,initial_stop,-0.1379215686274536,-1.1777333333333322,4.745098039215652,0.62424242424243,0.8875739644970349,True,True,-1.3068842105263136,2.872549019607826,128,4.745098039215652,0.14973457111456262,True,1.0980392156862517,0.007706068528966492,1.5098039215686074,-0.28431372549020373,up_first,True,0.37254901960783704,0.002614558965185143,1.7352941176470333,-0.28431372549020373,up_first,True,0.5882352941176444,0.004128250997660565,1.7352941176470333,-0.28431372549020373,up_first,True,0.6176470588235222,-6.823529411764689,0.4181818181818295,81,0.62424242424243,,True,-0.38787878787878494,-0.00436472754552264,0.29090909090909217,-0.7454545454545529,neither,True,-0.2545454545454608,-0.002864352451749319,0.29090909090909217,-0.7454545454545529,neither,True,-0.2484848484848464,-0.002796153583850436,0.29090909090909217,-0.7454545454545529,neither,True,2.151515151515181,-3.448484848484888
4,RIFUSDT,15m,earlier,169,上级 1h,initial_stop,10.955430894308993,-1.1477727272727254,15.813008130081371,3.2803030303030263,18.347287950491452,True,True,-0.2260145985401541,13.983739837398437,186,15.813008130081373,11.095302946360794,True,-0.45528455284552305,-0.006795291833515238,0.6016260162601688,-0.6260162601625984,neither,True,0.03252032520325084,0.0004853779881082154,0.6016260162601688,-0.8373983739837458,neither,True,-0.08130081300813274,-0.0012134449702706496,1.7560975609756244,-0.8373983739837458,up_first,True,14.878048780487863,10.650406504065085,1.5757575757575726,17,3.2803030303030263,,True,0.7045454545454538,0.009535527529990873,3.2803030303030263,-0.24242424242424274,up_first,True,-0.07575757575757783,-0.0010253255408592121,3.2803030303030263,-1.4166666666666727,up_first,True,-0.09848484848485223,-0.0013329232031170646,3.2803030303030263,-1.5303030303030343,up_first,True,2.409090909090897,-1.5303030303030343
5,ADAUSDT,15m,earlier,4,本周期,initial_stop,-1.0831333333333355,-1.0929815950920252,0.7888888888888925,0.1104294478527623,1.2830793905372895,True,True,2.2032475247524865,0.7333333333333366,7,0.7888888888888925,,True,-1.3000000000000056,-0.031275060144346445,0.7888888888888925,-1.3500000000000065,down_first,True,0.8777777777777844,0.021117348302593042,1.655555555555567,-1.550000000000004,down_first,True,2.011111111111122,0.048382785351510416,3.1222222222222404,-1.550000000000004,down_first,True,5.455555555555588,-1.550000000000004,-0.024539877300617633,2,0.11042944785276232,,True,-1.3374233128834396,-0.028767484824491985,0.11042944785276232,-2.3006134969325167,down_first,True,0.7975460122699403,0.017154922143045592,1.2392638036809827,-2.3006134969325167,down_first,True,2.546012269938652,0.05476378991818409,2.858895705521474,-2.3006134969325167,down_first,True,5.055214723926381,-2.3006134969325167
6,MANAUSDT,15m,earlier,1,本周期,trailing_stop,9.91485185185185,10.879246051961294,14.736111111111104,16.184411614875206,0.146484375,True,True,-1.0951260504201694,14.560185185185178,287,14.736111111111104,9.953024886104107,True,-0.5185185185185204,-0.02734375000000011,0.24074074074073984,-0.5324074074074077,neither,True,-0.09722222222222433,-0.005126953125000111,0.24074074074073984,-0.6388888888888903,neither,True,0.13888888888888895,0.00732421875,0.37037037037037057,-0.6388888888888903,neither,True,16.981481481481474,6.796296296296293,15.990830361691257,286,16.18441161487516,10.921311132952033,True,-0.48904737646459395,-0.023403217942467136,0.23433520122261764,-0.7335710646968924,neither,True,-0.15792154865002475,-0.007557289127254951,0.23433520122261764,-0.7335710646968924,neither,True,-0.14773306164034683,-0.0070697220867869115,0.3769740193581255,-0.7335710646968924,neither,True,18.65511971472233,7.44778400407538
7,SAGAUSDT,15m,earlier,4,本周期,trailing_stop,1.4567525897374167,0.6943535988819087,2.960732353649728,2.1500116468669983,2.08149105503026,True,True,-0.2467046998098399,2.864370031317759,97,2.960732353649728,1.5276319337516155,True,1.6285232474102675,0.045983266444459714,2.269332690917856,-0.2119971091303284,up_first,True,0.7419898819561548,0.020950955717297992,2.269332690917856,-0.2119971091303284,up_first,True,1.2165743194411,0.03435140466634912,2.269332690917856,-0.2119971091303284,up_first,True,2.9197783666586403,1.2551192483738887,2.0568367109247663,93,2.1500116468669983,0.7643140361059765,True,0.5986489634288402,0.01712534150729672,1.481481481481487,-0.12345679012345379,up_first,True,-0.16305613789890308,-0.004664489904711022,1.481481481481487,-0.5730258560447241,up_first,True,0.3750291171674828,0.010728326780835573,1.481481481481487,-0.5730258560447241,up_first,True,2.110412299091549,0.5008152806894973
8,RAYSOLUSDT,15m,earlier,0,本周期,initial_stop,-1.0337148025324094,-1.0337148025324094,0.3837805245703952,0.3837805245703952,0.0,False,True,0.4293724747474813,0.17365088935785594,10,0.38378052457039524,,True,-1.3252939403075068,-0.07861792689033542,0.38378052457039524,-1.4660838106722955,down_first,True,-1.6762134458848374,-0.09943486658559264,0.38378052457039524,-1.7030449201085327,down_first,True,-2.046728971962618,-0.12141426425352309,0.38378052457039524,-2.384986433524269,down_first,True,-1.0494422671088333,-2.384986433524269,0.17365088935785594,10,0.38378052457039524,,True,-1.3252939403075068,-0.07861792689033542,0.38378052457039524,-1.4660838106722955,down_first,True,-1.6762134458848374,-0.09943486658559264,0.38378052457039524,-1.7030449201085327,down_first,True,-2.046728971962618,-0.12141426425352309,0.38378052457039524,-2.384986433524269,down_first,True,-1.0494422671088333,-2.384986433524269
9,MYROUSDT,15m,earlier,14,本周期,opposite_v6_next_open,0.137882352941173,-0.5974315789473713,1.8382352941176432,0.6210526315789443,3.6423841059602724,True,True,-1.0735925925925922,1.7205882352941189,113,1.8382352941176434,,True,0.2941176470588217,0.011037527593818819,0.39705882352941085,-0.4117647058823514,neither,True,0.9705882352941189,0.036423841059602724,1.5,-0.4117647058823514,up_first,True,0.926470588235292,0.0347682119205297,1.5,-0.4117647058823514,up_first,True,1.1470588235294108,-1.6323529411764703,0.5368421052631562,99,0.6210526315789421,,True,-0.10526315789473953,-0.00532481363152304,0.37894736842105065,-0.26315789473684154,neither,True,0.021052631578946445,0.0010649627263046302,0.37894736842105065,-0.4315789473684204,neither,True,0.0,0.0,0.48421052631578654,-0.4421052631578936,neither,True,0.12631578947368233,-1.8631578947368372
10,DIAUSDT,15m,earlier,383,本周期,initial_stop,0.0889420289855043,-1.134658227848099,1.0362318840579696,0.1139240506329126,4.519551974847724,True,True,-0.3042000000000089,0.9444444444444452,393,1.0362318840579696,,True,0.22705314009661753,0.018471212418942784,0.5314009661835755,-0.0724637681159421,neither,True,0.39130434782608686,0.03183336608371001,0.5314009661835755,-0.0724637681159421,neither,True,0.7439613526570035,0.06052269601100391,1.0362318840579696,-0.0724637681159421,up_first,True,0.47826086956521574,0.0434782608695658,0.06329113924049921,6,0.11392405063291264,,True,-1.746835443037975,-0.025944726452340694,0.11392405063291264,-2.46835443037975,down_first,True,-1.5443037974683496,-0.02293664222598235,0.11392405063291264,-2.683544303797462,down_first,True,-0.7848101265822887,-0.01165632637713876,0.11392405063291264,-2.683544303797462,down_first,True,-0.40506329113925116,-2.683544303797462
