图号,币种,周期,时间段,分类,V9净R,V9持仓内最高R,联合净R,联合持仓内最高R,联合持仓内最高收盘R,退出后48根最高R,等待根数,联合入场贵百分比
1,ETHUSDT,15m,earlier,最终净盈利,0.1855244494214221,1.2872340425531894,0.2652347100873786,1.4372517871326564,1.138800635424946,0.5331612390786356,1,-0.1423918490061959
2,MANAUSDT,15m,earlier,先止损后48根内到1R,-1.151512195121953,0.3414634146341546,-1.151512195121953,0.3414634146341546,0.2195121951219545,2.292682926829277,0,0.0
3,MKRUSDT,15m,earlier,先止损后48根内到1R,-0.1379215686274536,4.745098039215652,-1.1777333333333322,0.62424242424243,0.4181818181818295,2.151515151515181,10,0.8875739644970349
4,RIFUSDT,15m,earlier,曾到1R后亏损,10.955430894308993,15.813008130081371,-1.1477727272727254,3.2803030303030263,1.5757575757575726,2.409090909090897,169,18.347287950491452
5,ADAUSDT,15m,earlier,先止损后48根内到1R,-1.0831333333333355,0.7888888888888925,-1.0929815950920252,0.1104294478527623,-0.0245398773006176,5.055214723926381,4,1.2830793905372897
6,MANAUSDT,15m,earlier,最终净盈利,9.91485185185185,14.736111111111104,10.879246051961294,16.184411614875206,15.990830361691255,18.65511971472233,1,0.146484375
7,SAGAUSDT,15m,earlier,最终净盈利,1.4567525897374167,2.960732353649728,0.6943535988819087,2.1500116468669983,2.0568367109247663,2.110412299091549,4,2.08149105503026
8,RAYSOLUSDT,15m,earlier,窗口内未达到1R,-1.0337148025324094,0.3837805245703952,-1.0337148025324094,0.3837805245703952,0.1736508893578559,-1.0494422671088333,0,0.0
9,MYROUSDT,15m,earlier,窗口内未达到1R,0.137882352941173,1.8382352941176432,-0.5974315789473713,0.6210526315789443,0.5368421052631562,0.1263157894736823,14,3.642384105960272
10,DIAUSDT,15m,earlier,窗口内未达到1R,0.0889420289855043,1.0362318840579696,-1.134658227848099,0.1139240506329126,0.0632911392404992,-0.4050632911392511,383,4.519551974847724
11,BOMEUSDT,15m,earlier,最终净盈利,0.9126053639846698,2.6628352490421463,1.1203333333333323,4.16666666666666,3.866666666666664,2.633333333333329,14,0.6893156080748364
12,BCHUSDT,15m,earlier,窗口内未达到1R,1.0925895953757152,5.049132947976917,-1.0590599315068483,0.6318493150684924,0.3809931506849303,-0.6292808219178098,17,3.013559524520648
13,POPCATUSDT,15m,earlier,最终净盈利,1.9499277108433788,6.425702811244997,1.843506891271065,6.110260336906598,4.372128637059718,6.830015313935673,1,0.0442771751162363
14,FISUSDT,15m,earlier,窗口内未达到1R,-1.1001388012618285,0.1798107255520476,-1.1269199999999984,0.0279999999999946,-0.1680000000000013,0.2599999999999933,2,-0.0441028225806383
15,SANDUSDT,15m,earlier,窗口内未达到1R,-0.910258726899382,1.3388090349075954,-1.1937432432432429,0.0912162162162148,0.0033783783783817,-0.108108108108103,72,1.8686940457581347
16,CHESSUSDT,15m,earlier,曾到1R后亏损,-1.0647926267281118,0.9262672811059935,-1.0787932960893858,1.0,0.921787709497206,-0.1620111731843567,37,0.3129445234708372
17,BANANAUSDT,15m,earlier,最终净盈利,1.680700000000004,2.9579999999999984,3.240223107569709,5.784860557768889,5.6533864541832415,3.557768924302774,96,0.1604754829123367
18,EIGENUSDT,15m,earlier,先止损后48根内到1R,3.897840425531873,6.340425531914842,-1.0910076923076917,0.1653846153846141,-0.0730769230769235,3.546153846153845,23,1.9650090493837704
19,AIOUSDT,15m,earlier,最终净盈利,0.2887002967359031,3.2017804154302674,0.602904458598732,3.468152866242048,2.063694267515921,1.5159235668789792,1,-0.1197031362221712
20,DOTUSDT,15m,later,曾到1R后亏损,-0.1635714285714116,1.7460317460317554,-0.6161421319796833,1.827411167512708,1.47208121827412,5.888324873096503,22,0.261352499183265
21,ETCUSDT,15m,later,先止损后48根内到1R,2.894866141732293,4.173228346456695,-1.399950000000017,0.6625000000000022,0.4499999999999944,8.774999999999991,149,0.9210194297249564
22,SSVUSDT,15m,later,窗口内未达到1R,-0.7647243243243255,0.1891891891891903,-0.7647243243243255,0.1891891891891903,0.1027027027027036,0.2162162162162168,0,0.0
23,TRUMPUSDT,15m,later,最终净盈利,-0.1912222222222263,1.6388888888888795,1.445739130434802,5.5652173913044285,5.13043478260878,3.695652173913092,52,-0.2047502047502147
24,AKEUSDT,15m,later,窗口内未达到1R,-1.0915348837209298,0.209302325581393,-1.121076923076925,0.2923076923076888,-0.0461538461538469,-0.4307692307692296,21,-0.0254065040650397
25,QUSDT,15m,later,先止损后48根内到1R,-1.042300357568534,2.2491060786650787,-1.079223427331886,0.1127982646420824,0.0390455531453376,1.026030368763561,79,2.9078613693998223
