n,auc,top_n,top_gross_bp,top_net_bp,top_win_pct,top_excess_bp,fold,minutes,cohort,arm,score
737,0.5361367687570896,74,1.6632889411633223,-18.336711058836695,31.08108108108108,-4.251151293108588,audit_pre,60,all_core,base,relative_volume
737,0.5243983957219251,74,-16.903332042405314,-36.90333204240534,27.027027027027028,-15.827026968872,audit_pre,60,all_core,base,tr_expansion
737,0.5074086452762924,74,-24.142522022729423,-44.14252202272944,24.324324324324326,64.89466485322984,audit_pre,60,all_core,base,near_zero_bars
685,0.5333779940295701,69,-16.225944806717862,-36.22594480671788,30.434782608695656,0.82159380079681,audit_pre,60,all_core,deriv_oi24_available,relative_volume
685,0.5195566838257762,69,-28.09053469890067,-48.09053469890068,27.536231884057973,12.534770039615909,audit_pre,60,all_core,deriv_oi24_available,tr_expansion
685,0.512610770279482,69,-10.492115649481148,-30.49211564948116,26.08695652173913,64.34342789679835,audit_pre,60,all_core,deriv_oi24_available,near_zero_bars
436,0.5559751820879417,44,78.17248000563222,58.1724800056322,38.63636363636363,66.1696968995988,audit_pre,60,all_core,deriv_oi24_down,relative_volume
436,0.5487516110661511,44,-20.953563530327827,-40.953563530327855,29.545454545454547,23.791053397167072,audit_pre,60,all_core,deriv_oi24_down,tr_expansion
436,0.5142223421155172,44,-11.776529857805723,-31.776529857805734,25.0,46.23979262608845,audit_pre,60,all_core,deriv_oi24_down,near_zero_bars
249,0.4903716216216216,25,-17.088683076418477,-37.088683076418505,28.000000000000004,-5.146371462907525,audit_pre,60,all_core,deriv_oi24_pos,relative_volume
249,0.4616554054054054,25,-40.65160395558888,-60.65160395558889,24.0,-8.101749449227894,audit_pre,60,all_core,deriv_oi24_pos,tr_expansion
249,0.5066722972972973,25,-8.231546642829905,-28.231546642829926,28.000000000000004,96.2058259732477,audit_pre,60,all_core,deriv_oi24_pos,near_zero_bars
700,0.5377523391712651,70,2.5238004276220862,-17.476199572377926,31.428571428571427,87.78873811305755,audit_pre,60,all_core,deriv_oi4_available,relative_volume
700,0.5231289486010671,70,-31.071745908448385,-51.0717459084484,27.142857142857142,44.76648941551986,audit_pre,60,all_core,deriv_oi4_available,tr_expansion
700,0.5077001290971199,70,-12.863842606656771,-32.86384260665678,25.71428571428571,42.05095061107593,audit_pre,60,all_core,deriv_oi4_available,near_zero_bars
327,0.5583376623376624,33,49.30171692615362,29.3017169261536,36.36363636363637,151.488382639697,audit_pre,60,all_core,deriv_oi4_pos,relative_volume
327,0.5426493506493506,33,-14.710724093737388,-34.7107240937374,27.27272727272727,69.7784490186475,audit_pre,60,all_core,deriv_oi4_pos,tr_expansion
327,0.5109090909090909,33,7.872514228237819,-12.127485771762197,27.27272727272727,11.231152939753839,audit_pre,60,all_core,deriv_oi4_pos,near_zero_bars
128,0.44884488448844884,13,84.48436688175471,64.48436688175471,30.76923076923077,279.70461193459494,audit_pre,60,all_core,deriv_taker55,relative_volume
128,0.49504950495049505,13,27.747083833171793,7.747083833171784,30.76923076923077,185.2459888225994,audit_pre,60,all_core,deriv_taker55,tr_expansion
128,0.49138247158049136,13,36.25366864267903,16.253668642679006,15.384615384615385,31.192656905554188,audit_pre,60,all_core,deriv_taker55,near_zero_bars
701,0.5379501448217666,71,24.53560884650337,4.535608846503355,32.3943661971831,90.5485059361676,audit_pre,60,all_core,deriv_taker_available,relative_volume
701,0.5237872602458549,71,-33.298856528683736,-53.29885652868374,26.76056338028169,51.11955839928862,audit_pre,60,all_core,deriv_taker_available,tr_expansion
701,0.5070187242000593,71,-15.06983689514881,-35.06983689514882,25.352112676056336,-24.030209082011538,audit_pre,60,all_core,deriv_taker_available,near_zero_bars
737,0.5702719584854892,74,110.7812557630255,90.78125576302546,50.0,42.099296725474545,audit_pre,60,all_core,exit_chandelier,relative_volume
737,0.5772631174322507,74,146.14581280654969,126.14581280654966,51.35135135135135,54.10234512191019,audit_pre,60,all_core,exit_chandelier,tr_expansion
737,0.5260266512909219,74,44.78749751785568,24.787497517855662,39.189189189189186,67.36668900231626,audit_pre,60,all_core,exit_chandelier,near_zero_bars
737,0.529385222786238,74,88.71539743031632,68.7153974303163,33.78378378378378,136.93447184981628,audit_pre,60,all_core,exit_fixed3r,relative_volume
737,0.532816318856928,74,93.04959537908076,73.04959537908073,33.78378378378378,121.13513641389416,audit_pre,60,all_core,exit_fixed3r,tr_expansion
737,0.5167888700883625,74,32.77785921158071,12.77785921158069,27.027027027027028,75.15114709594172,audit_pre,60,all_core,exit_fixed3r,near_zero_bars
737,0.560228633221334,74,-21.20494649347621,-41.20494649347622,32.432432432432435,-47.80544280377088,audit_pre,60,all_core,exit_sma60,relative_volume
737,0.5650079171976983,74,-18.970662177222827,-38.97066217722284,32.432432432432435,-28.76062410826619,audit_pre,60,all_core,exit_sma60,tr_expansion
737,0.5258708917468041,74,-15.380735355192922,-35.38073535519294,25.675675675675674,40.43761636740373,audit_pre,60,all_core,exit_sma60,near_zero_bars
173,0.573540280857354,18,57.59020464920185,37.59020464920185,38.88888888888889,80.96090058432725,audit_pre,60,all_core,gate_box_break,relative_volume
173,0.5352919438285292,18,28.0572391900837,8.057239190083685,33.33333333333333,-24.05240026541857,audit_pre,60,all_core,gate_box_break,tr_expansion
173,0.49889135254988914,18,-2.2456901058698984,-22.245690105869908,27.77777777777778,65.40928113560325,audit_pre,60,all_core,gate_box_break,near_zero_bars
176,0.6020356234096692,18,145.83876881527718,125.83876881527716,38.88888888888889,129.3858216914457,audit_pre,60,high_vol,base,relative_volume
176,0.5446988973706531,18,-7.8074556365834855,-27.807455636583526,22.22222222222222,-35.09996729009534,audit_pre,60,high_vol,base,tr_expansion
176,0.5111959287531807,18,-19.92703857873597,-39.92703857873597,33.33333333333333,-99.49223285031343,audit_pre,60,high_vol,base,near_zero_bars
154,0.5627023526872437,16,74.68901012899519,54.68901012899516,37.5,100.93035716705656,audit_pre,60,high_vol,deriv_oi24_available,relative_volume
154,0.5050723073602418,16,-42.098949266864686,-62.09894926686471,25.0,95.80372290428895,audit_pre,60,high_vol,deriv_oi24_available,tr_expansion
154,0.5248219296352256,16,8.853077881452236,-11.146922118547778,37.5,188.87537000435412,audit_pre,60,high_vol,deriv_oi24_available,near_zero_bars
98,0.5712050078247262,10,198.79457277806193,178.79457277806188,40.0,98.15451283257583,audit_pre,60,high_vol,deriv_oi24_down,relative_volume
98,0.5378195096504955,10,-68.64714455278065,-88.64714455278066,20.0,56.903631483458256,audit_pre,60,high_vol,deriv_oi24_down,tr_expansion
98,0.514866979655712,10,-89.18077867619499,-109.18077867619502,30.0,90.47286499518655,audit_pre,60,high_vol,deriv_oi24_down,near_zero_bars
56,0.5544217687074829,6,-32.660957899717026,-52.66095789971704,33.33333333333333,109.36893886731104,audit_pre,60,high_vol,deriv_oi24_pos,relative_volume
56,0.4557823129251701,6,-97.58102959049809,-117.58102959049813,16.666666666666664,71.90103962311625,audit_pre,60,high_vol,deriv_oi24_pos,tr_expansion
56,0.5501700680272109,6,146.69154382308088,126.69154382308089,50.0,344.4371579193644,audit_pre,60,high_vol,deriv_oi24_pos,near_zero_bars
163,0.5777688924430228,17,53.02814971691446,33.02814971691443,35.294117647058826,73.7639660882047,audit_pre,60,high_vol,deriv_oi4_available,relative_volume
163,0.5249900039984007,17,-48.85533681203068,-68.8553368120307,23.52941176470588,106.50820825557558,audit_pre,60,high_vol,deriv_oi4_available,tr_expansion
163,0.5100959616153539,17,-1.8052107631449952,-21.805210763145013,35.294117647058826,21.28648777888222,audit_pre,60,high_vol,deriv_oi4_available,near_zero_bars
75,0.5572033898305084,8,-143.7972486884803,-163.79724868848032,25.0,34.343868473875084,audit_pre,60,high_vol,deriv_oi4_pos,relative_volume
75,0.4915254237288136,8,-125.90301149046827,-145.9030114904683,12.5,55.60233108855418,audit_pre,60,high_vol,deriv_oi4_pos,tr_expansion
75,0.5492584745762712,8,-26.263398513613474,-46.26339851361348,25.0,-65.210364180198,audit_pre,60,high_vol,deriv_oi4_pos,near_zero_bars
22,0.5764705882352941,3,-194.86516839174422,-214.86516839174428,33.33333333333333,0.6513403817822905,audit_pre,60,high_vol,deriv_taker55,relative_volume
22,0.4823529411764706,3,-214.74474002272095,-234.74474002272095,0.0,-27.203169643050202,audit_pre,60,high_vol,deriv_taker55,tr_expansion
22,0.5058823529411764,3,-303.0453270562505,-323.0453270562505,0.0,-17.917571095890196,audit_pre,60,high_vol,deriv_taker55,near_zero_bars
163,0.5777688924430228,17,53.02814971691446,33.02814971691443,35.294117647058826,73.18238506353686,audit_pre,60,high_vol,deriv_taker_available,relative_volume
163,0.5249900039984007,17,-48.85533681203068,-68.8553368120307,23.52941176470588,104.2872296255154,audit_pre,60,high_vol,deriv_taker_available,tr_expansion
163,0.5100959616153539,17,-1.8052107631449952,-21.805210763145013,35.294117647058826,94.42012610040469,audit_pre,60,high_vol,deriv_taker_available,near_zero_bars
176,0.5664488017429193,18,118.13949403206288,98.13949403206286,50.0,51.56791789536071,audit_pre,60,high_vol,exit_chandelier,relative_volume
176,0.5742102396514162,18,138.05911469943223,118.05911469943223,55.55555555555556,102.2563448189274,audit_pre,60,high_vol,exit_chandelier,tr_expansion
176,0.5101443355119826,18,99.87033558392454,79.87033558392453,38.88888888888889,55.545382689507356,audit_pre,60,high_vol,exit_chandelier,near_zero_bars
176,0.5058528428093646,18,168.0214720498758,148.0214720498758,33.33333333333333,224.13048534921015,audit_pre,60,high_vol,exit_fixed3r,relative_volume
176,0.47491638795986624,18,76.68423601757763,56.68423601757762,27.77777777777778,118.27583539625796,audit_pre,60,high_vol,exit_fixed3r,tr_expansion
176,0.46438127090301,18,99.271581639133,79.27158163913299,27.77777777777778,39.63080530324112,audit_pre,60,high_vol,exit_fixed3r,near_zero_bars
176,0.5939303974929903,18,81.12327829832351,61.12327829832351,27.77777777777778,91.23875289011839,audit_pre,60,high_vol,exit_sma60,relative_volume
176,0.5815602836879432,18,-4.261496548167118,-24.26149654816713,27.77777777777778,12.251518855648479,audit_pre,60,high_vol,exit_sma60,tr_expansion
176,0.5592940788388586,18,60.3467019829987,40.34670198299869,38.88888888888889,-92.56522807247275,audit_pre,60,high_vol,exit_sma60,near_zero_bars
40,0.62,4,57.162331149231136,37.16233114923111,50.0,-8.610924840304179,audit_pre,60,high_vol,gate_box_break,relative_volume
40,0.51,4,-88.43418989298526,-108.43418989298526,25.0,-279.79431596794404,audit_pre,60,high_vol,gate_box_break,tr_expansion
40,0.6233333333333333,4,384.15519591871197,364.15519591871197,75.0,-73.62384103389093,audit_pre,60,high_vol,gate_box_break,near_zero_bars
24,0.8,3,177.24636304791704,157.24636304791704,66.66666666666666,228.11192455801745,audit_pre,60,majors,base,relative_volume
24,0.8210526315789474,3,177.24636304791707,157.24636304791707,66.66666666666666,228.11192455801742,audit_pre,60,majors,base,tr_expansion
24,0.5631578947368421,3,-4.336974796375074,-24.336974796375074,33.33333333333333,-75.06750626916856,audit_pre,60,majors,base,near_zero_bars
23,0.8157894736842105,3,177.24636304791704,157.24636304791704,66.66666666666666,260.24344410476937,audit_pre,60,majors,deriv_oi24_available,relative_volume
23,0.8026315789473685,3,177.24636304791707,157.24636304791707,66.66666666666666,260.24344410476937,audit_pre,60,majors,deriv_oi24_available,tr_expansion
23,0.506578947368421,3,-4.336974796375074,-24.336974796375074,33.33333333333333,93.39012044120811,audit_pre,60,majors,deriv_oi24_available,near_zero_bars
16,0.8214285714285714,2,60.62381936579153,40.62381936579153,50.0,186.16484326157973,audit_pre,60,majors,deriv_oi24_down,relative_volume
16,0.8214285714285714,2,128.60327675445205,108.60327675445204,50.0,225.12024549355579,audit_pre,60,majors,deriv_oi24_down,tr_expansion
16,0.5,2,-161.04678635038616,-181.04678635038618,0.0,-67.68270054913816,audit_pre,60,majors,deriv_oi24_down,near_zero_bars
7,0.8,1,309.0826483116471,289.0826483116471,100.0,415.53576242190064,audit_pre,60,majors,deriv_oi24_pos,relative_volume
7,0.8,1,309.0826483116471,289.0826483116471,100.0,415.53576242190064,audit_pre,60,majors,deriv_oi24_pos,tr_expansion
7,0.55,1,309.0826483116471,289.0826483116471,100.0,415.53576242190064,audit_pre,60,majors,deriv_oi24_pos,near_zero_bars
23,0.8157894736842105,3,177.24636304791704,157.24636304791704,66.66666666666666,293.86527128044463,audit_pre,60,majors,deriv_oi4_available,relative_volume
23,0.8026315789473685,3,177.24636304791707,157.24636304791707,66.66666666666666,293.86527128044463,audit_pre,60,majors,deriv_oi4_available,tr_expansion
23,0.506578947368421,3,-4.336974796375074,-24.336974796375074,33.33333333333333,127.54589133379459,audit_pre,60,majors,deriv_oi4_available,near_zero_bars
18,0.8888888888888888,2,312.36974584018526,292.36974584018526,100.0,439.19298663857523,audit_pre,60,majors,deriv_oi4_pos,relative_volume
18,0.8666666666666667,2,108.04112288751388,88.04112288751388,50.0,207.45788340378346,audit_pre,60,majors,deriv_oi4_pos,tr_expansion
18,0.6333333333333333,2,22.719682735347078,2.719682735347078,50.0,187.60515566656886,audit_pre,60,majors,deriv_oi4_pos,near_zero_bars
4,,1,-93.00040253661936,-113.00040253661936,0.0,-64.14767716581856,audit_pre,60,majors,deriv_taker55,relative_volume
4,,1,-93.00040253661936,-113.00040253661936,0.0,-64.14767716581856,audit_pre,60,majors,deriv_taker55,tr_expansion
4,,1,-58.45028985981937,-78.45028985981938,0.0,-62.767134669562786,audit_pre,60,majors,deriv_taker55,near_zero_bars
23,0.8157894736842105,3,177.24636304791704,157.24636304791704,66.66666666666666,178.66669436459551,audit_pre,60,majors,deriv_taker_available,relative_volume
23,0.8026315789473685,3,177.24636304791707,157.24636304791707,66.66666666666666,178.66669436459551,audit_pre,60,majors,deriv_taker_available,tr_expansion
23,0.506578947368421,3,-4.336974796375074,-24.336974796375074,33.33333333333333,13.382957585127931,audit_pre,60,majors,deriv_taker_available,near_zero_bars
24,0.609375,3,155.27196202605342,135.27196202605342,66.66666666666666,174.51767113353526,audit_pre,60,majors,exit_chandelier,relative_volume
24,0.625,3,155.27196202605342,135.27196202605342,66.66666666666666,174.51767113353526,audit_pre,60,majors,exit_chandelier,tr_expansion
24,0.57421875,3,-101.87121063055008,-121.87121063055008,0.0,-264.69882662203577,audit_pre,60,majors,exit_chandelier,near_zero_bars
24,0.828125,3,329.1723968862378,309.1723968862377,100.0,357.184350133759,audit_pre,60,majors,exit_fixed3r,relative_volume
24,0.8203125,3,329.1723968862378,309.1723968862377,100.0,357.184350133759,audit_pre,60,majors,exit_fixed3r,tr_expansion
24,0.625,3,62.52511801619528,42.52511801619526,66.66666666666666,-140.09663832606836,audit_pre,60,majors,exit_fixed3r,near_zero_bars
24,0.7037037037037037,3,200.82530612028657,180.82530612028654,66.66666666666666,229.9018989718539,audit_pre,60,majors,exit_sma60,relative_volume
24,0.6944444444444444,3,200.82530612028654,180.82530612028654,66.66666666666666,229.90189897185385,audit_pre,60,majors,exit_sma60,tr_expansion
24,0.6064814814814815,3,-10.506396838442972,-30.506396838442992,33.33333333333333,-60.11208574843212,audit_pre,60,majors,exit_sma60,near_zero_bars
4,1.0,1,309.0826483116471,289.0826483116471,100.0,328.0777561725849,audit_pre,60,majors,gate_box_break,relative_volume
4,0.75,1,309.0826483116471,289.0826483116471,100.0,328.0777561725849,audit_pre,60,majors,gate_box_break,tr_expansion
4,0.75,1,309.0826483116471,289.0826483116471,100.0,328.0777561725849,audit_pre,60,majors,gate_box_break,near_zero_bars
36,0.4826388888888889,4,-341.4726105290181,-361.4726105290181,25.0,-201.22338581887647,audit_pre,60,owner_illustration,base,relative_volume
36,0.4340277777777778,4,-233.49987776579292,-253.49987776579292,25.0,-166.93690192268002,audit_pre,60,owner_illustration,base,tr_expansion
36,0.359375,4,-298.96362798450593,-318.96362798450593,0.0,-238.0655685322471,audit_pre,60,owner_illustration,base,near_zero_bars
32,0.5181818181818182,4,-151.92115868353343,-171.92115868353343,50.0,76.77486809485802,audit_pre,60,owner_illustration,deriv_oi24_available,relative_volume
