fold,minutes,cohort,arm,n,symbols,selected_n,matched_n,matched_symbols,cost_bp,funding_included,mean_gross_bp,mean_net_bp,median_net_bp,win_pct,profit_factor,censored_n,control_net_bp,mean_net_ex_top3_bp,top3_positive_profit_pct,median_mfe_r,median_net_r,portfolio_net_pct,mdd_pct,capital_sleeves,excess_bp,p,months,p_resolution,ci_low,ci_high,family,p_holm,p_holm_primary
audit_pre,60,all_core,base,737,54,737,736,54,20,False,-13.762047819375884,-33.7620478193759,-178.00785716363345,23.88059701492537,0.7990711090083977,10,-63.57082769834935,-49.01564597983206,11.211980068775135,1.023190101846834,-1.0663148554207689,-4.683413704433148,-14.711162279840018,54,29.910290621258106,0.25,5,0.03125,-10.42206486425824,86.61395686428638,baseline,0.25,
audit_pre,60,all_core,deriv_oi24_available,685,54,685,684,54,20,False,-17.21061198175799,-37.21061198175801,-176.95753753468657,23.795620437956206,0.7772779583251817,10,-71.39905104787665,-53.014629676304665,11.991123570567181,1.0415847976130477,-1.0669591039551092,-4.773277703961087,-14.829328176314082,54,34.292625238865895,0.125,5,0.03125,0.1599875576194832,92.92830733769298,derivative_baseline,0.1875,
audit_pre,60,all_core,deriv_oi24_down,436,54,436,436,54,20,False,-35.206020745154866,-55.20602074515487,-179.97810086375966,22.706422018348622,0.673385404119777,7,-69.98444591448148,-71.75876897319155,14.109246302530176,1.005017262864622,-1.0667534368958431,-4.28744983229592,-10.102050300076659,54,14.77842516932661,0.28125,5,0.03125,-25.36817390475849,80.63954723940672,derivative,0.5625,
audit_pre,60,all_core,deriv_oi24_pos,249,53,249,248,53,20,False,14.29942103366785,-5.70057896633217,-170.1336642010176,25.702811244979916,0.9651665184930223,3,-73.88601813723265,-48.73567631581336,26.87398613269016,1.2464181721559664,-1.0677777712272205,-0.3932694138808812,-5.42440982800162,54,68.59984794176562,0.125,5,0.03125,10.524056595429553,127.68898445798604,derivative,0.5,
audit_pre,60,all_core,deriv_oi4_available,700,54,700,699,54,20,False,-22.236295995073874,-42.23629599507389,-178.8812674341783,23.285714285714285,0.7505459267760679,10,-76.93551502101701,-57.721829882765086,11.991123570567181,1.0255189150753128,-1.0665558034324045,-5.497435621641433,-14.814176014920367,54,34.79397962414886,0.03125,5,0.03125,5.223248642207307,79.707131280346,derivative_baseline,0.09375,
audit_pre,60,all_core,deriv_oi4_pos,327,54,327,326,54,20,False,-31.89944165208663,-51.89944165208665,-171.57639450282923,23.547400611620795,0.6916436319021982,6,-75.62522085380705,-78.03738829045335,21.83824291718776,0.9489843503508906,-1.0603933067432216,-3.199023814146651,-6.91853707533917,54,23.89932065107255,0.1875,5,0.03125,-9.190548080533521,81.59238049669676,derivative,0.5625,
audit_pre,60,all_core,deriv_taker55,128,50,128,128,50,20,False,-26.951913720021125,-46.95191372002113,-157.55319829711013,21.09375,0.6944001924904508,1,-68.68679883369329,-96.94818133786414,44.732913838411534,0.9817883547635411,-1.0692905282447493,-1.1353476309987287,-2.3184071155042063,54,21.73488511367215,0.21875,5,0.03125,-10.74578265807595,50.01745803282216,derivative,0.5625,
audit_pre,60,all_core,deriv_taker_available,701,54,701,700,54,20,False,-22.58175600839496,-42.581756008394976,-178.92512210124667,23.25249643366619,0.7487492148240957,10,-70.96334963671747,-58.04658910260807,11.991123570567181,1.0218382186623347,-1.066563837028232,-5.562520532059889,-14.818869569872927,54,28.475725339940322,0.09375,5,0.03125,1.23132791862264,69.74843523375483,derivative_baseline,0.1875,
audit_pre,60,all_core,exit_chandelier,737,54,736,736,54,20,False,43.884265365824064,23.884265365824046,-95.49534393112678,35.82089552238806,1.2068426467270914,1,-10.070142293525914,15.282290418344026,6.217347405461103,0.9725039300300332,-0.5482122283330424,3.309590006958163,-4.347239087745236,54,34.13424219672321,0.25,5,0.03125,-24.561436645595872,103.02568959773673,exit,0.75,
audit_pre,60,all_core,exit_fixed3r,737,54,698,736,54,20,False,16.525920650019934,-3.4740793499800815,-209.3259316164531,26.72998643147897,0.9812972977749586,4,-35.48442488019542,-11.593882016853039,4.4287171777569325,1.0748171799310973,-1.0753771787224842,-0.5210665188117969,-7.342079679608338,54,32.15300840357254,0.25,5,0.03125,-16.38639057173544,95.09559153628223,exit,0.75,
audit_pre,60,all_core,exit_sma60,737,54,736,736,54,20,False,-6.865124285557458,-26.865124285557467,-140.41347163374903,25.64450474898236,0.8103616350408639,6,-40.631060027115815,-37.01796296741846,8.7126858593038,0.9283542522065656,-0.7403194723467562,-3.541172739906051,-10.504672214390053,54,13.876817303861769,0.3125,5,0.03125,-32.85503010668297,62.13177236351782,exit,0.75,
audit_pre,60,all_core,gate_box_break,173,54,173,173,54,20,False,-37.08404343298655,-57.08404343298655,-190.84392446259923,23.699421965317917,0.6758150985626791,2,-56.36031804596012,-90.01988120574748,26.365203233758805,1.331511838449454,-1.0727348413284363,-1.7971310195332713,-3.9578316167459215,54,-0.7237253870264274,0.59375,5,0.03125,-44.958248067583924,37.6406903516729,context,0.59375,
audit_pre,60,high_vol,base,176,36,176,174,36,20,False,30.607409548042753,10.607409548042751,-235.23357108268698,25.568181818181817,1.0519920930846463,4,-39.32819597446447,-53.340756218850736,29.371386487750424,1.1483195424833494,-1.0521311479077673,0.20107795439361364,-3.6013026072979626,54,52.025381564077186,0.03125,5,0.03125,23.930229673309785,73.94367035937276,baseline,0.03125,
audit_pre,60,high_vol,deriv_oi24_available,154,34,154,152,34,20,False,25.08125845094654,5.081258450946527,-233.4234707399052,26.623376623376622,1.025329845948923,4,-93.30390030475127,-60.69786094454204,31.405662020732798,1.2501359629738884,-1.048069648673818,0.005607579468858148,-3.6329062084296537,54,100.70468986779635,0.03125,5,0.03125,31.72265546644852,240.8747480747218,derivative_baseline,0.09375,
audit_pre,60,high_vol,deriv_oi24_down,98,32,98,97,32,20,False,12.939805950801363,-7.060194049198652,-226.8436141775593,27.55102040816326,0.9624663859078648,4,-70.38090143840276,-60.43640008054476,28.460698222172002,1.1887484174879601,-1.045290564693343,-0.17262810551814667,-2.435371699290312,54,64.2774630144861,0.1875,5,0.03125,-25.463871865143314,193.2472600141539,derivative,0.5625,
audit_pre,60,high_vol,deriv_oi24_pos,56,25,56,55,25,20,False,46.32880032620063,26.32880032620061,-238.59897333660672,25.0,1.1183427151717493,0,-133.73173466903864,-151.99884849524292,68.40005484998414,1.3700311380701926,-1.0518997956362584,0.2297001964591372,-1.4446255835633637,54,164.94907177272532,0.09375,5,0.03125,23.397106046896145,376.67218910130487,derivative,0.375,
audit_pre,60,high_vol,deriv_oi4_available,163,36,163,161,36,20,False,7.688364257261013,-12.311635742739012,-236.99924874157173,25.153374233128833,0.9404197854224171,4,-70.45532803841675,-74.71679643836293,31.405662020732798,1.1497617523777182,-1.051067345727067,-0.5058825523050814,-3.5977321487796643,54,60.117499380470385,0.1875,5,0.03125,-8.723297660172504,172.47386584005167,derivative_baseline,0.1875,
audit_pre,60,high_vol,deriv_oi4_pos,75,27,75,75,27,20,False,-14.11888435601044,-34.11888435601047,-237.51966092742217,21.333333333333336,0.8449550043501112,2,-84.13195942685957,-135.21605929659577,51.462306065321904,0.9856793374655302,-1.0495143903229414,-0.5395603189979448,-1.858372865223512,54,50.0130750708491,0.25,5,0.03125,-22.25021368144695,175.21598207962043,derivative,0.5625,
audit_pre,60,high_vol,deriv_taker55,22,19,22,21,18,20,False,-113.09939358840656,-133.09939358840657,-164.33591579192222,22.727272727272727,0.23003017019244842,0,-89.23523009800017,-192.28248443707434,82.89651910489304,1.0133820564897988,-0.7733524143893822,-0.5430631658101537,-0.7468496166363359,54,-45.44673034216119,0.6875,4,0.0625,-171.58175198860786,73.18594329943721,derivative,0.6875,
audit_pre,60,high_vol,deriv_taker_available,163,36,163,161,36,20,False,7.688364257261013,-12.311635742739012,-236.99924874157173,25.153374233128833,0.9404197854224171,4,-64.45177591112916,-74.71679643836293,31.405662020732798,1.1497617523777182,-1.051067345727067,-0.5058825523050814,-3.5977321487796643,54,54.11394725318278,0.0625,5,0.03125,12.41325448213765,121.07526949665404,derivative_baseline,0.125,
audit_pre,60,high_vol,exit_chandelier,176,36,176,174,36,20,False,58.06154510114092,38.06154510114091,-113.20791176563814,38.63636363636363,1.2753621125389405,0,-21.018331025524265,1.8111533540634999,20.581009088062853,0.961037476851879,-0.42171748211570326,1.1612484900551445,-0.9979221750459955,54,58.3173719892637,0.1875,5,0.03125,-18.588367201909044,149.41719887487866,exit,0.375,1.0
audit_pre,60,high_vol,exit_fixed3r,176,36,165,174,36,20,False,32.84340033619927,12.843400336199254,-281.02225697497545,26.136363636363637,1.0534571505421506,2,-18.483739520383914,-21.324129828114113,13.356038257526892,1.1887484174879601,-1.0596376592475605,0.3125075777371533,-2.0118199181087926,54,35.05640938459098,0.3125,5,0.03125,-58.08881756635338,132.81946615538237,exit,0.375,1.0
audit_pre,60,high_vol,exit_sma60,176,36,176,174,36,20,False,14.840963914998026,-5.159036085002,-169.6729402120789,26.704545454545453,0.9687130522614147,2,-36.83074403978302,-47.858835668148245,26.220917211673683,0.961037476851879,-0.6426942849705726,-0.261643075917084,-2.395895607620213,54,32.36071330199294,0.0625,5,0.03125,11.253888181019455,48.30257417687516,exit,0.1875,1.0
audit_pre,60,high_vol,gate_box_break,40,21,40,39,21,20,False,-8.511406541664453,-28.511406541664467,-240.17372761384047,25.0,0.8597853705778572,0,13.714956317058173,-126.9973657500755,50.88444664511389,1.6634915183047736,-1.054244694559506,-0.22552491279581588,-0.8190743077227003,54,-36.738431681956776,0.75,4,0.0625,-181.55812025341888,134.72036368147656,context,0.75,1.0
audit_pre,60,majors,base,24,2,24,24,2,20,False,-73.53374501809635,-93.53374501809638,-139.7285093032241,20.833333333333336,0.37789153473434495,0,-58.513504574794005,-153.98214093135275,72.51610400345892,1.1049782003262205,-1.0806550555042747,-10.858383711671848,-15.797348677975275,2,-35.02024044330235,0.875,4,0.0625,-77.85537675753,32.87277901502104,baseline,0.875,
audit_pre,60,majors,deriv_oi24_available,23,2,23,23,2,20,False,-93.06659733998781,-113.06659733998782,-140.41347163374903,17.391304347826086,0.27930965423283144,0,-115.77378927587486,-176.13538039350274,91.4985796036993,0.939983548921114,-1.085450033010409,-12.433434390582132,-15.785573754292948,2,2.70719193588705,0.5,4,0.0625,-59.35289034596183,92.47329573119585,derivative_baseline,1.0,
