state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r
aligned,453,453,-21.15969810347773,-1.1596981034777212,65,388,37,164,50.0,87.7924944812362,22,0,49,43,-0.2637227388655059
opposite,9,9,-22.914333611964512,-2.9143336119645076,0,9,9,9,5.0,5.0,0,0,5,0,-0.06596496231673997
unknown,0,0,,,0,0,0,0,,,0,0,0,0,
