state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,22,22,-19.45259870526485,0.5474012947351533,3,19,0,11,40.0,82.5,2,0,4,3,-0.36322647512312745,0
opposite,33,33,-24.446420433914557,-4.446420433914556,5,28,0,11,50.0,76.96969696969697,9,0,8,3,-0.5090047393366033,9
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
