state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r
aligned,22,22,-19.45259870526485,0.5474012947351533,3,19,0,11,40.0,82.5,2,0,4,3,-0.36322647512312745
opposite,33,33,-25.231960167476625,-5.231960167476624,1,32,27,32,5.0,6.818181818181818,0,0,9,1,-0.23587136438874357
unknown,0,0,,,0,0,0,0,,,0,0,0,0,
