state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r
aligned,13,13,-19.70869461407794,0.2913053859220616,1,12,2,8,20.0,49.61538461538461,0,0,2,0,-0.16732989769454837
opposite,76,55,-18.590948101304548,1.409051898695456,4,51,48,53,5.0,12.363636363636363,3,0,23,2,-0.13584826665802766
unknown,0,0,,,0,0,0,0,,,0,0,0,0,
