state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r
aligned,247,247,-13.883240116223917,6.1167598837760915,62,185,0,24,135.0,151.3562753036437,13,0,28,35,-0.4733823529411786
opposite,4,4,-22.550106984512414,-2.5501069845124125,0,4,4,4,5.0,5.0,0,0,1,0,-0.16543092638519424
unknown,0,0,,,0,0,0,0,,,0,0,0,0,
