state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,13,13,-19.70869461407794,0.2913053859220616,1,12,2,8,20.0,49.61538461538461,0,0,2,0,-0.16732989769454837,0
opposite,76,55,-4.333194964124289,15.666805035875718,9,46,3,22,55.0,91.0909090909091,13,0,19,6,-0.3377894619885019,12
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
