state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,247,247,-13.883240116223917,6.1167598837760915,62,185,0,24,135.0,151.3562753036437,13,0,28,35,-0.4733823529411786,0
opposite,4,4,-40.45107235127075,-20.45107235127075,0,4,0,1,67.5,78.75,1,0,0,0,-0.7658547854239071,1
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
