state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,453,453,-21.15969810347773,-1.1596981034777212,65,388,37,164,50.0,87.7924944812362,22,0,49,43,-0.2637227388655059,0
opposite,9,9,-10.978077501576504,9.021922498423498,2,7,0,1,105.0,130.55555555555554,1,0,3,1,-0.20521843070474075,1
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
