stage,value,events,excluded_results,rejected_entries,censored,mean_net_bp,median_net_bp,profit_factor,win_rate,p95_net_bp,worst_fold_bp,positive_folds,minimum_fold_events,robust_score_bp,net_week_cluster_p,net_month_cluster_p,extra_10bp_mean_net_bp,leave_top_two_mean_net_bp,range_feature_auc,range_top_decile_net_bp,range_top_decile_gross_bp,mean_hold_hours,eligible
min_volume_ratio,2,85,0,0,0,-8.509397512578438,-27.829427017723713,0.8040605221503615,0.3058823529411765,233.48159889026516,-18.24666882946356,1,16,-19.316438197649347,0.7561,0.7992,-18.50939751257844,-16.843221336931695,0.43415906127770537,9.495774339081862,29.49577433908187,2.981372549019608,True
max_cross_count,999,251,0,0,0,-14.021357516515367,-33.09611812897016,0.629418945734669,0.24701195219123506,177.37030227018613,-24.562819689803334,0,55,-13.560780441904726,0.987,0.9974,-24.021357516515366,-17.033017472832714,0.565284178187404,-18.513292256400263,1.486707743599739,2.483731739707835,True
max_cross_count,6,237,0,0,0,-14.042332483675152,-33.200155295944874,0.6354926317224948,0.2489451476793249,188.75112236458162,-24.99594214538579,0,49,-14.057127860376937,0.9852,0.9936,-24.042332483675153,-17.23358899030212,0.5714149685774138,-25.08861791176471,-5.088617911764709,2.4883966244725735,True
max_cross_count,3,180,0,0,0,-13.19048405689195,-33.148136712457514,0.6654450535777053,0.2611111111111111,220.6896535764938,-26.23063732001652,0,38,-16.96423393579491,0.9605,0.9758,-23.19048405689195,-17.39408845129516,0.5869460886258199,-22.15714229972285,-2.157142299722846,2.515740740740741,True
max_cross_count,1,93,0,0,0,-7.609732819731933,-32.00686673700879,0.8059028248561995,0.2903225806451613,239.26942093728206,-35.068361805897474,2,19,-14.780102861192695,0.7497,0.7653,-17.60973281973193,-15.709513915659963,0.5982042648709316,-16.189843500147838,3.8101564998521686,2.5376344086021505,True
min_efficiency,0,251,0,0,0,-14.021357516515367,-33.09611812897016,0.629418945734669,0.24701195219123506,177.37030227018613,-24.562819689803334,0,55,-13.560780441904726,0.987,0.9974,-24.021357516515366,-17.033017472832714,0.565284178187404,-18.513292256400263,1.486707743599739,2.483731739707835,True
min_efficiency,0.15,67,0,0,0,-13.6806153479691,-40.72931526390875,0.7172945245621744,0.22388059701492538,242.57078001421925,-27.92616571352656,0,11,-18.592954385272748,0.8395,0.8578,-23.680615347969102,-24.4813817032322,0.5692307692307692,13.199579956796496,33.199579956796505,2.674129353233831,False
min_efficiency,0.25,22,0,0,0,-0.4316040338345325,-37.81464988795501,0.988435754239857,0.22727272727272727,268.47084123776267,-37.852815022458,2,2,-10.53272063879886,0.5139,0.5162,-10.431604033834532,-28.0403464652204,0.6470588235294118,10.938296344098504,30.938296344098504,2.8068181818181817,False
min_efficiency,0.35,6,0,0,0,-4.466064180481659,-26.61659114161106,0.8388428529825329,0.16666666666666666,103.52866747948832,-40.78927725165713,1,0,-1000000000.0,0.5497,0.5497,-14.46606418048166,-40.488516907767874,1.0,139.47849368488588,159.47849368488588,3.263888888888889,False
require_ma_slope,False,251,0,0,0,-14.021357516515367,-33.09611812897016,0.629418945734669,0.24701195219123506,177.37030227018613,-24.562819689803334,0,55,-13.560780441904726,0.987,0.9974,-24.021357516515366,-17.033017472832714,0.565284178187404,-18.513292256400263,1.486707743599739,2.483731739707835,True
require_ma_slope,True,111,0,0,0,-6.991774483673787,-29.784946236559566,0.809386610372955,0.2972972972972973,202.21019080160164,-24.369767552179425,1,21,-7.604397370077569,0.7682,0.8562,-16.991774483673787,-13.742638364933734,0.567987567987568,-40.03783781090054,-20.037837810900538,2.5735735735735736,True
require_breakout20,False,111,0,0,0,-6.991774483673787,-29.784946236559566,0.809386610372955,0.2972972972972973,202.21019080160164,-24.369767552179425,1,21,-7.604397370077569,0.7682,0.8562,-16.991774483673787,-13.742638364933734,0.567987567987568,-40.03783781090054,-20.037837810900538,2.5735735735735736,True
require_breakout20,True,16,0,0,0,-40.55666919952175,-56.57237080713305,0.2782122630160852,0.25,78.19248289510418,-52.920513007774765,1,2,-55.249027611656004,0.9764,0.9724,-50.55666919952175,-60.439215250648395,0.6041666666666666,-4.3262886389838595,15.67371136101614,2.703125,False
max_extension_atr,99,111,0,0,0,-6.991774483673787,-29.784946236559566,0.809386610372955,0.2972972972972973,202.21019080160164,-24.369767552179425,1,21,-7.604397370077569,0.7682,0.8562,-16.991774483673787,-13.742638364933734,0.567987567987568,-40.03783781090054,-20.037837810900538,2.5735735735735736,True
max_extension_atr,0.5,29,0,0,0,11.636759547700112,-28.356020377908724,1.5138894759131185,0.3103448275862069,208.4453384740773,-18.825602425771564,2,6,-20.885727880636473,0.241,0.2297,1.6367595477001124,-5.465361979516645,0.49444444444444446,23.768715517627324,43.76871551762733,2.4425287356321843,False
max_extension_atr,1,74,0,0,0,-8.827410624689124,-29.567906793261916,0.711917186248714,0.2702702702702703,163.94181841846424,-25.18553071703248,1,16,-20.92104727175051,0.8228,0.8436,-18.827410624689122,-17.0569030206325,0.5675925925925925,24.02937081169136,44.029370811691365,2.300675675675676,False
max_extension_atr,1.5,90,0,0,0,-0.26726077205667115,-28.66682789447959,0.9915555339046662,0.3111111111111111,238.62064269449272,-23.32492099198539,2,18,-5.77015474469761,0.4987,0.5186,-10.267260772056671,-8.476296404262353,0.6267281105990783,37.511654548577766,57.51165454857777,2.460185185185185,True
side,both,111,0,0,0,-6.991774483673787,-29.784946236559566,0.809386610372955,0.2972972972972973,202.21019080160164,-24.369767552179425,1,21,-7.604397370077569,0.7682,0.8562,-16.991774483673787,-13.742638364933734,0.567987567987568,-40.03783781090054,-20.037837810900538,2.5735735735735736,True
side,long,60,0,0,0,1.3488753589318119,-32.78446122738253,1.038422691312688,0.35,234.29887626409516,-24.919437025114156,2,11,-4.891173867471824,0.4636,0.4522,-8.651124641068188,-8.52631079901483,0.6373626373626373,15.175554278227454,35.17555427822746,2.498611111111111,False
side,short,51,0,0,0,-16.804303710268606,-29.350867349964265,0.5638912409533305,0.23529411764705882,143.25187046982379,-42.32629538574308,1,9,-52.63882078902466,0.9016,0.9163,-26.804303710268606,-30.582855782652256,0.4935897435897436,-43.858793634019385,-23.858793634019364,2.6617647058823533,False
