period,arm,session,matched_trades,unmatched,months,random_mean_net_r,excess_net_r,p
development,original,all,744,0,17,-0.8095668870750565,0.05007014916962733,0.2523
development,original,london,144,0,17,-0.9405016089695264,0.30999938875647337,0.1303
development,original,lunch,115,0,17,-0.9745075421118594,-0.13297486248692936,0.8139
development,original,new_york,157,0,17,-0.7450038810232736,0.15862634600980088,0.1338
development,original,union,379,0,17,-0.8392732102694112,0.1314855219029141,0.1223
development,original,london_new_york,296,0,17,-0.8277871402062913,0.2345558718688679,0.0676
development,next_bar,all,847,1,17,-0.804830245660126,0.08671574938239172,0.0006
development,next_bar,london,155,0,17,-1.0475821809048897,0.12254571646588731,0.0712
development,next_bar,lunch,118,0,17,-0.9713787052816379,0.09891066559116457,0.1237
development,next_bar,new_york,169,0,17,-0.7904334746914583,0.15388182020536456,0.0794
development,next_bar,union,430,0,17,-0.9177375342615051,0.14541190532348236,0.0032
development,next_bar,london_new_york,324,0,17,-0.9134521458738099,0.13889078292258997,0.0291
development,ohlc,all,853,1,17,-0.7710037540139127,0.10825259782765312,0.0005
development,ohlc,london,155,0,17,-1.006175558778589,0.09973821537011071,0.0962
development,ohlc,lunch,118,0,17,-0.9366142064096012,0.15101791964118022,0.049
development,ohlc,new_york,170,0,17,-0.7523898159190187,0.1709266320848034,0.0475
development,ohlc,union,432,0,17,-0.8778390569447999,0.15437876248480206,0.004
development,ohlc,london_new_york,325,0,17,-0.8734260932828136,0.13697523334394995,0.0256
development,olhc,all,853,1,17,-0.7745627446608889,0.10317051823919907,0.0004
development,olhc,london,155,0,17,-1.0147508226781368,0.09547983942672417,0.1096
development,olhc,lunch,118,0,17,-0.9376352788738773,0.1350898395630845,0.0648
development,olhc,new_york,170,0,17,-0.7494881562596388,0.17978967830777812,0.0506
development,olhc,union,431,0,17,-0.8817007879740527,0.15652977317775219,0.0034
development,olhc,london_new_york,325,0,17,-0.8759980433207686,0.139580370533737,0.0295
validation,original,all,524,1,12,-0.45343945090877535,-0.026745151022582292,0.5988
validation,original,london,85,0,12,-0.6098402077453116,0.18246680070317522,0.197
validation,original,lunch,95,1,12,-0.7271605709058652,-0.005116333010606332,0.5254
validation,original,new_york,118,0,12,-0.40478998893951595,-0.026030446028974058,0.5428
validation,original,union,286,1,12,-0.5560082997189068,0.038959238454452046,0.4055
validation,original,london_new_york,203,0,12,-0.49064845494194265,0.06127135678990622,0.3699
validation,next_bar,all,616,1,12,-0.5203596705267564,0.0502135414790843,0.0682
validation,next_bar,london,89,0,12,-0.6350248211125278,0.11150926959074958,0.041
validation,next_bar,lunch,103,1,12,-0.6841124355464806,0.1514414847006593,0.1248
validation,next_bar,new_york,136,0,12,-0.39555612102684207,0.049469938428911474,0.2843
validation,next_bar,union,326,1,12,-0.5532998064832139,0.08975126595955421,0.0291
validation,next_bar,london_new_york,225,0,12,-0.49027929572740214,0.07400994053292742,0.1226
validation,ohlc,all,618,1,12,-0.4872996268080592,0.05889297570203255,0.0422
validation,ohlc,london,89,0,12,-0.5922645205125064,0.10248944492709891,0.0558
validation,ohlc,lunch,104,1,12,-0.6518840619837233,0.15703416730699088,0.1178
validation,ohlc,new_york,137,0,12,-0.36142858476681583,0.08425508422376017,0.1745
validation,ohlc,union,328,1,12,-0.5177161363401888,0.10423992527918705,0.0248
validation,ohlc,london_new_york,226,0,12,-0.4523330019410038,0.0914358722883493,0.0793
validation,olhc,all,620,1,12,-0.48768825172383756,0.066628037709678,0.0271
validation,olhc,london,89,0,12,-0.588519202160446,0.10998008163121815,0.04
validation,olhc,lunch,106,1,12,-0.6436183079693958,0.13582248373573486,0.1492
validation,olhc,new_york,136,0,12,-0.3732362344716659,0.08710954517996464,0.1776
validation,olhc,union,329,1,12,-0.5205491807626175,0.10133147340799989,0.0225
validation,olhc,london_new_york,225,0,12,-0.45839260835744994,0.09615611293179382,0.0634
preholdout,original,all,185,0,4,-0.5512079527794176,0.09132589715510413,0.3176
preholdout,original,london,39,0,4,-0.5049865504824205,0.5609210810178364,0.3139
preholdout,original,lunch,30,0,4,-0.8503751340455802,0.11024769254603166,0.501
preholdout,original,new_york,26,0,4,-0.4064876263051762,-0.25915597781901567,0.7489
preholdout,original,union,90,0,4,-0.6026691891463167,0.22150083214424232,0.1884
preholdout,original,london_new_york,65,0,4,-0.4655869808115228,0.23289025748309572,0.3139
preholdout,next_bar,all,216,0,4,-0.6499293734764161,0.06661858713133066,0.1884
preholdout,next_bar,london,43,0,4,-0.7429024848821728,0.26155485738578155,0.0628
preholdout,next_bar,lunch,31,0,4,-0.932380317885762,0.14538702979455273,0.2524
preholdout,next_bar,new_york,28,0,4,-0.4018115621003306,-0.08999455266521997,0.8757
preholdout,next_bar,union,102,0,4,-0.7068560827764836,0.12974518937836846,0.127
preholdout,next_bar,london_new_york,71,0,4,-0.608387754771024,0.1229156534220063,0.127
preholdout,ohlc,all,216,0,4,-0.611176348788033,0.07750901387329927,0.1884
preholdout,ohlc,london,43,0,4,-0.6955259386776247,0.30183154450557537,0.0628
preholdout,ohlc,lunch,31,0,4,-0.89940031745583,0.17357552816559244,0.2524
preholdout,ohlc,new_york,28,0,4,-0.3843169122449061,-0.13717192329672523,0.9401
preholdout,ohlc,union,102,0,4,-0.6720578308541761,0.14234101896632154,0.127
preholdout,ohlc,london_new_york,71,0,4,-0.5727956183942989,0.12870341635818924,0.0628
preholdout,olhc,all,218,0,4,-0.6240398058090958,0.0826619810695005,0.2524
preholdout,olhc,london,43,0,4,-0.6814453240498138,0.28775092987776324,0.0628
preholdout,olhc,lunch,31,0,4,-0.9080440242762554,0.08544504143763107,0.3791
preholdout,olhc,new_york,28,0,4,-0.36447829781489965,-0.08558196629816044,0.8757
preholdout,olhc,union,102,0,4,-0.6633030002502266,0.12378226679374404,0.191
preholdout,olhc,london_new_york,71,0,4,-0.5564442432811152,0.1405210553295117,0.127
