period,arm,session,cash,n_candidates,n_accepted,n_natural,n_blocked,n_capacity_rejected,n_profit,n_net_be,n_other_zero,n_net_loss,n_strict_positive,n_full_initial_stop,n_tp,max_net_loss_streak,max_initial_stop_streak,max_gross_loss_streak,max_unrecovered_loss_events,max_risk,max_attempted_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,n_boundary,boundary_pnl,natural_net_r,natural_gross_r,positive_cash,negative_cash,halt_reason,halt_time,halt_risk,halt_equity,initial_balance,final_balance,residual_debt,profit,profit_rate,be_rate,loss_rate,mean_net_r,mean_gross_r,cash_pf
development,original,all,fixed1,923,744,744,179,0,167,0,0,577,167,439,0,27,12,17,577,1.0,1.0,2.793734586269323,0.5650655730016393,0,0,0.0,-565.065573001639,-28.56849172197792,338.7189133297584,-903.784486331398,,,,,1000.0,434.9344269983607,565.0655730016395,-565.0655730016392,0.22446236559139784,0.0,0.7755376344086021,-0.7594967379054287,-0.03839851037900258,0.3747784106194068
development,original,all,double,923,17,17,7,899,2,0,0,15,2,8,0,7,3,6,8,128.0,256.0,9.602408184052777,0.19792749177485414,1,0,0.0,-20.025903897926206,-8.155934972397244,250.54749458545143,-411.81097321257107,,,,,1000.0,838.7365213728804,206.97507299265385,-161.26347862711964,0.11764705882352941,0.0,0.8823529411764706,-1.1779943469368357,-0.47976088072924966,0.6084041244236644
development,original,london,fixed1,161,144,144,17,0,39,0,0,105,39,86,0,14,8,14,105,1.0,1.0,2.5038915633188696,0.09217881046681731,0,0,0.0,-90.79231971067962,32.836043687224496,97.41262013684889,-188.20493984752898,,,,,1000.0,909.2076802893199,90.79231971068009,-90.79231971068009,0.2708333333333333,0.0,0.7291666666666666,-0.6305022202130529,0.22802808116128123,0.5175880091976653
development,original,london,double,161,7,7,2,152,0,0,0,7,0,5,0,7,3,7,7,64.0,128.0,9.24593506061314,0.13772926445072597,0,0,0.0,-14.79817053780836,-5.798647469458982,0.0,-137.72926445072596,,,,,1000.0,862.270735549274,137.72926445072596,-137.72926445072596,0.0,0.0,1.0,-2.1140243625440513,-0.8283782099227117,0.0
development,original,lunch,fixed1,123,115,115,8,0,22,0,0,93,22,75,0,11,11,11,93,1.0,1.0,1.9293578947367498,0.1273604765288603,0,0,0.0,-127.36047652886069,-35.248733457602725,27.784746662374573,-155.1452231912349,,,,,1000.0,872.6395234711397,127.36047652886032,-127.36047652886032,0.19130434782608696,0.0,0.808695652173913,-1.1074824045987886,-0.3065107257182846,0.17908863767031086
development,original,lunch,double,123,15,15,0,108,1,0,0,14,1,11,0,7,7,7,7,128.0,128.0,9.63656421124822,0.15561220389959962,1,0,0.0,-22.572578623204144,-8.98257756923108,238.46270345790958,-297.14588072661695,,,,,1000.0,941.3168227312926,173.47525157216774,-58.68317726870737,0.06666666666666667,0.0,0.9333333333333333,-1.5048385748802764,-0.5988385046154053,0.8025105475963248
development,original,new_york,fixed1,176,157,157,19,0,30,0,0,127,30,93,0,27,6,10,127,1.0,1.0,1.820346926216332,0.09589527176884916,0,0,0.0,-92.06127299711521,8.920832274532476,91.34463282712886,-183.40590582424443,,,,,1000.0,907.9387270028844,92.06127299711557,-92.06127299711557,0.1910828025477707,0.0,0.8089171974522293,-0.5863775350134727,0.056820587735875644,0.49804630018110363
development,original,new_york,double,176,15,15,2,159,2,0,0,13,2,7,0,8,3,4,8,128.0,256.0,8.900543506016257,0.2872683797805532,2,0,0.0,-13.924815218346392,-0.10784887814069555,62.819202289345526,-318.0618939825017,,,,,1000.0,744.7573083068438,300.17641874954313,-255.2426916931562,0.13333333333333333,0.0,0.8666666666666667,-0.9283210145564261,-0.0071899252093797035,0.19750621963158385
development,original,union,fixed1,460,379,379,81,0,87,0,0,292,87,230,0,22,10,15,292,1.0,1.0,2.6357998414476387,0.2694502173306522,0,0,0.0,-268.25153389090235,19.13875670644476,208.77199368605181,-477.0235275769543,,,,,1000.0,731.7484661090975,268.25153389090246,-268.25153389090246,0.22955145118733508,0.0,0.7704485488126649,-0.707787688366497,0.05049803880328432,0.43765554866132333
development,original,union,double,460,27,27,7,426,8,0,0,19,8,13,0,8,4,8,8,128.0,256.0,9.634031085550424,0.2201953640802543,7,0,0.0,-2.9084173114096856,14.043080289937029,281.61767579239176,-438.7352888376065,,,,,1000.0,842.8823869547853,238.00678467810985,-157.11761304521474,0.2962962962962963,0.0,0.7037037037037037,-0.1077191596818402,0.5201140848124826,0.6418851707564143
development,original,london_new_york,fixed1,337,296,296,41,0,69,0,0,227,69,176,0,18,9,12,227,1.0,1.0,2.5625025607151968,0.1784666226172662,0,0,0.0,-175.5964554278772,45.0697165917601,188.75725296397775,-364.3537083918559,,,,,1000.0,824.4035445721219,175.59645542787814,-175.59645542787814,0.23310810810810811,0.0,0.7668918918918919,-0.593231268337423,0.15226255605324357,0.5180604687601332
