period,arm,session,candidates,trades,natural,open,wins,strict_net_positive,be,losses,net_zero,win_rate,mean_net_r,sum_net_r,mean_gross_r,profit_factor,initial_stops,max_initial_stop_streak,max_net_loss_streak,gross3r,net3r
development,original,all,923,744,744,0,167,167,0,577,0,0.22446236559139784,-0.759496737905429,-565.0655730016392,-0.03839851037900254,0.3747784106194072,439,12,27,41,32
development,original,london,161,144,144,0,39,39,0,105,0,0.2708333333333333,-0.6305022202130528,-90.7923197106796,0.22802808116128112,0.5175880091976669,86,8,14,10,8
development,original,lunch,123,115,115,0,22,22,0,93,0,0.19130434782608696,-1.1074824045987888,-127.36047652886072,-0.3065107257182847,0.1790886376703094,75,11,11,2,1
development,original,new_york,176,157,157,0,30,30,0,127,0,0.1910828025477707,-0.5863775350134726,-92.0612729971152,0.05682058773587561,0.4980463001811047,93,6,27,15,11
development,original,union,460,379,379,0,87,87,0,292,0,0.22955145118733508,-0.707787688366497,-268.25153389090235,0.05049803880328423,0.43765554866132317,230,10,22,26,19
development,original,london_new_york,337,296,296,0,69,69,0,227,0,0.23310810810810811,-0.5932312683374232,-175.5964554278773,0.15226255605324351,0.5180604687601346,176,9,18,25,19
development,next_bar,all,923,848,848,0,71,220,150,627,1,0.25943396226415094,-0.7160872337340262,-607.2419742064542,-0.01691514632875874,0.10484859152679735,305,6,27,0,0
development,next_bar,london,161,155,155,0,15,42,27,113,0,0.2709677419354839,-0.9250364644390024,-143.38065198804537,-0.08768648925564455,0.09484528747722898,69,8,25,0,0
development,next_bar,lunch,123,118,118,0,7,25,18,93,0,0.211864406779661,-0.8724680396904735,-102.95122868347588,-0.07881160023640799,0.0637837239209287,45,4,22,0,0
development,next_bar,new_york,176,169,169,0,16,45,29,124,0,0.26627218934911245,-0.6365516544860936,-107.57722960814982,-0.010990160563665427,0.12963672748947536,56,5,22,0,0
development,next_bar,union,460,430,430,0,38,112,74,318,0,0.26046511627906976,-0.7723256289380227,-332.10002044334976,-0.03548800391883065,0.1028229841190502,160,9,16,0,0
development,next_bar,london_new_york,337,324,324,0,31,87,56,237,0,0.26851851851851855,-0.7745613629512197,-250.9578815961952,-0.047681305462606044,0.11009408016328351,125,7,24,0,0
development,ohlc,all,923,854,854,0,55,514,465,334,6,0.6018735362997658,-0.6608029649720055,-564.3257320860927,0.03747410107069462,0.08924466688607943,308,6,10,0,0
development,ohlc,london,161,155,155,0,10,80,72,73,2,0.5161290322580645,-0.9064373434084781,-140.4977882283141,-0.06908736822512009,0.06673201438180196,69,8,13,0,0
development,ohlc,lunch,123,118,118,0,6,70,64,48,0,0.5932203389830508,-0.7855962867684213,-92.70036183867371,0.008060152685646868,0.06123334969152117,45,4,7,0,0
development,ohlc,new_york,176,170,170,0,11,107,98,61,2,0.6294117647058823,-0.5814631838342151,-98.84874125181658,0.04365122704778367,0.10059419969085558,57,5,5,0,0
development,ohlc,union,460,432,432,0,27,255,232,173,4,0.5902777777777778,-0.7234602944599979,-312.5348472067191,0.013495932717016719,0.07991914490324845,162,9,11,0,0
development,ohlc,london_new_york,337,325,325,0,21,187,170,134,4,0.5753846153846154,-0.7364508599388636,-239.34652948013067,-0.010116410697755044,0.08102124282002314,126,7,7,0,0
development,olhc,all,923,854,854,0,45,516,477,332,6,0.6042154566744731,-0.6706048770455676,-572.6965649969147,0.02770702164047406,0.07330020740698934,307,6,10,0,0
development,olhc,london,161,155,155,0,8,81,75,72,2,0.5225806451612903,-0.9192709832514123,-142.48700240396892,-0.08192100806805448,0.05345699823053779,69,8,13,0,0
development,olhc,lunch,123,118,118,0,4,70,66,48,0,0.5932203389830508,-0.8025454393107933,-94.7003618386736,-0.008888999856725173,0.04097956358565557,45,4,7,0,0
development,olhc,new_york,176,170,170,0,13,107,96,61,2,0.6294117647058823,-0.5696984779518608,-96.84874125181634,0.0554159329301378,0.11879181736244578,57,5,5,0,0
development,olhc,union,460,431,431,0,25,256,235,171,4,0.5939675174013921,-0.7251710147963006,-312.5487073772056,0.011232085285607197,0.07446944843417705,161,9,11,0,0
development,olhc,london_new_york,337,325,325,0,21,188,171,133,4,0.5784615384615385,-0.7364176727870316,-239.33574365578528,-0.010083223545923137,0.08102814313214232,126,7,7,0,0
validation,original,all,653,525,525,0,138,138,0,387,0,0.26285714285714284,-0.48172961009264337,-252.90804529863777,-0.0006080323910145561,0.5109060127838847,299,11,25,29,24
validation,original,london,91,85,85,0,22,22,0,63,0,0.25882352941176473,-0.42737340704213633,-36.32673959858159,0.14376579241972842,0.5944015058649968,47,6,8,6,4
validation,original,lunch,112,96,96,0,21,21,0,75,0,0.21875,-0.7381002058194918,-70.8576197586712,-0.19365983758315494,0.3137070596199494,61,7,18,4,3
validation,original,new_york,139,118,118,0,32,32,0,86,0,0.2711864406779661,-0.43082043496849,-50.83681132628182,-0.07054124039757424,0.5155255476862811,66,8,15,5,4
validation,original,union,342,287,287,0,73,73,0,214,0,0.25435540069686413,-0.5197468481123361,-149.16734540824046,-0.038792019889255965,0.4776160793518774,166,11,15,15,11
validation,original,london_new_york,230,203,203,0,54,54,0,149,0,0.2660098522167488,-0.4293770981520365,-87.16355092486342,0.0191932314717397,0.55184722612782,113,9,12,11,8
validation,next_bar,all,653,617,617,0,43,187,146,428,2,0.30307941653160453,-0.47147703303074945,-290.9013293799724,-0.0008585243913894919,0.12900304144922425,179,4,17,0,0
validation,next_bar,london,91,89,89,0,7,25,18,64,0,0.2808988764044944,-0.5235155515217781,-46.59288408543825,0.05493891472111866,0.13078579102778284,28,4,10,0,0
validation,next_bar,lunch,112,104,104,0,9,29,20,75,0,0.27884615384615385,-0.5399655944589038,-56.15642182372599,0.0006840763729576171,0.13834466300542722,34,4,11,0,0
validation,next_bar,new_york,139,136,136,0,9,47,40,87,2,0.34558823529411764,-0.3460861825979306,-47.06772083331856,0.00822546517137513,0.16080675782575465,32,3,10,0,0
validation,next_bar,union,342,327,327,0,24,99,77,226,2,0.30275229357798167,-0.4660799330193255,-152.40813809731944,0.007297651567774986,0.13627029019679396,95,4,22,0,0
