phase,configured_symbols,calendar_years,k1_episode_attempts,expired_without_k2,invalidated_wrong_side_close,k2_vote_rejected,k2_accepted_attempts,evaluated_k2_pairs,pair_vote_rejections,accepted_setups,executable_trades,setups_per_100_symbol_years,evidence_role
v1_selection,52,1.998631074606434,100,31,31,9,29,38,9,22,22,21.168335089567965,registered_signal_funnel
v1_audit,52,1.4976043805612593,126,47,33,16,30,46,16,23,23,29.53434819294052,registered_signal_funnel
v2_development,52,3.0006844626967832,226,78,64,25,59,84,25,57,54,36.53012703537339,registered_signal_funnel
v2_confirmation,52,0.8323066392881588,90,24,40,11,15,26,11,15,15,34.658084514170035,registered_signal_funnel
