feature,evidence_role,development_2022H2_2023_events,development_2022H2_2023_median,development_2022H2_2023_spearman_net_r,development_2024_2025H1_events,development_2024_2025H1_median,development_2024_2025H1_spearman_net_r,confirmation_2025H2_2026P1_events,confirmation_2025H2_2026P1_median,confirmation_2025H2_2026P1_spearman_net_r
signal_score,postmortem_association_not_threshold_selection,28,0.9911342005810428,0.1291735084838533,26,0.8086423205533686,-0.027692307692307693,15,0.8481842915516163,0.08214285714285714
k1_body_atr,postmortem_association_not_threshold_selection,28,0.893370373779105,0.20634920634920634,26,0.7923974108422418,0.031794871794871796,15,0.8430332269132831,0.16071428571428573
k1_range_atr,postmortem_association_not_threshold_selection,28,1.4356592611330756,0.1499726327312534,26,1.2052371650535605,0.13230769230769232,15,1.3371791344631618,0.3678571428571429
k1_close_location,postmortem_association_not_threshold_selection,28,0.8749383527864538,0.13902572523262177,26,0.8393983980231122,-0.15282051282051282,15,0.7890625000000012,0.3142857142857143
k1_signed_slow_side_atr,postmortem_association_not_threshold_selection,28,0.90377074210029,-0.0421455938697318,26,0.6587356264345158,-0.2382905982905983,15,0.4069649571276373,-0.40714285714285714
k1_range_release,postmortem_association_not_threshold_selection,28,1.8798228969006956,0.1724137931034483,26,1.398011524121567,0.107008547008547,15,1.5375375375375402,0.36428571428571427
k1_volume_release,postmortem_association_not_threshold_selection,28,1.6454176723143719,0.2014230979748221,26,1.2644735162530787,0.16444444444444445,15,1.3568795701591851,0.25357142857142856
neutral_to_k1_bars,postmortem_association_not_threshold_selection,28,5.5,-0.03571670039166343,26,4.5,0.14642989500114886,15,5.0,-0.5166686181490379
k1_k2_gap,postmortem_association_not_threshold_selection,28,2.0,-0.06635214584566508,26,2.0,-0.04140229519583885,15,2.0,-0.02664468329841851
k2_touch_depth_atr,postmortem_association_not_threshold_selection,28,0.1302190869190358,-0.037219485495347565,26,0.0602156745009235,-0.4017094017094017,15,0.0715195187070664,-0.4857142857142857
k2_body_side_atr,postmortem_association_not_threshold_selection,28,0.2578068774513891,0.18007662835249041,26,0.28151373398742774,-0.13367521367521368,15,0.1536896908675575,-0.16785714285714284
k2_close_side_atr,postmortem_association_not_threshold_selection,28,0.5190075000002725,0.20744389709906952,26,0.45965938593996464,-0.24717948717948718,15,0.4310049825669773,-0.1357142857142857
k2_wick_share,postmortem_association_not_threshold_selection,28,0.40539403964226517,-0.17405582922824303,26,0.3817569976368964,-0.3128205128205128,15,0.3973063973063988,-0.48928571428571427
k2_body_ratio,postmortem_association_not_threshold_selection,28,0.34631062951496316,-0.08264915161466886,26,0.24729735172112222,-0.1576068376068376,15,0.391799544419135,0.125
k2_signed_spread_atr,postmortem_association_not_threshold_selection,28,0.5403495322140959,-0.06677613574165299,26,0.41736276887181095,-0.28136752136752136,15,0.4178056135164786,-0.48214285714285715
k2_signed_fast_slope3_atr,postmortem_association_not_threshold_selection,28,0.042126255748670904,0.0049261083743842365,26,0.03727785778477575,0.07076923076923076,15,0.0385745771352893,-0.3964285714285714
transition_votes,postmortem_association_not_threshold_selection,28,2.0,0.1032537456883155,26,2.5,-0.14754226313075536,15,3.0,0.152362350055011
risk_atr,postmortem_association_not_threshold_selection,28,2.0,0.2561110083949684,26,2.0,,15,2.0,
