phase,policy,start_inclusive,end_exclusive,events,symbols,mean_gross_bp,mean_net_bp,median_net_bp,profit_factor,win_rate,positive_folds,total_folds,positive_symbol_share,runner_armed_share,banked_any_share,top_score_decile_events,top_score_decile_mean_net_bp,week_cluster_signflip_p,matched_events,matched_control_mean_net_bp,matched_excess_bp,matched_signflip_p,portfolio_total_return,portfolio_closed_equity_max_drawdown,repository_holdout_rows_read,registered_result
v1_selection,baseline,2022-01-01T00:00:00Z,2024-01-01T00:00:00Z,22,16,540.6480639203462,520.6480639203462,-343.35897274966817,2.6160534315204655,0.3181818181818182,0,4,0.375,0.3181818181818182,0.45454545454545453,3,3181.3409415675505,0.1086104032836413,,,,,,,0,True
v1_selection,candidate,2022-01-01T00:00:00Z,2024-01-01T00:00:00Z,22,16,540.6480639203462,520.6480639203462,-343.35897274966817,2.6160534315204655,0.3181818181818182,0,4,0.375,0.3181818181818182,0.45454545454545453,3,3181.3409415675505,0.1086104032836413,,,,,0.03503637394096093,-0.029692550459837985,0,True
v1_audit,baseline,2024-01-01T00:00:00Z,2025-07-01T00:00:00Z,23,20,-462.1671978109288,-482.1671978109287,-504.66495997910863,0.08419456634007426,0.043478260869565216,0,3,0.05,0.30434782608695654,0.34782608695652173,3,-782.2707985731558,0.9969484284406469,,,,,,,0,True
v1_audit,candidate,2024-01-01T00:00:00Z,2025-07-01T00:00:00Z,23,20,-462.1671978109288,-482.1671978109287,-504.66495997910863,0.08419456634007426,0.043478260869565216,0,3,0.05,0.30434782608695654,0.34782608695652173,3,-782.2707985731558,0.9969484284406469,22.0,-87.84236001180561,-374.13829404517986,0.9392164042475284,-0.09652960903315533,-0.09652960903315533,0,True
v2_development,baseline,2022-07-01T00:00:00Z,2025-07-01T00:00:00Z,49,30,-77.90891944275823,-97.90891944275826,-466.4608133608772,0.7767051315274491,0.16326530612244897,2,6,0.2,0.30612244897959184,0.3877551020408163,5,1279.578319539287,0.5704742952570474,,,,,,,0,True
v2_development,candidate,2022-07-01T00:00:00Z,2025-07-01T00:00:00Z,54,31,-27.368465584457695,-47.36846558445772,-765.3860683894881,0.9357755968166905,0.2777777777777778,3,6,0.3870967741935484,0.3333333333333333,0.3333333333333333,6,478.6968130218361,0.6222737772622273,,,,,-0.015804089854740577,-0.06560188418901558,0,True
v2_confirmation,baseline,2025-07-01T00:00:00Z,2026-05-01T00:00:00Z,13,11,-601.1022052101558,-621.1022052101558,-546.5410000565183,0.0,0.0,0,3,0.0,0.15384615384615385,0.3076923076923077,2,-875.2319790847076,1.0,,,,,,,0,True
v2_confirmation,candidate,2025-07-01T00:00:00Z,2026-05-01T00:00:00Z,15,12,-870.3756024108475,-890.3756024108479,-1017.9261231201542,0.08158391725483682,0.13333333333333333,0,3,0.08333333333333333,0.0,0.0,2,-1494.569025376578,1.0,11.0,-249.76605279765127,-751.4157277760145,0.8914728682170543,-0.049438644557167954,-0.053269900864413855,0,True
