cohort,events,threshold_r,live_path_reach_share,full_horizon_reach_share,evidence_role
2022H2-2023,28,0.5,0.6428571428571429,0.8214285714285714,postmortem_path_diagnostic
2022H2-2023,28,1.0,0.4642857142857143,0.6071428571428571,postmortem_path_diagnostic
2022H2-2023,28,1.5,0.42857142857142855,0.5714285714285714,postmortem_path_diagnostic
2022H2-2023,28,2.0,0.35714285714285715,0.4642857142857143,postmortem_path_diagnostic
2022H2-2023,28,3.0,0.2857142857142857,0.35714285714285715,postmortem_path_diagnostic
2022H2-2023,28,6.0,0.03571428571428571,0.10714285714285714,postmortem_path_diagnostic
2024-2025H1,26,0.5,0.6923076923076923,0.9230769230769231,postmortem_path_diagnostic
2024-2025H1,26,1.0,0.34615384615384615,0.6153846153846154,postmortem_path_diagnostic
2024-2025H1,26,1.5,0.23076923076923078,0.5769230769230769,postmortem_path_diagnostic
2024-2025H1,26,2.0,0.23076923076923078,0.5769230769230769,postmortem_path_diagnostic
2024-2025H1,26,3.0,0.07692307692307693,0.34615384615384615,postmortem_path_diagnostic
2024-2025H1,26,6.0,0.0,0.15384615384615385,postmortem_path_diagnostic
2025H2-2026P1 confirmation,15,0.5,0.4,0.5333333333333333,postmortem_path_diagnostic
2025H2-2026P1 confirmation,15,1.0,0.3333333333333333,0.4666666666666667,postmortem_path_diagnostic
2025H2-2026P1 confirmation,15,1.5,0.0,0.2,postmortem_path_diagnostic
2025H2-2026P1 confirmation,15,2.0,0.0,0.13333333333333333,postmortem_path_diagnostic
2025H2-2026P1 confirmation,15,3.0,0.0,0.06666666666666667,postmortem_path_diagnostic
2025H2-2026P1 confirmation,15,6.0,0.0,0.0,postmortem_path_diagnostic
