setup_id,symbol,direction,entry_time,outcome,failure_mode,hold_bars,net_return_r,mfe_at_exit_r,horizon_mfe_r,mae_at_exit_r,signal_score,transition_votes,neutral_to_k1_bars,k1_k2_gap,k1_range_release,k1_volume_release,k2_signed_spread_atr,k2_signed_fast_slope3_atr,net_bp
c4312a529d87cdae,NEAR,LONG,2025-08-24 00:00:00+00:00,structure_2close_next_open,false_launch_or_no_followthrough,3,-0.4667197945851895,0.227668192480579,1.6531815340351204,0.9184341855750672,1.0827964125255671,3,3,1,2.2215189873417733,1.970497684960335,-0.2790159239031993,-0.0486396997275834,-668.148148148148
97624aee3da55a3e,ORDI,SHORT,2025-09-01 00:00:00+00:00,structure_2close_next_open,early_exit_then_two_r_recovery,8,-0.4522681730565306,0.3633363661568765,4.895846567359933,0.5117145680429307,0.7204733980219437,2,1,2,1.2020725388601037,1.1047948342575045,0.4178056135164786,0.0599092858129117,-826.95652173913
7625d2e97b7cf6a8,PI,LONG,2025-09-16 00:00:00+00:00,hard_disaster_stop,false_launch_or_no_followthrough,7,-1.0200415637356677,0.1708406075846433,0.1708406075846433,4.9011649716905925,0.8884059628565035,2,8,3,1.789915966386559,1.4603893503072427,-0.2626208032197787,0.0781292591010037,-1017.926123120154
77f7d5850f9c872e,DOT,LONG,2025-09-18 00:00:00+00:00,hard_disaster_stop,false_launch_or_no_followthrough,5,-1.020315400956427,1.1032449053819655,1.1032449053819655,1.414830809621643,0.8081347858171918,2,8,1,1.142857142857142,1.246462450160528,0.8371608250602341,0.0700130677521305,-1004.4747855529209
827df16b3f811f5a,SAND,LONG,2025-09-18 00:00:00+00:00,hard_disaster_stop,false_launch_or_no_followthrough,5,-1.0185132637382186,0.2656692152050008,0.2656692152050008,1.5223741545455067,0.6389739305624459,2,7,1,0.9961089494163406,0.8449965087648378,0.6185313587054126,0.0204229783273187,-1100.306545771977
205c9f071742124b,CRV,LONG,2026-01-16 00:00:00+00:00,hard_disaster_stop,false_launch_or_no_followthrough,4,-1.0167685039634258,0.3694430667741075,0.3694430667741075,1.5275417994079683,1.2014930466796567,3,10,2,2.2094017094017104,1.2413740438976224,0.8187610673107706,0.0912206417113025,-1212.712244552195
d3963ef7045894e5,HYPE,LONG,2026-02-01 00:00:00+00:00,structure_2close_next_open,early_exit_then_two_r_recovery,24,-0.7299199337484592,1.3571612394852832,2.699863175137884,0.9879914188457932,1.2128533969058952,4,7,5,2.1122112211221107,1.5108403103649228,0.6470551902106184,0.2483999883532361,-1286.49246749895
16ab78b43f69d68a,UNI,LONG,2026-03-12 00:00:00+00:00,structure_2close_next_open,false_launch_or_no_followthrough,8,-0.6003327416757985,0.5677442232606386,0.5677442232606386,0.7362360572605693,0.8712934147028414,3,5,2,1.5286041189931343,1.133622183535271,0.6706674309772842,0.0385745771352893,-841.144470105208
6edfec6c15d20366,DOGE,SHORT,2026-03-20 00:00:00+00:00,structure_2close_next_open,false_launch_or_no_followthrough,29,-0.4855465959739217,0.4586236310409002,0.4586236310409002,0.6943274135444997,0.665473863467162,2,2,1,1.3641434262948235,1.101496769058518,0.0512583004239401,-0.0352124420027438,-650.0813008130079
97023ca242079587,ORDI,SHORT,2026-03-20 00:00:00+00:00,hard_disaster_stop,false_launch_or_no_followthrough,27,-1.0134150127719137,1.0271039429348436,1.0271039429348436,2.8197681191977777,0.6889139775262579,2,2,1,1.5375375375375402,0.9269247372524028,-0.0258826391448986,-0.0466373906126744,-1510.8670114630172
bd815879e3febc5e,SAND,SHORT,2026-03-20 00:00:00+00:00,phase_end_timeout,ordinary_winner,42,0.7909874802557022,1.0032306338148704,1.0032306338148704,0.4373056608936618,0.8770677074616017,3,1,1,1.80651731160896,1.6653208166286806,-0.0721639211755899,-0.0474586666948968,1095.8903772889269
9fc01508c8c08da0,CRV,SHORT,2026-03-28 00:00:00+00:00,hard_disaster_stop,false_launch_or_no_followthrough,21,-1.012855690590194,0.2012571985459112,0.2012571985459112,1.1641954869732698,0.8079719551033845,4,5,1,1.2808219178082174,1.3568795701591851,0.5070711778895458,0.0626249900731156,-1575.7312817761178
49aea798e16bf3d6,AVAX,SHORT,2026-04-07 00:00:00+00:00,hard_disaster_stop,false_launch_or_no_followthrough,11,-1.0177849975764406,0.4340731609590901,0.4340731609590901,1.1191886339014343,0.8481842915516163,3,6,4,1.2427184466019372,1.5911256229901274,0.5222141564170458,0.0073563746274307,-1144.543307585002
70a16e344c9c6981,ZRO,LONG,2026-04-10 00:00:00+00:00,hard_disaster_stop,false_launch_or_no_followthrough,10,-1.0118860443334243,0.2116121232881448,0.2116121232881448,1.7495255826780438,1.232315350132217,3,2,2,2.430034129692836,2.6255019405995403,-0.4160961873219058,0.0195087681494889,-1702.6455832542051
a71e2b08e81c6c10,VIRTUAL,LONG,2026-04-11 00:00:00+00:00,phase_end_timeout,ordinary_winner,20,0.067325109838813,1.2779780235088558,1.2779780235088558,0.4329342360943375,0.8456185912840642,2,10,3,2.0072992700729917,1.4810172309913243,-0.535302630575599,0.0475512488169992,90.505377928393
