setup_id,symbol,entry_time,match_status,matched_control_count,candidate_net_return,control_mean_net_return,paired_excess_return,available_controls,candidate_net_bp,control_mean_net_bp,paired_excess_bp
d3963ef7045894e5,HYPE,2026-02-01 00:00:00+00:00,matched_exact,3.0,-0.128649246749895,0.2645450573238957,-0.3931943040737908,,-1286.49246749895,2645.450573238957,-3931.943040737908
49aea798e16bf3d6,AVAX,2026-04-07 00:00:00+00:00,matched_exact,3.0,-0.1144543307585002,0.2369068328032146,-0.3513611635617149,,-1144.543307585002,2369.068328032146,-3513.6116356171487
77f7d5850f9c872e,DOT,2025-09-18 00:00:00+00:00,matched_exact,3.0,-0.1004474785552921,0.0219055349183134,-0.1223530134736056,,-1004.4747855529209,219.05534918313398,-1223.530134736056
827df16b3f811f5a,SAND,2025-09-18 00:00:00+00:00,matched_exact,3.0,-0.1100306545771977,0.0048319083834378,-0.1148625629606355,,-1100.306545771977,48.319083834378,-1148.625629606355
97624aee3da55a3e,ORDI,2025-09-01 00:00:00+00:00,matched_exact,3.0,-0.082695652173913,0.0288007857387887,-0.1114964379127017,,-826.95652173913,288.007857387887,-1114.9643791270169
7625d2e97b7cf6a8,PI,2025-09-16 00:00:00+00:00,matched_exact,3.0,-0.1017926123120154,-0.088978655718789,-0.0128139565932263,,-1017.926123120154,-889.78655718789,-128.139565932263
97023ca242079587,ORDI,2026-03-20 00:00:00+00:00,matched_exact,3.0,-0.1510867011463017,-0.1415892900214134,-0.0094974111248883,,-1510.8670114630172,-1415.892900214134,-94.974111248883
70a16e344c9c6981,ZRO,2026-04-10 00:00:00+00:00,matched_exact,3.0,-0.1702645583254205,-0.1681932695497961,-0.0020712887756244,,-1702.6455832542051,-1681.932695497961,-20.712887756243997
16ab78b43f69d68a,UNI,2026-03-12 00:00:00+00:00,matched_exact,3.0,-0.0841144470105208,-0.1435513643171833,0.0594369173066625,,-841.144470105208,-1435.5136431718329,594.369173066625
c4312a529d87cdae,NEAR,2025-08-24 00:00:00+00:00,matched_exact,3.0,-0.0668148148148148,-0.1500816169109035,0.0832668020960887,,-668.148148148148,-1500.816169109035,832.6680209608869
a71e2b08e81c6c10,VIRTUAL,2026-04-11 00:00:00+00:00,matched_exact,3.0,0.0090505377928393,-0.1393385807269812,0.1483891185198206,,90.505377928393,-1393.385807269812,1483.891185198206
