stage,factor,value,bank_total_fraction,step_atr,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,first_target_excursions,profit_to_nonpositive_events,profit_to_nonpositive_share,mean_banked_gross_bp,median_giveback_atr,p95_net_bp,profit_floor_gap_breaches,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp
1,bank_total_fraction,0.45,0.45,2.0,182,-3.744442475592551,-23.74444247559256,-39.595827718691396,0.45604395604395603,0.5182623356477287,-0.462584262636326,-0.4675786912899589,11.0,70.18801553894409,529.4905969933645,0.26465444018302114,136,53,0.3897058823529412,13.778109275833813,4.618904903541573,151.10108372510578,11,41,True,-25.22453024216751,-36.40308682475328
1,bank_total_fraction,0.6,0.6,2.0,182,-2.9452101213264554,-22.945210121326465,-39.595827718691396,0.45604395604395603,0.5341226099766362,-0.45434239009745037,-0.4589747536359883,11.0,83.46315205657224,411.85766093159344,0.2818848744371574,136,53,0.3897058823529412,18.37081236777842,4.581902571943717,153.44164285011078,12,41,True,-25.20157404755019,-34.11431331221271
1,bank_total_fraction,0.75,0.75,2.0,182,-3.307703979890758,-23.307703979890768,-39.595827718691396,0.46153846153846156,0.5264444446694219,-0.4655211766380879,-0.4696282663928809,10.0,79.92390448730283,299.56050054374185,0.29117752319378953,136,52,0.38235294117647056,22.236205312450952,4.522275924172986,129.72016684657385,15,41,True,-26.64444232054326,-32.268978087968435
2,step_atr,1.5,0.75,1.5,182,-4.958110529684816,-24.95811052968482,-2.6657799844401024,0.47802197802197804,0.4431232002297614,-0.4865256100070382,-0.4865256100070382,8.0,73.20234028889202,272.06788147603356,0.251615802985232,145,58,0.4,18.073158047475765,4.862740803410825,93.78226410466715,27,41,True,-28.214543012260823,-34.483599402848235
2,step_atr,2.0,0.75,2.0,182,-3.307703979890758,-23.307703979890768,-39.595827718691396,0.46153846153846156,0.5264444446694219,-0.4655211766380879,-0.4696282663928809,10.0,79.92390448730283,299.56050054374185,0.29117752319378953,136,52,0.38235294117647056,22.236205312450952,4.522275924172986,129.72016684657385,15,41,True,-26.64444232054326,-32.268978087968435
2,step_atr,2.5,0.75,2.5,182,-1.3222694081593027,-21.322269408159308,-51.69587423540066,0.4340659340659341,0.5920421777737447,-0.44575589892605627,-0.4520293846630282,12.0,95.63568243702886,355.60893926973756,0.3263107736924075,130,51,0.3923076923076923,26.14822924070405,4.2208156810617785,167.9519220835859,12,41,True,-25.302994369057675,-26.992452562687344
2,step_atr,3.0,0.75,3.0,182,-4.2610202713126055,-24.261020271312614,-57.24607111708189,0.38461538461538464,0.5599268081336364,-0.48460253789410435,-0.48987858270145446,14.5,88.5524480946678,365.40145745504157,0.3237080208325312,117,48,0.41025641025641024,23.35165487741571,4.43989456998568,169.92661500901718,5,41,True,-31.091030057687174,-30.951935134368348
