fold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,first_target_excursions,profit_to_nonpositive_events,profit_to_nonpositive_share,mean_banked_gross_bp,median_giveback_atr,p95_net_bp,profit_floor_gap_breaches,policy
2023H1,46,6.218261087661921,-13.781738912338081,8.513346583577265,0.5434782608695652,0.6452054578770091,-0.10749015768067283,-0.10749015768067283,13.5,68.18061616837444,165.66292433324247,0.3084916691350255,32,7,0.21875,22.51578970015855,3.4642423114612013,121.97209619451479,3,progressive
2023H2,41,0.12352167308781355,-19.87647832691219,-42.36109828547273,0.34146341463414637,0.5092002016369622,-0.19738750848598052,-0.2228858373464221,8.0,80.28214921427747,294.22472486982207,0.3250742590331579,33,19,0.5757575757575758,14.343636877072578,4.9742469212978495,104.65177641737269,7,progressive
2024H1,47,-6.472246271206002,-26.472246271206007,-9.578598786729435,0.46808510638297873,0.5079660227848442,-0.1335766488329534,-0.14488074673474505,12.0,85.67698368760296,262.44144202922314,0.27297467051475305,33,11,0.3333333333333333,24.042659922425827,3.716949836476073,142.7477600605628,3,progressive
2024H2,48,-12.268978087968431,-32.268978087968435,-61.12763504259709,0.4791666666666667,0.4805505674012739,-0.13884480585321357,-0.14837068051731128,8.0,81.18622794588259,299.56050054374185,0.2648242001788915,38,15,0.39473684210526316,26.94101900718313,5.696799095593114,118.40695866603414,2,progressive
