stream,period,arm,base_risk_usdt,max_level,reset_mode,leverage_cap,candidates,opportunities,natural_closed,boundary_marks,initial_balance,final_balance,min_balance,max_balance,profit,return,max_realized_drawdown,n_candidates,n_accepted,n_rejected,ruined,max_requested_level,max_executed_level,max_executed_notional,max_effective_leverage,wins,losses,capped_cycle_resets,ending_level,matched_control_pnl,matched_actual_pnl,matched_delta,matched_n,matched_p,clusters,reference_mean_net_r,reference_win_rate,reference_net_r_sum
ETH_3m_OKX,development,martingale,20,4,win,5,923,744,744,0,1000.0,923.3234502980324,923.3234502980324,1000.0,-76.67654970196759,-0.07667654970196758,0.07667654970196759,744,2,742,False,2,1,4946.517189835536,4.946517189835536,0,2,0,2,-0.8213510495680936,-76.67654970196755,-75.85519865239945,2,0.5055,2,-0.759496737905429,0.22446236559139784,-565.0655730016392
ETH_3m_OKX,development,fixed,20,0,win,5,923,744,744,0,1000.0,286.32221674794414,286.32221674794414,1000.0,-713.6777832520559,-0.7136777832520559,0.7136777832520559,744,52,692,False,0,0,4946.517189835536,4.946517189835536,8,44,26,0,-671.9474716547651,-713.6777832520559,-41.73031159729079,52,0.8233,14,-0.759496737905429,0.22446236559139784,-565.0655730016392
ETH_3m_OKX,validation,martingale,20,4,win,5,653,525,525,0,1000.0,752.7182752301509,752.7182752301509,1076.7614938379525,-247.28172476984912,-0.2472817247698491,0.30094242825567513,525,14,511,False,4,3,4807.2619047618855,4.773334437495884,5,9,0,4,-176.86715874209327,-247.28172476984906,-70.41456602775581,14,0.4901,3,-0.48172961009264337,0.26285714285714284,-252.90804529863777
ETH_3m_OKX,validation,fixed,20,0,win,5,653,525,525,0,1000.0,381.0271287244045,322.6030234306471,1047.2831906264078,-618.9728712755955,-0.6189728712755955,0.6919619962221587,525,97,428,False,0,0,4736.21340273249,4.944140676481804,32,65,50,0,-624.0593699882563,-618.9728712755954,5.086498712660877,97,0.9807,11,-0.48172961009264337,0.26285714285714284,-252.90804529863777
ETH_3m_OKX,preholdout,martingale,20,4,win,5,233,185,185,0,1000.0,862.6334280662145,862.6334280662145,1000.0,-137.3665719337855,-0.13736657193378554,0.13736657193378551,185,4,181,False,2,1,4268.76177658139,4.374115172151719,0,4,0,2,131.32740610503345,-137.36657193378548,-268.6939780388189,4,1.0,1,-0.4598820556243135,0.2648648648648649,-85.078180290498
ETH_3m_OKX,preholdout,fixed,20,0,win,5,233,185,185,0,1000.0,727.3329817719283,711.3796180463909,1041.9522404397678,-272.6670182280717,-0.2726670182280717,0.3086888742720137,185,68,117,False,0,0,4639.887482419044,4.934082796874143,20,48,31,0,-357.26443470217924,-272.6670182280717,84.59741647410766,68,1.0,4,-0.4598820556243135,0.2648648648648649,-85.078180290498
ETH_3m_OKX,continuous_pre,martingale,20,4,win,5,1809,1454,1454,0,1000.0,724.8232795529119,724.8232795529119,1048.8664981607135,-275.1767204470881,-0.2751767204470881,0.3089461043669923,1454,11,1443,False,4,3,4946.517189835536,4.946517189835536,3,8,0,4,-37.544458844987645,-275.1767204470881,-237.63226160210047,11,0.0625,5,-0.6210810169125001,0.24346629986244842,-903.0517985907751
ETH_3m_OKX,continuous_pre,fixed,20,0,win,5,1809,1454,1454,0,1000.0,387.3212347412781,242.0504291252201,1000.0,-612.6787652587219,-0.6126787652587219,0.75794957087478,1454,87,1367,False,0,0,4946.517189835536,4.946517189835536,23,64,36,0,-567.6495768726985,-612.678765258722,-45.029188386023165,87,0.8807,26,-0.6210810169125001,0.24346629986244842,-903.0517985907751
ETH_5m_Binance,development,martingale,50,4,recovery,3,558,439,439,0,1000.0,885.1298026353684,885.1298026353684,1000.0,-114.87019736463162,-0.11487019736463167,0.11487019736463162,439,2,437,False,1,1,2979.9064299424303,2.9799064299424303,0,2,0,1,-10.280033058648158,-114.87019736463166,-104.5901643059835,2,1.0,1,-0.659866335063068,0.22323462414578588,-289.68132109268686
ETH_5m_Binance,development,fixed,50,0,win,3,558,439,439,0,1000.0,799.9343787306178,799.9343787306178,1000.0,-200.06562126938218,-0.2000656212693822,0.20006562126938218,439,6,433,False,0,0,2979.9064299424303,2.9799064299424303,1,5,2,0,-51.13559786342171,-200.06562126938206,-148.93002340596036,6,0.5055,2,-0.659866335063068,0.22323462414578588,-289.68132109268686
