event_id,fold,case_state,control_ids,control_total,control_accepted,control_abstain,control_unknown,all_known
2024-08-23T12:00:00+00:00_L,2024H2,abstain,2024-08-23T12:00:00+00:00_L::control0|2024-08-23T12:00:00+00:00_L::control1|2024-08-23T12:00:00+00:00_L::control2,3,0,3,0,True
2024-08-31T13:00:00+00:00_S,2024H2,abstain,2024-08-31T13:00:00+00:00_S::control0|2024-08-31T13:00:00+00:00_S::control1|2024-08-31T13:00:00+00:00_S::control2,3,0,3,0,True
2024-09-04T19:00:00+00:00_L,2024H2,abstain,2024-09-04T19:00:00+00:00_L::control0|2024-09-04T19:00:00+00:00_L::control1|2024-09-04T19:00:00+00:00_L::control2,3,1,2,0,True
2024-09-05T03:00:00+00:00_S,2024H2,abstain,2024-09-05T03:00:00+00:00_S::control0|2024-09-05T03:00:00+00:00_S::control1|2024-09-05T03:00:00+00:00_S::control2,3,1,2,0,True
2024-09-06T13:00:00+00:00_S,2024H2,abstain,2024-09-06T13:00:00+00:00_S::control0|2024-09-06T13:00:00+00:00_S::control1|2024-09-06T13:00:00+00:00_S::control2,3,1,2,0,True
2024-09-13T07:00:00+00:00_L,2024H2,abstain,2024-09-13T07:00:00+00:00_L::control0|2024-09-13T07:00:00+00:00_L::control1|2024-09-13T07:00:00+00:00_L::control2,3,0,3,0,True
2024-09-22T21:00:00+00:00_S,2024H2,abstain,2024-09-22T21:00:00+00:00_S::control0|2024-09-22T21:00:00+00:00_S::control1|2024-09-22T21:00:00+00:00_S::control2,3,0,3,0,True
2024-09-22T22:00:00+00:00_L,2024H2,accepted,2024-09-22T22:00:00+00:00_L::control0|2024-09-22T22:00:00+00:00_L::control1|2024-09-22T22:00:00+00:00_L::control2,3,0,3,0,True
2024-09-24T00:00:00+00:00_S,2024H2,accepted,2024-09-24T00:00:00+00:00_S::control0|2024-09-24T00:00:00+00:00_S::control1|2024-09-24T00:00:00+00:00_S::control2,3,0,3,0,True
2024-10-03T07:00:00+00:00_S,2024H2,abstain,2024-10-03T07:00:00+00:00_S::control0|2024-10-03T07:00:00+00:00_S::control1|2024-10-03T07:00:00+00:00_S::control2,3,0,3,0,True
2024-10-05T22:00:00+00:00_L,2024H2,abstain,2024-10-05T22:00:00+00:00_L::control0|2024-10-05T22:00:00+00:00_L::control1|2024-10-05T22:00:00+00:00_L::control2,3,1,2,0,True
2024-10-06T01:00:00+00:00_L,2024H2,abstain,2024-10-06T01:00:00+00:00_L::control0|2024-10-06T01:00:00+00:00_L::control1|2024-10-06T01:00:00+00:00_L::control2,3,0,3,0,True
2024-10-07T19:00:00+00:00_L,2024H2,abstain,2024-10-07T19:00:00+00:00_L::control0|2024-10-07T19:00:00+00:00_L::control1|2024-10-07T19:00:00+00:00_L::control2,3,0,3,0,True
2024-10-07T22:00:00+00:00_S,2024H2,accepted,2024-10-07T22:00:00+00:00_S::control0|2024-10-07T22:00:00+00:00_S::control1|2024-10-07T22:00:00+00:00_S::control2,3,1,2,0,True
2024-10-17T06:00:00+00:00_S,2024H2,abstain,2024-10-17T06:00:00+00:00_S::control0|2024-10-17T06:00:00+00:00_S::control1|2024-10-17T06:00:00+00:00_S::control2,3,0,3,0,True
2024-10-18T01:00:00+00:00_L,2024H2,accepted,2024-10-18T01:00:00+00:00_L::control0|2024-10-18T01:00:00+00:00_L::control1|2024-10-18T01:00:00+00:00_L::control2,3,0,3,0,True
2024-10-19T14:00:00+00:00_L,2024H2,abstain,2024-10-19T14:00:00+00:00_L::control0|2024-10-19T14:00:00+00:00_L::control1|2024-10-19T14:00:00+00:00_L::control2,3,2,1,0,True
2024-10-30T20:00:00+00:00_L,2024H2,accepted,2024-10-30T20:00:00+00:00_L::control0|2024-10-30T20:00:00+00:00_L::control1|2024-10-30T20:00:00+00:00_L::control2,3,0,3,0,True
2024-10-31T01:00:00+00:00_L,2024H2,abstain,2024-10-31T01:00:00+00:00_L::control0|2024-10-31T01:00:00+00:00_L::control1|2024-10-31T01:00:00+00:00_L::control2,3,0,3,0,True
2024-10-31T10:00:00+00:00_L,2024H2,abstain,2024-10-31T10:00:00+00:00_L::control0|2024-10-31T10:00:00+00:00_L::control1|2024-10-31T10:00:00+00:00_L::control2,3,0,3,0,True
2024-11-01T15:00:00+00:00_S,2024H2,abstain,2024-11-01T15:00:00+00:00_S::control0|2024-11-01T15:00:00+00:00_S::control1|2024-11-01T15:00:00+00:00_S::control2,3,0,3,0,True
2024-11-13T13:00:00+00:00_L,2024H2,abstain,2024-11-13T13:00:00+00:00_L::control0|2024-11-13T13:00:00+00:00_L::control1|2024-11-13T13:00:00+00:00_L::control2,3,1,2,0,True
2024-11-22T15:00:00+00:00_L,2024H2,abstain,2024-11-22T15:00:00+00:00_L::control0|2024-11-22T15:00:00+00:00_L::control1|2024-11-22T15:00:00+00:00_L::control2,3,1,2,0,True
2024-11-23T14:00:00+00:00_L,2024H2,abstain,2024-11-23T14:00:00+00:00_L::control0|2024-11-23T14:00:00+00:00_L::control1|2024-11-23T14:00:00+00:00_L::control2,3,1,2,0,True
2024-11-28T18:00:00+00:00_L,2024H2,abstain,2024-11-28T18:00:00+00:00_L::control0|2024-11-28T18:00:00+00:00_L::control1|2024-11-28T18:00:00+00:00_L::control2,3,0,3,0,True
2024-12-04T16:00:00+00:00_S,2024H2,accepted,2024-12-04T16:00:00+00:00_S::control0|2024-12-04T16:00:00+00:00_S::control1|2024-12-04T16:00:00+00:00_S::control2,3,1,2,0,True
2024-12-06T17:00:00+00:00_L,2024H2,accepted,2024-12-06T17:00:00+00:00_L::control0|2024-12-06T17:00:00+00:00_L::control1|2024-12-06T17:00:00+00:00_L::control2,3,0,3,0,True
2024-12-08T19:00:00+00:00_L,2024H2,abstain,2024-12-08T19:00:00+00:00_L::control0|2024-12-08T19:00:00+00:00_L::control1|2024-12-08T19:00:00+00:00_L::control2,3,0,3,0,True
2024-12-09T15:00:00+00:00_S,2024H2,accepted,2024-12-09T15:00:00+00:00_S::control0|2024-12-09T15:00:00+00:00_S::control1|2024-12-09T15:00:00+00:00_S::control2,3,2,1,0,True
2024-12-13T14:00:00+00:00_L,2024H2,abstain,2024-12-13T14:00:00+00:00_L::control0|2024-12-13T14:00:00+00:00_L::control1|2024-12-13T14:00:00+00:00_L::control2,3,0,3,0,True
2024-12-14T19:00:00+00:00_L,2024H2,abstain,2024-12-14T19:00:00+00:00_L::control0|2024-12-14T19:00:00+00:00_L::control1|2024-12-14T19:00:00+00:00_L::control2,3,0,3,0,True
2024-12-23T13:00:00+00:00_S,2024H2,abstain,2024-12-23T13:00:00+00:00_S::control0|2024-12-23T13:00:00+00:00_S::control1|2024-12-23T13:00:00+00:00_S::control2,3,1,2,0,True
