event_id,fold,case_state,control_ids,control_total,control_accepted,control_abstain,control_unknown,all_known
2023-07-17T22:00:00+00:00_S,2023H2,abstain,2023-07-17T22:00:00+00:00_S::control0|2023-07-17T22:00:00+00:00_S::control1|2023-07-17T22:00:00+00:00_S::control2,3,0,3,0,True
2023-07-18T02:00:00+00:00_S,2023H2,abstain,2023-07-18T02:00:00+00:00_S::control0|2023-07-18T02:00:00+00:00_S::control1|2023-07-18T02:00:00+00:00_S::control2,3,0,3,0,True
2023-07-19T14:00:00+00:00_S,2023H2,abstain,2023-07-19T14:00:00+00:00_S::control0|2023-07-19T14:00:00+00:00_S::control1|2023-07-19T14:00:00+00:00_S::control2,3,0,3,0,True
2023-07-23T04:00:00+00:00_L,2023H2,abstain,2023-07-23T04:00:00+00:00_L::control0|2023-07-23T04:00:00+00:00_L::control1|2023-07-23T04:00:00+00:00_L::control2,3,0,3,0,True
2023-07-24T02:00:00+00:00_S,2023H2,accepted,2023-07-24T02:00:00+00:00_S::control0|2023-07-24T02:00:00+00:00_S::control1|2023-07-24T02:00:00+00:00_S::control2,3,0,3,0,True
2023-07-26T02:00:00+00:00_L,2023H2,abstain,2023-07-26T02:00:00+00:00_L::control0|2023-07-26T02:00:00+00:00_L::control1|2023-07-26T02:00:00+00:00_L::control2,3,0,3,0,True
2023-07-26T12:00:00+00:00_L,2023H2,abstain,2023-07-26T12:00:00+00:00_L::control0|2023-07-26T12:00:00+00:00_L::control1|2023-07-26T12:00:00+00:00_L::control2,3,0,3,0,True
2023-07-28T14:00:00+00:00_L,2023H2,accepted,2023-07-28T14:00:00+00:00_L::control0|2023-07-28T14:00:00+00:00_L::control1|2023-07-28T14:00:00+00:00_L::control2,3,0,3,0,True
2023-07-30T13:00:00+00:00_S,2023H2,abstain,2023-07-30T13:00:00+00:00_S::control0|2023-07-30T13:00:00+00:00_S::control1|2023-07-30T13:00:00+00:00_S::control2,3,0,3,0,True
2023-08-06T12:00:00+00:00_S,2023H2,abstain,2023-08-06T12:00:00+00:00_S::control0|2023-08-06T12:00:00+00:00_S::control1|2023-08-06T12:00:00+00:00_S::control2,3,0,3,0,True
2023-08-11T15:00:00+00:00_S,2023H2,abstain,2023-08-11T15:00:00+00:00_S::control0|2023-08-11T15:00:00+00:00_S::control1|2023-08-11T15:00:00+00:00_S::control2,3,0,3,0,True
2023-08-12T01:00:00+00:00_S,2023H2,abstain,2023-08-12T01:00:00+00:00_S::control0|2023-08-12T01:00:00+00:00_S::control1|2023-08-12T01:00:00+00:00_S::control2,3,0,3,0,True
2023-08-23T10:00:00+00:00_S,2023H2,abstain,2023-08-23T10:00:00+00:00_S::control0|2023-08-23T10:00:00+00:00_S::control1|2023-08-23T10:00:00+00:00_S::control2,3,0,3,0,True
2023-08-29T06:00:00+00:00_S,2023H2,abstain,2023-08-29T06:00:00+00:00_S::control0|2023-08-29T06:00:00+00:00_S::control1|2023-08-29T06:00:00+00:00_S::control2,3,0,3,0,True
