minutes,zones,selected_zones,skipped_zones,skipped_emitted_requests,skipped_winners,skipped_losers,mean_net_bp_per_original_zone,net_event_sum_bp
5,959,959,0,0,0,0,-5.304810080533978,-5087.312867232085
15,959,908,51,24,4,20,-4.100239448165487,-3932.129630790703
