old_win,new_win,n,old_mean_bp,new_mean_bp,delta_mean_bp,delta_event_sum_bp
False,False,190,-63.41527568257943,-85.77601445969012,-22.3607387771107,-4248.540367651032
False,True,24,-39.69622000114209,129.35216791977464,169.04838792091672,4057.1613101020016
True,False,29,28.09009671582693,-53.90399842210138,-81.99409513792831,-2377.8287589999213
True,True,43,165.10897645875428,210.76606209758674,45.65708563883249,1963.2546824697972
