period,gate,column,value,events,mean_net_bp,median_net_bp,win_rate,profit_factor,sum_net_bp
2023 OOF,LONG,direction,1,156,-14.922175990032766,-54.415274988929994,0.16666666666666666,0.7045031515866381,-2327.8594544451116
2023 OOF,SHORT,direction,-1,50,-24.09481768002788,-38.3131154753995,0.18,0.48659995518498467,-1204.740884001394
2023 OOF,K1 found,k1_found,1.0,110,-8.137895858845743,-43.8046100351635,0.17272727272727273,0.8162628853769597,-895.1685444730317
2023 OOF,K1 absent,k1_found,0.0,96,-27.473247853890353,-56.863439429072,0.16666666666666666,0.5072400751410998,-2637.4317939734738
2023 OOF,1h aligned,vote_htf_aligned,1.0,138,-12.161400191072868,-50.868690127681994,0.18115942028985507,0.7474155722640015,-1678.2732263680557
2023 OOF,1h not aligned,vote_htf_aligned,0.0,68,-27.269516354094847,-47.479844795855,0.14705882352941177,0.48202703167751776,-1854.3271120784495
2023 OOF,trend constructive,vote_trend_constructive,1.0,106,-22.225707922473248,-53.112424659492504,0.1509433962264151,0.5617771600949435,-2355.9250397821643
2023 OOF,trend not constructive,vote_trend_constructive,0.0,100,-11.766752986643416,-44.1434359843905,0.19,0.7573007029383365,-1176.6752986643414
2023 OOF,volume confirmed,vote_participation_confirmed,1.0,170,-14.682780128419688,-50.868690127681994,0.17647058823529413,0.7016038377127796,-2496.0726218313466
2023 OOF,volume not confirmed,vote_participation_confirmed,0.0,36,-28.792436572643307,-46.920521874699006,0.1388888888888889,0.44255070162106797,-1036.527716615159
2023 OOF,ETH aligned,vote_eth_aligned,1.0,67,-32.765505161817906,-55.298225511634,0.16417910447761194,0.3750936809282014,-2195.2888458417997
2023 OOF,ETH not aligned,vote_eth_aligned,0.0,139,-9.620945989961914,-45.151051590887995,0.17266187050359713,0.8007398675482035,-1337.311492604706
2023 OOF,family=coil,signal_family,coil,21,-25.731163288368812,-48.554412524245,0.19047619047619047,0.4477776169409101,-540.3544290557451
2023 OOF,family=direct,signal_family,direct,23,-42.22657090682542,-54.697579816878,0.13043478260869565,0.26688565224239086,-971.2111308569848
2023 OOF,family=direct+coil,signal_family,direct+coil,5,82.12439726526179,-19.605232761878,0.2,4.266163885013244,410.621986326309
2023 OOF,family=direct+rejection,signal_family,direct+rejection,87,-16.80911935267171,-45.870088310903,0.1724137931034483,0.6601678788718732,-1462.393383682439
2023 OOF,family=direct+rejection+coil,signal_family,direct+rejection+coil,22,-11.434869651122677,-53.343975248512,0.09090909090909091,0.7755605908554646,-251.5671323246989
2023 OOF,family=rejection,signal_family,rejection,46,-12.749073147866365,-54.297368508914,0.21739130434782608,0.7381864847352417,-586.4573648018528
2023 OOF,family=rejection+coil,signal_family,rejection+coil,2,-65.619442025547,-65.619442025547,0.0,0.0,-131.238884051094
2024 replay,LONG,direction,1,231,-1.344481583072778,-67.215027705477,0.2857142857142857,0.9779648085815303,-310.5752456898117
2024 replay,SHORT,direction,-1,83,-23.26981918063049,-60.858306405933,0.1927710843373494,0.5941013313387606,-1931.3949919923305
2024 replay,K1 found,k1_found,1.0,193,-6.504339896508554,-62.814373567054005,0.26424870466321243,0.8860969637001235,-1255.337600026151
2024 replay,K1 absent,k1_found,0.0,121,-8.153988740958601,-69.666368897993,0.256198347107438,0.874020976645175,-986.6326376559907
2024 replay,1h aligned,vote_htf_aligned,1.0,198,6.071657741429767,-68.7973190494435,0.2727272727272727,1.0994741023176358,1202.1882328030938
2024 replay,1h not aligned,vote_htf_aligned,0.0,116,-29.69102129728651,-59.689347435368504,0.2413793103448276,0.49106544080345105,-3444.1584704852353
2024 replay,trend constructive,vote_trend_constructive,1.0,165,7.6202802477673535,-69.666368897993,0.2727272727272727,1.1265354442127844,1257.3462408816133
2024 replay,trend not constructive,vote_trend_constructive,0.0,149,-23.485345493716473,-60.858306405933,0.2483221476510067,0.6075291085892948,-3499.316478563755
2024 replay,volume confirmed,vote_participation_confirmed,1.0,254,-7.185166496745799,-65.758819957438,0.2677165354330709,0.8827287657918943,-1825.0322901734328
2024 replay,volume not confirmed,vote_participation_confirmed,0.0,60,-6.948965791811816,-54.15076709923951,0.23333333333333334,0.8732842376097534,-416.937947508709
2024 replay,ETH aligned,vote_eth_aligned,1.0,136,-39.43117064235456,-70.6870324016,0.20588235294117646,0.3820311970941807,-5362.63920736022
2024 replay,ETH not aligned,vote_eth_aligned,0.0,178,17.53184814425886,-59.644649734454,0.30337078651685395,1.3067002184275476,3120.6689696780772
2024 replay,family=coil,signal_family,coil,37,-12.223324939522701,-60.948225018659,0.16216216216216217,0.8008811678308468,-452.26302276234
2024 replay,family=direct,signal_family,direct,24,-43.721829027952715,-72.5973294548445,0.25,0.31719929882007136,-1049.3238966708652
2024 replay,family=direct+coil,signal_family,direct+coil,1,-60.858306405933,-60.858306405933,0.0,0.0,-60.858306405933
2024 replay,family=direct+rejection,signal_family,direct+rejection,153,-2.6182956822834234,-64.395437549454,0.2679738562091503,0.9538315272044061,-400.5992393893638
2024 replay,family=direct+rejection+coil,signal_family,direct+rejection+coil,31,-34.34540332008896,-73.412693191131,0.22580645161290322,0.47725247226591677,-1064.7075029227578
2024 replay,family=rejection,signal_family,rejection,65,15.792993533658352,-54.446480747689996,0.3384615384615385,1.2547611884804277,1026.5445796877927
2024 replay,family=rejection+coil,signal_family,rejection+coil,3,-80.25428307289168,-69.696908083682,0.0,0.0,-240.76284921867503
2025-2026P1 audit,LONG,direction,1,272,-2.733913205682184,-48.1679627838235,0.3161764705882353,0.9448318849924933,-743.6243919455541
2025-2026P1 audit,SHORT,direction,-1,103,-43.606806741090416,-56.932089407175006,0.17475728155339806,0.2698774670103894,-4491.501094332312
2025-2026P1 audit,K1 found,k1_found,1.0,228,-18.884809616451758,-54.115692100135,0.23684210526315788,0.6433116027120134,-4305.736592551001
2025-2026P1 audit,K1 absent,k1_found,0.0,147,-6.322373426713367,-50.452055612137,0.3401360544217687,0.8770572819468689,-929.3888937268649
2025-2026P1 audit,1h aligned,vote_htf_aligned,1.0,218,-9.150779005371794,-49.304842677816,0.30275229357798167,0.8130259551835504,-1994.869823171051
2025-2026P1 audit,1h not aligned,vote_htf_aligned,0.0,157,-20.638571102591182,-56.042312843518005,0.24203821656050956,0.6384336122909965,-3240.255663106816
2025-2026P1 audit,trend constructive,vote_trend_constructive,1.0,178,-2.794101388489281,-48.244375227229995,0.3202247191011236,0.9407530728063264,-497.3500471510921
2025-2026P1 audit,trend not constructive,vote_trend_constructive,0.0,197,-24.04962151841002,-54.437118955619,0.23857868020304568,0.5783555089263201,-4737.775439126774
2025-2026P1 audit,volume confirmed,vote_participation_confirmed,1.0,311,-12.211098353638114,-52.600326567047,0.2958199356913183,0.7645360142329602,-3797.6515879814538
2025-2026P1 audit,volume not confirmed,vote_participation_confirmed,0.0,64,-22.460529660881438,-57.399391486033004,0.1875,0.589595165172686,-1437.473898296412
2025-2026P1 audit,ETH aligned,vote_eth_aligned,1.0,143,-14.181121260556548,-49.414432888761006,0.2867132867132867,0.7109262235849598,-2027.9003402595865
2025-2026P1 audit,ETH not aligned,vote_eth_aligned,0.0,232,-13.824246319044311,-54.8201515380605,0.27155172413793105,0.7457768196947178,-3207.2251460182797
2025-2026P1 audit,family=coil,signal_family,coil,31,41.4826169843739,-38.30975520359,0.3870967741935484,2.0569224136558395,1285.9611265155909
2025-2026P1 audit,family=direct,signal_family,direct,59,-37.62197370581634,-57.866693564891,0.2033898305084746,0.333080614826958,-2219.6964486431643
2025-2026P1 audit,family=direct+coil,signal_family,direct+coil,2,-104.735856809308,-104.735856809308,0.0,0.0,-209.471713618616
2025-2026P1 audit,family=direct+rejection,signal_family,direct+rejection,172,-11.164256822414078,-48.98402349631049,0.27906976744186046,0.7768563720007388,-1920.2521734552213
2025-2026P1 audit,family=direct+rejection+coil,signal_family,direct+rejection+coil,32,7.222582408826532,-48.628933764904,0.375,1.1855625652564847,231.12263708244902
