source,i,bar_bj,price,atr,known_close_bj
raw,32,2026-08-13T14:00:00+08:00,0.000863,6.971893316660785e-05,2026-08-13T23:00:00+08:00
raw,74,2026-08-15T08:00:00+08:00,0.000815,3.186053939262035e-05,2026-08-15T17:00:00+08:00
raw,111,2026-08-16T21:00:00+08:00,0.000764,2.1223080759034043e-05,2026-08-17T06:00:00+08:00
raw,137,2026-08-17T23:00:00+08:00,0.0007203,1.557312176854797e-05,2026-08-18T08:00:00+08:00
raw,171,2026-08-19T09:00:00+08:00,0.000709,1.176880869562593e-05,2026-08-19T18:00:00+08:00
raw,191,2026-08-20T05:00:00+08:00,0.0007066,1.0386864465984202e-05,2026-08-20T14:00:00+08:00
raw,211,2026-08-21T01:00:00+08:00,0.0007324,1.140307679390447e-05,2026-08-21T10:00:00+08:00
raw,227,2026-08-21T17:00:00+08:00,0.0008129,1.7065519921598514e-05,2026-08-22T02:00:00+08:00
raw,247,2026-08-22T13:00:00+08:00,0.0008474,2.7353816745878646e-05,2026-08-22T22:00:00+08:00
raw,287,2026-08-24T05:00:00+08:00,0.0007543,1.28689435495157e-05,2026-08-24T14:00:00+08:00
raw,309,2026-08-25T03:00:00+08:00,0.0007666,1.7053622213016368e-05,2026-08-25T12:00:00+08:00
raw,340,2026-08-26T10:00:00+08:00,0.0007337,1.1502331706689354e-05,2026-08-26T19:00:00+08:00
raw,371,2026-08-27T17:00:00+08:00,0.0007464,1.040108574786556e-05,2026-08-28T02:00:00+08:00
raw,394,2026-08-28T16:00:00+08:00,0.000763,1.1351455344888435e-05,2026-08-29T01:00:00+08:00
raw,439,2026-08-30T13:00:00+08:00,0.0007518,7.631550422481586e-06,2026-08-30T22:00:00+08:00
raw,465,2026-08-31T15:00:00+08:00,0.0007372,9.486780012764521e-06,2026-09-01T00:00:00+08:00
raw,482,2026-09-01T08:00:00+08:00,0.0007417,7.401885983121878e-06,2026-09-01T17:00:00+08:00
raw,514,2026-09-02T16:00:00+08:00,0.0007397,8.208541166414429e-06,2026-09-03T01:00:00+08:00
raw,545,2026-09-03T23:00:00+08:00,0.0007369,7.168306040147193e-06,2026-09-04T08:00:00+08:00
raw,579,2026-09-05T09:00:00+08:00,0.0007373,6.224068818478818e-06,2026-09-05T18:00:00+08:00
raw,603,2026-09-06T09:00:00+08:00,0.0007358,4.626280735471556e-06,2026-09-06T18:00:00+08:00
raw,655,2026-09-08T13:00:00+08:00,0.0007053,8.35732285322482e-06,2026-09-08T22:00:00+08:00
raw,736,2026-09-11T22:00:00+08:00,0.0006411,1.0302821378863371e-05,2026-09-12T07:00:00+08:00
raw,752,2026-09-12T14:00:00+08:00,0.000658,9.244167124909498e-06,2026-09-12T23:00:00+08:00
raw,783,2026-09-13T21:00:00+08:00,0.0006677,7.273313021454864e-06,2026-09-14T06:00:00+08:00
raw,800,2026-09-14T14:00:00+08:00,0.0006692,6.9763443948435715e-06,2026-09-14T23:00:00+08:00
raw,822,2026-09-15T12:00:00+08:00,0.0007039,9.827354256295566e-06,2026-09-15T21:00:00+08:00
raw,889,2026-09-18T07:00:00+08:00,0.0021534,0.00016912821045302645,2026-09-18T16:00:00+08:00
raw,916,2026-09-19T10:00:00+08:00,0.00268,0.00021778838632133574,2026-09-19T19:00:00+08:00
soft,32,2026-08-13T14:00:00+08:00,0.0008418313598999648,6.971893316660785e-05,2026-08-13T23:00:00+08:00
soft,80,2026-08-15T14:00:00+08:00,0.00077,3.586376402014073e-05,2026-08-15T23:00:00+08:00
soft,111,2026-08-16T21:00:00+08:00,0.000764,2.1223080759034043e-05,2026-08-17T06:00:00+08:00
soft,137,2026-08-17T23:00:00+08:00,0.0007203,1.557312176854797e-05,2026-08-18T08:00:00+08:00
soft,171,2026-08-19T09:00:00+08:00,0.000709,1.176880869562593e-05,2026-08-19T18:00:00+08:00
soft,191,2026-08-20T05:00:00+08:00,0.0007066,1.0386864465984202e-05,2026-08-20T14:00:00+08:00
soft,233,2026-08-21T23:00:00+08:00,0.0008102433819757752,1.8572303292958684e-05,2026-08-22T08:00:00+08:00
soft,247,2026-08-22T13:00:00+08:00,0.0008474,2.7353816745878646e-05,2026-08-22T22:00:00+08:00
soft,287,2026-08-24T05:00:00+08:00,0.0007543,1.28689435495157e-05,2026-08-24T14:00:00+08:00
soft,309,2026-08-25T03:00:00+08:00,0.0007616321733278098,1.7053622213016368e-05,2026-08-25T12:00:00+08:00
soft,340,2026-08-26T10:00:00+08:00,0.0007337,1.1502331706689354e-05,2026-08-26T19:00:00+08:00
soft,371,2026-08-27T17:00:00+08:00,0.0007464,1.040108574786556e-05,2026-08-28T02:00:00+08:00
soft,394,2026-08-28T16:00:00+08:00,0.000763,1.1351455344888435e-05,2026-08-29T01:00:00+08:00
soft,412,2026-08-29T10:00:00+08:00,0.0007499,1.0926137212678462e-05,2026-08-29T19:00:00+08:00
soft,442,2026-08-30T16:00:00+08:00,0.0007474,7.508679401673479e-06,2026-08-31T01:00:00+08:00
soft,465,2026-08-31T15:00:00+08:00,0.0007372,9.486780012764521e-06,2026-09-01T00:00:00+08:00
soft,482,2026-09-01T08:00:00+08:00,0.0007417,7.401885983121878e-06,2026-09-01T17:00:00+08:00
soft,514,2026-09-02T16:00:00+08:00,0.0007397,8.208541166414429e-06,2026-09-03T01:00:00+08:00
soft,545,2026-09-03T23:00:00+08:00,0.0007369,7.168306040147193e-06,2026-09-04T08:00:00+08:00
soft,579,2026-09-05T09:00:00+08:00,0.0007373,6.224068818478818e-06,2026-09-05T18:00:00+08:00
soft,603,2026-09-06T09:00:00+08:00,0.0007356757684412829,4.626280735471556e-06,2026-09-06T18:00:00+08:00
soft,657,2026-09-08T15:00:00+08:00,0.0007051,8.699936541811192e-06,2026-09-09T00:00:00+08:00
soft,736,2026-09-11T22:00:00+08:00,0.0006411,1.0302821378863371e-05,2026-09-12T07:00:00+08:00
soft,752,2026-09-12T14:00:00+08:00,0.0006556465002749457,9.244167124909498e-06,2026-09-12T23:00:00+08:00
soft,783,2026-09-13T21:00:00+08:00,0.0006677,7.273313021454864e-06,2026-09-14T06:00:00+08:00
soft,800,2026-09-14T14:00:00+08:00,0.0006684858066369062,6.9763443948435715e-06,2026-09-14T23:00:00+08:00
soft,822,2026-09-15T12:00:00+08:00,0.0007039,9.827354256295566e-06,2026-09-15T21:00:00+08:00
soft,889,2026-09-18T07:00:00+08:00,0.002088476926271816,0.00016912821045302645,2026-09-18T16:00:00+08:00
soft,916,2026-09-19T10:00:00+08:00,0.0026189730317928016,0.00021778838632133574,2026-09-19T19:00:00+08:00
