uid,born_i,source,ax,ap,bx,bp,cx,cp,fit,wave,score,ax_bj,bx_bj,cx_bj,born_i_bj
1,391,0,235,0.000721,279,0.000716,383,0.000704,0.04790599129452652,5.439674882477427,0.07896345982359881,2026-09-06T21:00:00+08:00,2026-09-07T08:00:00+08:00,2026-09-08T10:00:00+08:00,2026-09-08T12:15:00+08:00
2,631,0,504,0.000669,595,0.0006456,623,0.0006403,0.29945031735382005,5.311302997275673,0.3311394947053641,2026-09-09T16:15:00+08:00,2026-09-10T15:00:00+08:00,2026-09-10T22:00:00+08:00,2026-09-11T00:15:00+08:00
3,631,0,523,0.0006633,595,0.0006456,623,0.0006403,0.24954193112818907,5.311302997275673,0.2812311084797331,2026-09-09T21:00:00+08:00,2026-09-10T15:00:00+08:00,2026-09-10T22:00:00+08:00,2026-09-11T00:15:00+08:00
4,679,1,504,0.0006689975774811731,623,0.0006398069754277568,671,0.0006269,0.30695627347675347,2.647771227128521,0.36178427324620105,2026-09-09T16:15:00+08:00,2026-09-10T22:00:00+08:00,2026-09-11T10:00:00+08:00,2026-09-11T12:15:00+08:00
5,697,0,443,0.0006783,523,0.0006633,689,0.0006332,0.2667790081773233,2.2793409679239995,0.3777668718841616,2026-09-09T01:00:00+08:00,2026-09-09T21:00:00+08:00,2026-09-11T14:30:00+08:00,2026-09-11T16:45:00+08:00
6,876,0,443,0.0006783,784,0.000658,868,0.0006525,0.1543803241412574,3.3012683013352553,0.20087823731210364,2026-09-09T01:00:00+08:00,2026-09-12T14:15:00+08:00,2026-09-13T11:15:00+08:00,2026-09-13T13:30:00+08:00
