uid,i,event,bar_bj
1,481,broke,2026-09-01T07:00:00+08:00
1,488,unusable_window,2026-09-01T14:00:00+08:00
2,865,broke,2026-09-17T07:00:00+08:00
4,865,broke,2026-09-17T07:00:00+08:00
3,866,broke,2026-09-17T08:00:00+08:00
2,872,unusable_window,2026-09-17T14:00:00+08:00
4,872,unusable_window,2026-09-17T14:00:00+08:00
3,873,unusable_window,2026-09-17T15:00:00+08:00
