uid,born_i,source,ax,ap,bx,bp,cx,cp,fit,wave,score,ax_bj,bx_bj,cx_bj,born_i_bj
1,473,0,247,0.0008474,439,0.0007518,465,0.0007372,0.17436545007272322,2.321431067186169,0.23458045858995097,2026-08-22T13:00:00+08:00,2026-08-30T13:00:00+08:00,2026-08-31T15:00:00+08:00,2026-09-01T00:00:00+08:00
2,611,0,309,0.0007666,579,0.0007373,603,0.0007358,0.2387326899503264,2.377865738897341,0.3479416743977921,2026-08-25T03:00:00+08:00,2026-09-05T09:00:00+08:00,2026-09-06T09:00:00+08:00,2026-09-06T18:00:00+08:00
3,611,1,412,0.0007499,579,0.0007373,603,0.0007356757684412829,0.040323295334496335,2.3579058762511815,0.14988422627496784,2026-08-29T10:00:00+08:00,2026-09-05T09:00:00+08:00,2026-09-06T09:00:00+08:00,2026-09-06T18:00:00+08:00
4,830,0,394,0.000763,579,0.0007373,822,0.0007039,0.03635742520104533,4.369483779217342,0.12360495368303882,2026-08-28T16:00:00+08:00,2026-09-05T09:00:00+08:00,2026-09-15T12:00:00+08:00,2026-09-15T21:00:00+08:00
