uid,i,event,bar_bj
2,680,broke,2026-09-11T12:15:00+08:00
3,680,broke,2026-09-11T12:15:00+08:00
4,681,broke,2026-09-11T12:30:00+08:00
2,687,unusable_window,2026-09-11T14:00:00+08:00
3,687,unusable_window,2026-09-11T14:00:00+08:00
4,688,unusable_window,2026-09-11T14:15:00+08:00
5,719,broke,2026-09-11T22:00:00+08:00
5,726,unusable_window,2026-09-11T23:45:00+08:00
1,868,broke,2026-09-13T11:15:00+08:00
1,869,unusable_close_back_below_line,2026-09-13T11:30:00+08:00
6,904,broke,2026-09-13T20:15:00+08:00
6,911,unusable_window,2026-09-13T22:00:00+08:00
