group,n,known,frozen_exit_count,old_net_bp,new_net_bp,delta_bp,event_sum_delta_bp
loss_to_loss,189,189,20,-50.62685496302181,-50.15228884912531,0.474566113896508,89.69299552644001
win_to_win,62,62,0,96.41146757901288,96.41146757901288,0.0,0.0
