group,n,known,frozen_exit_count,old_net_bp,new_net_bp,delta_bp,event_sum_delta_bp
matched,154,154,10,-11.81482244704074,-11.67068484942224,0.1441375976185,22.197190033249
unmatched,97,97,10,-18.262700425443825,-17.56686737912227,0.6958330463215568,67.49580549319101
