outcome,n,wins,losses,gross_nonpositive_losses,positive_gross_cost_losses,paired_known,old_net_bp,new_net_bp
frozen_ma_exit,20,0,20,20,0,20,-79.92953609122308,-75.44488631490113
hard_stop,11,0,11,11,0,11,-74.64389245241345,-74.64389245241345
transition_colour_exit,220,62,158,130,28,220,-5.324050269596888,-5.324050269596888
