timeframe,compare,period,months,valid_reps,a_closed,c_closed,a_mean_r,c_mean_r,diff_mean_r,ci95_low,ci95_high,a_total_r,c_total_r
15m,box_any − v9_long,full,20,2000,23205,7082,-0.0998889381335752,-0.09500351608702295,0.0048854220465522485,-0.047771537635470915,0.07013136257989995,-2317.9228093896127,-672.8149009282965
15m,box_any − v9_long,earlier,13,2000,12348,3769,0.017821862685341684,0.07824529935151868,0.060423436666177,-0.008446956483801194,0.14658876594076542,220.0643604385991,294.9065332558739
15m,box_any − v9_long,later,8,2000,10857,3313,-0.23376505202433565,-0.29209822945492614,-0.058333177430590494,-0.10462717974160336,-0.0024969971520890644,-2537.9871698282122,-967.7214341841703
15m,box_any − v10_4,full,20,2000,4708,7082,-0.05596353359679417,-0.09500351608702295,-0.03903998249022878,-0.08439348769964207,0.010972156103605869,-263.47631617370695,-672.8149009282965
15m,box_any − v10_4,earlier,13,2000,2501,3769,0.11595787970461176,0.07824529935151868,-0.03771258035309308,-0.09597508469688934,0.033214463934260384,290.010657141234,294.9065332558739
15m,box_any − v10_4,later,8,2000,2207,3313,-0.25078702914134166,-0.29209822945492614,-0.041311200313584484,-0.09978520856998258,0.026968041786110186,-553.486973314941,-967.7214341841703
15m,box_htf − v9_long,full,20,2000,23205,2987,-0.0998889381335752,-0.16387434343164253,-0.06398540529806733,-0.15471742741858177,0.04495548787866192,-2317.9228093896127,-489.49266383031625
15m,box_htf − v9_long,earlier,13,2000,12348,1569,0.017821862685341684,-0.008061435897615443,-0.025883298582957126,-0.14705591747919253,0.10579136591852273,220.0643604385991,-12.648392923358628
15m,box_htf − v9_long,later,8,2000,10857,1418,-0.23376505202433565,-0.3362794576212677,-0.10251440559693206,-0.22515701157339954,0.04594707357729335,-2537.9871698282122,-476.8442709069576
1h,box_any − v9_long,full,20,2000,6551,2199,-0.005127224201856419,-0.09214605239699224,-0.08701882819513582,-0.17974408618250615,-0.0076441449754817755,-33.5884457463614,-202.62916922098591
1h,box_any − v9_long,earlier,13,2000,3625,1122,0.11928093440754153,0.03810920680350997,-0.08117172760403157,-0.18900921298554765,0.028855386938639573,432.39338722733805,42.75853003353818
1h,box_any − v9_long,later,8,2000,2926,1077,-0.15925558201425133,-0.22784373189835105,-0.06858814988409973,-0.21140723833160566,0.03833615016832261,-465.9818329736994,-245.38769925452408
1h,box_any − v10_4,full,20,2000,1476,2199,0.08780392982366154,-0.09214605239699224,-0.17994998222065378,-0.32525750745497595,-0.02420137980703789,129.59860041972445,-202.62916922098591
1h,box_any − v10_4,earlier,13,2000,747,1122,0.24896687184010924,0.03810920680350997,-0.21085766503659928,-0.4203878556437837,0.009909295835531151,185.9782532645616,42.75853003353818
1h,box_any − v10_4,later,8,2000,729,1077,-0.0773383440944268,-0.22784373189835105,-0.15050538780392425,-0.3742926424233917,0.06020145571978438,-56.37965284483714,-245.38769925452408
1h,box_htf − v9_long,full,20,2000,6551,869,-0.005127224201856419,-0.06549260590955559,-0.06036538170769917,-0.19824256485359498,0.0957321883607555,-33.5884457463614,-56.91307453540381
1h,box_htf − v9_long,earlier,13,2000,3625,434,0.11928093440754153,0.13908050144935402,0.019799567041812488,-0.22581370802007417,0.28111113984720654,432.39338722733805,60.360937629019645
1h,box_htf − v9_long,later,8,2000,2926,435,-0.15925558201425133,-0.26959543026304245,-0.11033984824879112,-0.260161541350429,0.06431088555138188,-465.9818329736994,-117.27401216442345
