timeframe,source,period,closed,mean_net_r,total_net_r
15m,both,earlier,6,0.23655102812001513,1.4193061687200907
15m,both,later,9,-0.07690480583409988,-0.6921432525068989
15m,chart,earlier,2729,0.09248227993024985,252.38414192965183
15m,chart,later,2364,-0.24204821571580942,-572.2019819521735
15m,htf,earlier,1034,0.039751533034334575,41.10308515750195
15m,htf,later,940,-0.4200290521058403,-394.8273089794899
1h,both,earlier,3,1.3400842043449597,4.020252613034879
1h,both,later,8,-0.3368712059040455,-2.694969647232364
1h,chart,earlier,832,0.0004821135141205227,0.4011184437482749
1h,chart,later,797,-0.21865881698430517,-174.27107713649121
1h,htf,earlier,287,0.13357895113851925,38.33715897675503
1h,htf,later,272,-0.2515501929073548,-68.42165247080051
