timeframe,arm,full_mean_positive,later_mean_positive,excess_positive,p_below_0_01,passed
15m,box_any,False,False,True,False,False
15m,box_htf,False,False,True,False,False
1h,box_any,False,False,True,False,False
1h,box_htf,False,False,True,False,False
