timeframe,arm,delay_bucket,period,closed,mean_net_r,total_net_r
15m,box_any,同根,earlier,838,0.23723030943307905,198.79899930492024
15m,box_any,同根,later,730,-0.21819705844939039,-159.28385266805498
15m,box_any,1–3,earlier,846,0.09119594874048438,77.15177263444978
15m,box_any,1–3,later,729,-0.12289002934752502,-89.58683139434574
15m,box_any,4–6,earlier,401,0.029786405853409914,11.944348747217376
15m,box_any,4–6,later,387,-0.30138623109114376,-116.63647143227263
15m,box_any,7–12,earlier,393,0.004503021538215291,1.7696874645186094
15m,box_any,7–12,later,373,-0.5044372301563607,-188.15508684832253
15m,box_any,13–24,earlier,441,0.023521012373640376,10.372766456775405
15m,box_any,13–24,later,373,-0.45642803418355116,-170.24765675046459
15m,box_any,25–48,earlier,334,0.038532805710386996,12.869957107269256
15m,box_any,25–48,later,306,-0.3396838738443575,-103.94326539637339
15m,box_any,>48,earlier,516,-0.034885655928831014,-18.000998459276804
15m,box_any,>48,later,415,-0.33703197516707584,-139.86826969433648
15m,box_chart,同根,earlier,795,0.2137369161071042,169.92084830514784
15m,box_chart,同根,later,707,-0.22268260219000047,-157.43659974833034
15m,box_chart,1–3,earlier,673,0.0961298992187736,64.69542217423464
15m,box_chart,1–3,later,611,-0.07912672085765633,-48.34642644402802
15m,box_chart,4–6,earlier,156,0.06551530693155524,10.220387881322617
15m,box_chart,4–6,later,154,-0.42655036936562446,-65.68875688230617
15m,box_chart,7–12,earlier,240,0.18674081666615414,44.81779599987699
15m,box_chart,7–12,later,196,-0.4446487221165751,-87.15114953484871
15m,box_chart,13–24,earlier,340,-0.03423540407359335,-11.640037385021738
15m,box_chart,13–24,later,246,-0.3251157478150252,-79.97847396249621
15m,box_chart,25–48,earlier,280,0.1402726093379773,39.27633061463364
15m,box_chart,25–48,later,245,-0.36344845525897834,-89.0448715384497
15m,box_chart,>48,earlier,397,-0.1133191905087816,-44.9877186319863
15m,box_chart,>48,later,332,-0.32376961132797744,-107.4915109608885
15m,box_htf,同根,earlier,47,0.6372498054822427,29.95074085766541
15m,box_htf,同根,later,24,-0.12277065736947877,-2.9464957768674904
15m,box_htf,1–3,earlier,214,0.03031720656377174,6.4878822046471525
15m,box_htf,1–3,later,140,-0.3832015119721716,-53.648211676104026
15m,box_htf,4–6,earlier,348,-0.03289507764758417,-11.44748702135929
15m,box_htf,4–6,later,336,-0.1297102702527718,-43.582650804931326
15m,box_htf,7–12,earlier,279,-0.0575988737032653,-16.07008576321102
15m,box_htf,7–12,later,287,-0.3963175100623765,-113.74312538790205
15m,box_htf,13–24,earlier,229,0.06494606820118681,14.87264961807178
15m,box_htf,13–24,later,217,-0.5332809312020466,-115.72196207084411
15m,box_htf,25–48,earlier,152,-0.1849144831101058,-28.10700143273608
15m,box_htf,25–48,later,161,-0.21120986960776536,-34.004789006850224
15m,box_htf,>48,earlier,300,-0.027783637954788654,-8.335091386436597
15m,box_htf,>48,later,253,-0.4474191153496378,-113.19703618345837
1h,box_any,同根,earlier,251,0.08470656552154468,21.261347945907715
1h,box_any,同根,later,243,-0.3181502137592607,-77.31050194350036
1h,box_any,1–3,earlier,204,0.11385331036371765,23.2260753141984
1h,box_any,1–3,later,229,-0.11571458671647664,-26.49864035807315
1h,box_any,4–6,earlier,120,0.20383167354413684,24.45980082529642
1h,box_any,4–6,later,104,-0.5104399294055406,-53.08575265817622
1h,box_any,7–12,earlier,140,-0.19765019173989518,-27.671026843585324
1h,box_any,7–12,later,117,-0.32964451174899306,-38.568407874632186
1h,box_any,13–24,earlier,119,0.562239338836162,66.90648132150328
1h,box_any,13–24,later,120,0.07866653310910206,9.439983973092247
1h,box_any,25–48,earlier,136,-0.13146170556600795,-17.878791956977082
1h,box_any,25–48,later,101,0.14959029340432436,15.108619633836762
1h,box_any,>48,earlier,152,-0.31279839850529756,-47.54535657280523
1h,box_any,>48,later,163,-0.4568895707182281,-74.47300002707118
1h,box_chart,同根,earlier,244,0.04184022247871329,10.209014284806042
1h,box_chart,同根,later,238,-0.31776866722120345,-75.62894279864642
1h,box_chart,1–3,earlier,159,0.10437223548389772,16.595185441939737
1h,box_chart,1–3,later,182,-0.0761683226411796,-13.862634720694688
1h,box_chart,4–6,earlier,64,-0.05217304335978168,-3.3390747750260275
1h,box_chart,4–6,later,49,-0.33878776664061255,-16.600600565390014
1h,box_chart,7–12,earlier,80,-0.02510070836984373,-2.0080566695874986
1h,box_chart,7–12,later,64,-0.48193668533471995,-30.843947861422077
1h,box_chart,13–24,earlier,85,0.5607751662621094,47.665889132279304
1h,box_chart,13–24,later,94,0.14000515580264153,13.160484645448303
1h,box_chart,25–48,earlier,109,-0.1623277045690166,-17.69371979802281
1h,box_chart,25–48,later,85,0.2942867067868299,25.014370076880542
1h,box_chart,>48,earlier,123,-0.3712693881760197,-45.66613474565042
1h,box_chart,>48,later,140,-0.4309250406875977,-60.32950569626367
1h,box_htf,同根,earlier,8,1.2538862598339444,10.031090078671555
1h,box_htf,同根,later,6,-0.4557282670617127,-2.7343696023702764
1h,box_htf,1–3,earlier,56,0.03179410063132999,1.7804696353544793
1h,box_htf,1–3,later,55,-0.27670413684469275,-15.218727526458101
1h,box_htf,4–6,earlier,82,0.5492383322652961,45.03754324575428
1h,box_htf,4–6,later,100,-0.33599030057281154,-33.599030057281155
1h,box_htf,7–12,earlier,96,-0.25819743147912994,-24.786953421996472
1h,box_htf,7–12,later,87,-0.32260915934435946,-28.06699686295927
1h,box_htf,13–24,earlier,62,0.5905515767129423,36.61419775620242
1h,box_htf,13–24,later,49,0.27473745211807715,13.46213515378578
1h,box_htf,25–48,earlier,50,0.0311431893585453,1.557159467927265
1h,box_htf,25–48,later,42,-0.6389794151617791,-26.837135436794725
