timeframe,boxes_in_window,htf_breaks,chart_breaks,n_v9_long,n_v10_4,n_box_htf,n_box_chart,n_box_any
15m,23267,23307,81302,26939,4867,2994,5375,7095
1h,6630,6178,23291,7757,1528,870,1720,2206
