timeframe,arm,label,period,signals,trades_taken,closed,censored_boundary,censored_gap,skipped_in_position,risk_invalid,no_next_bar,win_rate,mean_gross_r,mean_net_r,mean_net_bp,pf,total_net_r,event_drawdown_r,median_hold_h,concurrent_median,concurrent_max,random_mean_r,excess_vs_random_r,p_vs_random
15m,v9_long,V9 多头,full,26939,23223,23205,18,0,3716,0,0,0.28515406162464985,0.009730655044099656,-0.0998889381335752,-22.166919756633245,0.8626225599889072,-2317.9228093896127,2969.077583376974,8.75,26.0,232,-0.14803159657391574,0.04870904257071048,0.2063968015992004
15m,v9_long,V9 多头,earlier,14354,12351,12348,3,0,2003,0,0,0.3216715257531584,0.12438126876828332,0.017821862685341684,-4.933169335505882,1.025916381045162,220.0643604385991,1341.9368945853612,9.5,23.0,232,-0.12204042225070462,0.14013683162154858,0.062468765617191405
15m,v9_long,V9 多头,later,12585,10872,10857,15,0,1713,0,0,0.24362162660035,-0.12066501394974945,-0.23376505202433565,-41.76739412340867,0.6971858777198466,-2537.9871698282122,2586.230469624875,8.25,25.0,171,-0.17767233994759163,-0.05555664388033771,0.7586206896551724
15m,v10_4,V10.4 旧规则突破+spike,full,4867,4711,4708,3,0,156,0,0,0.30756159728122345,0.05215757187125804,-0.05596353359679417,-10.02961107323907,0.9207167009572513,-263.47631617370695,670.9584465975302,9.25,7.0,91,-0.176372534373013,0.1203321503506728,0.044977511244377814
15m,v10_4,V10.4 旧规则突破+spike,earlier,2593,2501,2501,0,0,92,0,0,0.3550579768092763,0.2217775495393876,0.11595787970461176,23.267337313023514,1.1770236183972798,290.010657141234,321.5234547177364,10.75,6.0,91,-0.18363325745775785,0.2995911371623696,0.0034982508745627187
15m,v10_4,V10.4 旧规则突破+spike,later,2274,2210,2207,3,0,64,0,0,0.25373810602628,-0.14005790803268037,-0.25078702914134166,-47.76212938499382,0.6715145062503715,-553.486973314941,609.7921599147047,8.25,7.0,49,-0.16812965265038618,-0.08317521506741792,0.9395302348825587
15m,box_htf,框内+上级突破,full,2994,2989,2987,2,0,4,1,0,0.27318379645128893,-0.021990295328791425,-0.16387434343164253,-34.15672104773865,0.7902890260830188,-489.49266383031625,579.9377645359122,6.75,4.0,60,-0.19762312672401167,0.033114917490606174,0.3263368315842079
15m,box_htf,框内+上级突破,earlier,1573,1569,1569,0,0,3,1,0,0.3186743148502231,0.1313192965044942,-0.008061435897615443,-6.887152326568815,0.9889716163666973,-12.648392923358628,251.51154525757718,7.75,4.0,60,-0.19057607622088116,0.18089698460847828,0.02448775612193903
15m,box_htf,框内+上级突破,later,1421,1420,1418,2,0,1,0,0,0.22284908321579688,-0.19162552070708844,-0.3362794576212677,-64.33017191058454,0.5983574382928121,-476.8442709069576,481.70418332977476,6.0,4.0,46,-0.20541615999035284,-0.13031098171454944,0.856071964017991
15m,box_chart,框内+本周期突破,full,5375,5375,5372,3,0,0,0,0,0.304542069992554,0.04497579702303961,-0.06754183918710721,-9.038305848048878,0.9051098478808596,-362.83476011313996,727.2841859861553,8.75,7.0,108,-0.19084496951139826,0.12382652635639484,0.062468765617191405
15m,box_chart,框内+本周期突破,earlier,2881,2881,2881,0,0,0,0,0,0.3491843110031239,0.20670694303313347,0.09451684448393187,16.79659248435703,1.1424354575436684,272.30302895820773,317.5298715812365,10.0,7.0,108,-0.18772410895547476,0.2822409534394066,0.004997501249375313
15m,box_chart,框内+本周期突破,later,2494,2494,2491,3,0,0,0,0,0.25291047771979125,-0.14207656413917652,-0.2549730184951215,-38.91800961989209,0.6678098004093359,-635.1377890713477,677.0549527886503,7.5,7.0,60,-0.19446024866765707,-0.05968451683868236,0.6911544227886057
15m,box_any,框内+任一突破（主）,full,7095,7086,7082,4,0,8,1,0,0.29384354702061566,0.02527067172360672,-0.09500351608702295,-16.285974125303248,0.8704925329798604,-672.8149009282965,1056.2023435148603,8.0,9.0,121,-0.18337534311935855,0.0893664276293055,0.08545727136431784
15m,box_any,框内+任一突破（主）,earlier,3774,3769,3769,0,0,4,1,0,0.3385513398779517,0.19756816877141337,0.07824529935151868,11.50283745563293,1.1142532334589543,294.9065332558739,453.62608226057364,9.5,8.0,121,-0.16900661901529146,0.24758573584205426,0.00399800099950025
15m,box_any,框内+任一突破（主）,later,3321,3317,3313,4,0,4,0,0,0.24298219136734078,-0.17074178416929495,-0.29209822945492614,-47.89962666033146,0.6297952155857949,-967.7214341841703,996.806716016455,7.0,9.0,72,-0.19976195099590965,-0.09107254130097216,0.9305347326336831
1h,v9_long,V9 多头,full,7757,6565,6551,14,0,1192,0,0,0.29720653335368646,0.05070070576002977,-0.005127224201856419,-34.30699279750211,0.992366319441702,-33.5884457463614,707.866044695844,40.0,24.0,212,-0.08496967039450876,0.08161189598772788,0.13943028485757122
1h,v9_long,V9 多头,earlier,4332,3625,3625,0,0,707,0,0,0.3326896551724138,0.17439291561241055,0.11928093440754153,-3.625378123596752,1.1878576396091165,432.39338722733805,527.0412163827389,46.0,22.0,212,0.001576101059259758,0.11802807032525126,0.2028985507246377
1h,v9_long,V9 多头,later,3425,2940,2926,14,0,485,0,0,0.2532467532467532,-0.10254066837355891,-0.15925558201425133,-72.31822081968491,0.777926775790459,-465.9818329736994,709.6101727345983,33.0,27.0,160,-0.193271423070081,0.03604137948248454,0.23138430784607697
1h,v10_4,V10.4 旧规则突破+spike,full,1528,1476,1476,0,0,52,0,0,0.32791327913279134,0.14420966052660725,0.08780392982366154,17.66883916086445,1.1353064275646574,129.59860041972445,197.72460029664475,41.0,9.0,57,-0.15497703476422497,0.24361422945100702,0.008995502248875561
1h,v10_4,V10.4 旧规则突破+spike,earlier,772,747,747,0,0,25,0,0,0.3949129852744311,0.3061121231968836,0.24896687184010924,72.45649792928455,1.4255159341988486,185.9782532645616,93.09404125922703,48.0,7.0,57,-0.06154194678960864,0.3105088186297179,0.0814592703648176
1h,v10_4,V10.4 旧规则突破+spike,later,756,729,729,0,0,27,0,0,0.25925925925925924,-0.021690393814540094,-0.0773383440944268,-38.47160130554134,0.8917337941701997,-56.37965284483714,197.72460029664452,35.0,10.0,46,-0.25111479057281777,0.1747846728167136,0.03248375812093953
1h,box_htf,框内+上级突破,full,870,870,869,1,0,0,0,0,0.2761795166858458,0.007469898330268326,-0.06549260590955559,-32.343215551148674,0.9111255262224099,-56.91307453540381,158.80234076106902,26.0,5.0,43,-0.14092454415683547,0.07018715249947446,0.19790104947526238
1h,box_htf,框内+上级突破,earlier,434,434,434,0,0,0,0,0,0.31797235023041476,0.20973645504730537,0.13908050144935402,22.516751240210358,1.2042331243197384,60.360937629019645,72.72983720672315,29.0,5.0,43,-0.04101022971746569,0.18009073116681967,0.08395802098950525
1h,box_htf,框内+上级突破,later,436,436,435,1,0,0,0,0,0.23448275862068965,-0.19433167779661456,-0.26959543026304245,-87.07706747632066,0.659904523020595,-117.27401216442345,169.317153118666,23.0,5.0,33,-0.24200336109549858,-0.04099735365816616,0.6811594202898551
1h,box_chart,框内+本周期突破,full,1720,1717,1716,1,0,3,0,0,0.2803030303030303,-0.029998421937859586,-0.08935179140404995,-69.13222962961545,0.8729321541056144,-153.3276740493497,269.35846028580147,35.0,10.0,57,-0.054142087552484994,-0.030566550427283828,0.6251874062968515
1h,box_chart,框内+本周期突破,earlier,864,864,864,0,0,0,0,0,0.3263888888888889,0.06546463282376268,0.006670257952243426,-50.853200904530276,1.0101312454950861,5.7631028707383205,172.7840278492175,40.0,8.0,57,0.03409603317405585,-0.027425775221812422,0.5737131434282858
1h,box_chart,框内+本周期突破,later,856,853,852,1,0,3,0,0,0.2335680751173709,-0.12680602676654693,-0.18672626399071368,-87.66870946350463,0.7505692599648011,-159.09077692008805,258.6860812890788,32.0,11.0,42,-0.14447115900714294,-0.03378175158549152,0.6406796601699151
1h,box_any,框内+任一突破（主）,full,2206,2201,2199,2,0,5,0,0,0.2783083219645293,-0.02981835454566595,-0.09214605239699224,-62.555182243351894,0.8705494267460808,-202.62916922098591,370.253245036501,33.0,12.0,82,-0.10906502940797645,0.01258031214323044,0.3933033483258371
1h,box_any,框内+任一突破（主）,earlier,1123,1122,1122,0,0,1,0,0,0.3253119429590018,0.09931997635209415,0.03810920680350997,-30.255674151720754,1.057594162470996,42.75853003353818,220.49244900100788,36.0,10.0,82,-0.017028993778451892,0.05513820058196186,0.24087956021989004
1h,box_any,框内+任一突破（主）,later,1083,1079,1077,2,0,4,0,0,0.22934076137418755,-0.16435243743079767,-0.22784373189835105,-96.20425195441054,0.7017979115453343,-245.38769925452408,372.6682529425867,30.0,13.0,61,-0.20620936804986412,-0.03233967922860086,0.6591704147926037
