timeframe,arm,original,rerun,only_original,only_rerun,field_differences
15m,v10_4,4711,4711,0,0,0
15m,v9_long,23223,23223,0,0,0
1h,v10_4,1476,1476,0,0,0
1h,v9_long,6565,6565,0,0,0
