event_id,symbol,review_group,semantic_status,win_len,box_bars,box_center_ratio,position_band,post_bars,image_path,anchor_time
27acf5132c18d8d5,CELO_USDT_SWAP,earliest_0_2,unreviewed,25,5,0.875,far_right_band,1,datasets/dense_owner_w20_midbox/images/train/CELO_USDT_SWAP_021893_w20.png,2026-01-16 18:00:00+00:00
0aaaea92bb4fd114,KMNO_USDT_SWAP,earliest_0_2,unreviewed,20,5,0.7894736842105263,right_band,2,datasets/dense_owner_w20_midbox/images/train/okx_KMNO_USDT_SWAP_011960_w20.png,2025-10-06 22:45:00+00:00
6e40773cae9fa5d5,HUMA_USDT_SWAP,earliest_0_2,unreviewed,22,7,0.8571428571428571,far_right_band,0,datasets/dense_owner_w20_midbox/images/train/okx_HUMA_USDT_SWAP_018060_w20.png,2025-12-09 22:45:00+00:00
d11b9cae66451a27,FLOKI_USDT_SWAP,earliest_0_2,unreviewed,26,5,0.84,far_right_band,2,datasets/dense_owner_w20_midbox/images/train/FLOKI_USDT_SWAP_007730_w20.png,2025-08-22 14:00:00+00:00
9f86b33eb0ea0679,FIL_USDT_SWAP,earliest_0_2,unreviewed,24,7,0.8260869565217391,far_right_band,1,datasets/dense_owner_w20_midbox/images/train/okx_FIL_USDT_SWAP_001160_w20.png,2025-06-16 01:15:00+00:00
7a78832e992cba17,ONE_USDT_SWAP,earliest_0_2,unreviewed,23,5,0.9090909090909091,far_right_band,0,datasets/dense_owner_w20_midbox/images/train/okx_ONE_USDT_SWAP_002460_w20.png,2025-06-29 21:00:00+00:00
29b44722443ef3f1,BAND_USDT_SWAP,earliest_0_2,unreviewed,20,7,0.7894736842105263,right_band,1,datasets/dense_owner_w20_midbox/images/train/BAND_USDT_SWAP_015130_w20.png,2025-11-07 15:00:00+00:00
51291c666db5b738,SOON_USDT_SWAP,earliest_0_2,unreviewed,26,7,0.8,far_right_band,2,datasets/dense_owner_w20_midbox/images/val/okx_SOON_USDT_SWAP_014460_w20.png,2025-11-02 16:45:00+00:00
546e72a38d77c6ba,SUSHI_USDT_SWAP,earliest_0_2,unreviewed,25,7,0.7916666666666666,right_band,2,datasets/dense_owner_w20_midbox/images/train/okx_SUSHI_USDT_SWAP_002360_w20.png,2025-06-28 10:00:00+00:00
c8bb2202ca86452d,PI_USDT_SWAP,earliest_0_2,unreviewed,30,5,0.896551724137931,far_right_band,1,datasets/dense_owner_w20_midbox/images/train/okx_PI_USDT_SWAP_012760_w20.png,2025-10-15 12:45:00+00:00
ad9327721622de45,PNUT_USDT_SWAP,earliest_0_2,unreviewed,20,5,0.7894736842105263,right_band,2,datasets/dense_owner_w20_midbox/images/train/PNUT_USDT_SWAP_027084_w20.png,2026-03-12 15:45:00+00:00
43b851e1b69dc929,S_USDT_SWAP,earliest_0_2,unreviewed,27,7,0.8846153846153846,far_right_band,0,datasets/dense_owner_w20_midbox/images/train/S_USDT_SWAP_005930_w20.png,2025-08-04 07:45:00+00:00
810b39880f44e93b,AUCTION_USDT_SWAP,earliest_0_2,unreviewed,26,5,0.84,far_right_band,2,datasets/dense_owner_w20_midbox/images/train/okx_AUCTION_USDT_SWAP_008860_w20.png,2025-09-04 02:00:00+00:00
a8f3769b8398e0b0,BNB_USDT_SWAP,earliest_0_2,unreviewed,27,7,0.8461538461538461,far_right_band,1,datasets/dense_owner_w20_midbox/images/train/BNB_USDT_SWAP_003730_w20.png,2025-07-09 16:45:00+00:00
1f1d5cdc0973c5fa,PEOPLE_USDT_SWAP,earliest_0_2,unreviewed,30,5,0.9310344827586207,far_right_band,0,datasets/dense_owner_w20_midbox/images/train/okx_PEOPLE_USDT_SWAP_026560_w20.png,2026-03-08 23:00:00+00:00
