timeframe_min,arm,policy,kind,metric,eligible,bucket,period,analysis_start,analysis_split,analysis_end_exclusive,earlier_closed,later_closed,taken,closed,censored,weeks,symbols,win_rate,mean_net_bp,mean_net_r,wins,sum_net_r,mean_gross_bp,median_net_bp,ge5r,ge10r,pf_r,ge5r_rate,win_rate_low,win_rate_high,mean_net_bp_low,mean_net_bp_high,mean_net_r_low,mean_net_r_high,matched,paired_target_mean_net_bp,random_mean_net_bp,random_win_rate,mean_excess_bp,random_coverage,source_available_symbols,source_universe_symbols,source_coverage_is_span_only,test_scope,paired_weeks,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,holm_p_48_slots,selection_scope,without_best_trade_bp,best_symbol,without_best_symbol_bp,best_week,without_best_week_bp
15,joint,retest,4h,mean_net_bp,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,joint,retest,4h,mean_net_r,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,v9_both,baseline,1h,win_rate,True,15.0,all,2020-02-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,17.0,16.0,33.0,33.0,0.0,29.0,2.0,0.45454545454545453,89.26454469317264,0.34135771010487614,15.0,11.264804433460913,109.26454469317267,-53.194106324440995,2.0,0.0,1.4947207558619573,0.06060606060606061,0.28125,0.625,-2.0224422892476994,201.56254557103838,-0.3976270574605864,1.2969029079318315,0.0,,,,,0.0,2.0,2.0,True,descriptive same-clock matched random,,,,,,,"full analysis history; retrospective diagnostic, not a validated gate",56.82454950311484,ETHUSDT,6.8951244758404115,2021-09-06,56.82454950311484
15,v9_both,baseline,1h,mean_net_bp,True,15.0,all,2020-02-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,17.0,16.0,33.0,33.0,0.0,29.0,2.0,0.45454545454545453,89.26454469317264,0.34135771010487614,15.0,11.264804433460913,109.26454469317267,-53.194106324440995,2.0,0.0,1.4947207558619573,0.06060606060606061,0.28125,0.625,-2.0224422892476994,201.56254557103838,-0.3976270574605864,1.2969029079318315,0.0,,,,,0.0,2.0,2.0,True,descriptive same-clock matched random,,,,,,,"full analysis history; retrospective diagnostic, not a validated gate",56.82454950311484,ETHUSDT,6.8951244758404115,2021-09-06,56.82454950311484
15,v9_both,baseline,1h,mean_net_r,True,0.0,all,2020-02-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,14.0,28.0,42.0,42.0,0.0,37.0,2.0,0.3333333333333333,33.74754509216109,0.5905772288672589,14.0,24.804243612424877,53.747545092161076,-74.1000313288695,4.0,1.0,1.9385651842178002,0.09523809523809523,0.19047619047619047,0.4878048780487805,-55.716032347159995,151.84843096044852,-0.27308745033544146,1.7011134913996602,2.0,50.80824597552349,41.749240269275504,0.5,9.05900570624799,0.047619047619047616,2.0,2.0,True,descriptive same-clock matched random,,,,,,,"full analysis history; retrospective diagnostic, not a validated gate",-9.205988627477094,ETHUSDT,9.372900231627733,2024-05-20,-9.205988627477094
15,v9_both,baseline,4h,win_rate,True,4.0,all,2020-02-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,41.0,30.0,71.0,71.0,0.0,64.0,2.0,0.38028169014084506,6.693308919005326,0.026012410874530212,27.0,1.846881172091645,26.69330891900532,-56.626052911312996,1.0,0.0,1.0355037424141573,0.014084507042253521,0.2676056338028169,0.49333333333333335,-43.73302531639223,62.2256218155498,-0.3745994028693307,0.4422513813304653,9.0,-110.85992890144712,-63.89373681848622,0.1111111111111111,-46.96619208296089,0.1267605633802817,2.0,2.0,True,"same-clock matched random, entry-week block inference",9.0,0.72265625,-191.435108994459,87.66856943304954,0.001953125,1.0,"full analysis history; retrospective diagnostic, not a validated gate",-5.858742984850441,ETHUSDT,-10.365965195644131,2020-11-23,-5.858742984850441
15,v9_both,baseline,4h,mean_net_bp,True,12.0,all,2020-02-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,53.0,51.0,104.0,104.0,0.0,79.0,2.0,0.33653846153846156,23.033559125720185,0.14159058209923656,35.0,14.725420538320602,43.03355912572019,-72.517406153309,6.0,2.0,1.179343001212046,0.057692307692307696,0.24324324324324326,0.43272405660377344,-25.15891213307743,77.80900756254314,-0.3617375010438926,0.7022168817268819,14.0,-91.143463826244,-45.8954560082585,0.21428571428571427,-45.2480078179855,0.1346153846153846,2.0,2.0,True,"same-clock matched random, entry-week block inference",14.0,0.97393798828125,-90.70156595744007,-5.324549064950297,6.103515625e-05,1.0,"full analysis history; retrospective diagnostic, not a validated gate",12.312094740775509,BTCUSDT,11.422466016114042,2020-11-16,9.775497734688056
15,v9_both,baseline,4h,mean_net_r,True,12.0,all,2020-02-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,53.0,51.0,104.0,104.0,0.0,79.0,2.0,0.33653846153846156,23.033559125720185,0.14159058209923656,35.0,14.725420538320602,43.03355912572019,-72.517406153309,6.0,2.0,1.179343001212046,0.057692307692307696,0.24324324324324326,0.43272405660377344,-25.15891213307743,77.80900756254314,-0.3617375010438926,0.7022168817268819,14.0,-91.143463826244,-45.8954560082585,0.21428571428571427,-45.2480078179855,0.1346153846153846,2.0,2.0,True,"same-clock matched random, entry-week block inference",14.0,0.97393798828125,-90.70156595744007,-5.324549064950297,6.103515625e-05,1.0,"full analysis history; retrospective diagnostic, not a validated gate",12.312094740775509,BTCUSDT,11.422466016114042,2020-11-16,9.775497734688056
15,v9_both,retest,1h,win_rate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,v9_both,retest,1h,mean_net_bp,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
