period_kind,period,timeframe_min,arm,policy,kind,bucket,analysis_start,analysis_end_exclusive,entry_period_controls_same_period,taken,closed,censored,weeks,symbols,win_rate,mean_net_bp,mean_net_r,wins,sum_net_r,mean_gross_bp,median_net_bp,ge5r,ge10r,pf_r,ge5r_rate,win_rate_low,win_rate_high,mean_net_bp_low,mean_net_bp_high,mean_net_r_low,mean_net_r_high,matched,paired_target_mean_net_bp,random_mean_net_bp,random_win_rate,mean_excess_bp,random_coverage,source_available_symbols,source_universe_symbols,source_coverage_is_span_only,period_start_bjt,period_end_bjt,calendar_period_start_observed,calendar_period_end_observed,calendar_period_complete_in_analysis_window,cross_period_exit,period_end_known_closed,period_end_known_closed_rate,period_end_outcome_scope
month,2020-02,15,v9_both,baseline,overall,0,2020-02-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,True,8,8,0,4,2,0.25,1.1475683813286288,0.22963837534646336,2.0,1.837107002771707,21.147568381328632,-103.4774463742495,1.0,0.0,1.2526910910713225,0.125,0.0,0.4444444444444444,-132.14066725802766,161.74087177415737,-1.2335743335676232,1.5445316454077096,6,31.510396726951836,-5.507790717159666,0.3333333333333333,37.01818744411151,0.75,2,2,True,2020-02-01T00:00:00+08:00,2020-03-01T00:00:00+08:00,False,True,False,0,8,1.0,eventual exits may occur after entry period; incomplete current period is right-censored
month,2020-02,15,v9_both,baseline,4h,0,2020-02-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,True,2,2,0,2,2,0.5,265.189383032977,2.0535218398295534,1.0,4.107043679659107,285.189383032977,265.189383032977,1.0,0.0,4.323290966659923,0.5,0.0,1.0,-104.804579596097,635.183345662051,-1.2358363203408866,5.342879999999994,0,,,,,0.0,2,2,True,2020-02-01T00:00:00+08:00,2020-03-01T00:00:00+08:00,False,True,False,0,2,1.0,eventual exits may occur after entry period; incomplete current period is right-censored
month,2020-02,15,v9_both,baseline,4h,4,2020-02-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,True,1,1,0,1,1,1.0,157.999170465261,3.7643962635201302,1.0,3.7643962635201302,177.99917046526102,157.999170465261,0.0,0.0,,0.0,,,,,,,1,157.999170465261,-94.95677561627,0.0,252.95594608153098,1.0,2,2,True,2020-02-01T00:00:00+08:00,2020-03-01T00:00:00+08:00,False,True,False,0,1,1.0,eventual exits may occur after entry period; incomplete current period is right-censored
month,2020-02,15,v9_both,baseline,4h,8,2020-02-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,True,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,2,2,True,2020-02-01T00:00:00+08:00,2020-03-01T00:00:00+08:00,False,True,False,0,0,,eventual exits may occur after entry period; incomplete current period is right-censored
month,2020-02,15,v9_both,baseline,4h,12,2020-02-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,True,1,1,0,1,1,0.0,-102.15031315240199,-1.2434561626429583,0.0,-1.2434561626429583,-82.15031315240199,-102.15031315240199,0.0,0.0,0.0,0.0,,,,,,,1,-102.15031315240199,81.926223374305,1.0,-184.07653652670697,1.0,2,2,True,2020-02-01T00:00:00+08:00,2020-03-01T00:00:00+08:00,False,True,False,0,1,1.0,eventual exits may occur after entry period; incomplete current period is right-censored
month,2020-02,15,v9_both,baseline,4h,16,2020-02-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,True,2,2,0,2,1,0.0,-180.2269558118025,-1.131581483033092,0.0,-2.263162966066184,-160.2269558118025,-180.2269558118025,0.0,0.0,0.0,0.0,0.0,0.0,-216.540168463001,-143.913743160604,-1.1614025974025883,-1.1017603686635955,0,,,,,0.0,2,2,True,2020-02-01T00:00:00+08:00,2020-03-01T00:00:00+08:00,False,True,False,0,2,1.0,eventual exits may occur after entry period; incomplete current period is right-censored
month,2020-02,15,v9_both,baseline,4h,20,2020-02-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,True,2,2,0,2,2,0.0,-108.2965823522895,-1.263856905849194,0.0,-2.527713811698388,-88.2965823522895,-108.2965823522895,0.0,0.0,0.0,0.0,0.0,0.0,-141.515910989594,-75.077253714985,-1.3631263116983878,-1.1645875,0,,,,,0.0,2,2,True,2020-02-01T00:00:00+08:00,2020-03-01T00:00:00+08:00,False,True,False,0,2,1.0,eventual exits may occur after entry period; incomplete current period is right-censored
month,2020-03,15,v9_both,baseline,overall,0,2020-02-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,True,10,10,0,4,2,0.2,-87.9304772126795,-0.624777068236103,2.0,-6.24777068236103,-67.93047721267949,-128.734667442096,0.0,0.0,0.3092122020177271,0.0,0.0,0.5714285714285714,-165.255792194943,27.190468871260002,-1.096163674670646,0.07380494964484777,10,-87.9304772126795,183.0969408870966,0.3,-271.02741809977607,1.0,2,2,True,2020-03-01T00:00:00+08:00,2020-04-01T00:00:00+08:00,True,True,True,0,10,1.0,eventual exits may occur after entry period; incomplete current period is right-censored
month,2020-03,15,v9_both,baseline,4h,0,2020-02-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,True,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,2,2,True,2020-03-01T00:00:00+08:00,2020-04-01T00:00:00+08:00,True,True,True,0,0,,eventual exits may occur after entry period; incomplete current period is right-censored
month,2020-03,15,v9_both,baseline,4h,4,2020-02-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,True,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,2,2,True,2020-03-01T00:00:00+08:00,2020-04-01T00:00:00+08:00,True,True,True,0,0,,eventual exits may occur after entry period; incomplete current period is right-censored
