primary_loss_reason,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
cost_flip,8,-12.876949246919244,-12.117775569762106,-103.01559397535395,0.0,False,0.0,8,0
early_reversal,10,-44.115162591271336,-34.017533879481235,-441.15162591271337,0.0,False,0.0,10,0
giveback,7,-35.022775899210856,-29.746730059089217,-245.15943129447598,0.0,False,0.0,7,0
hard_stop,8,-72.89194035902305,-68.09617541601918,-583.1355228721844,0.0,False,0.0,8,0
other_loss,47,-64.08941323691164,-50.51738598267573,-3012.202422134847,0.0,False,0.0,47,0
