event_id,decision_time,entry_time,fold,direction,match_status,matched_controls,available_controls,event_risk_atr,month,utc_session,vol_bucket,ltf_side,context_side,context_slope_sign,event_net_return,control_mean_return,excess
2023-01-02T02:00:00+00:00_L,2023-01-02 03:00:00+00:00,2023-01-02 03:00:00+00:00,2023H1,1,insufficient_exact_controls,0,2,1.0759819186155868,,,,,,,0.0008031467582965152,,
2023-01-06T00:00:00+00:00_L,2023-01-06 01:00:00+00:00,2023-01-06 01:00:00+00:00,2023H1,1,matched,3,3,0.8594173922696594,2023-01,0.0,0.0,1.0,1.0,1.0,-0.003791062479613359,-0.0024917408191574455,-0.0012993216604559135
2023-01-08T14:00:00+00:00_L,2023-01-08 15:00:00+00:00,2023-01-08 15:00:00+00:00,2023H1,1,matched,3,4,1.195699930296333,2023-01,2.0,0.0,1.0,1.0,1.0,-0.003397842486154377,-0.002477125452716276,-0.000920717033438101
2023-01-08T20:00:00+00:00_L,2023-01-08 21:00:00+00:00,2023-01-08 21:00:00+00:00,2023H1,1,matched,3,6,1.42861714956961,2023-01,3.0,0.0,1.0,1.0,1.0,0.011641801071308635,0.002489832271236079,0.009151968800072555
2023-01-18T15:00:00+00:00_S,2023-01-18 16:00:00+00:00,2023-01-18 16:00:00+00:00,2023H1,-1,matched,3,4,2.6745282036168456,2023-01,2.0,2.0,-1.0,1.0,1.0,-6.49639617366065e-05,-0.0024813870260844677,0.0024164230643478612
2023-01-23T10:00:00+00:00_L,2023-01-23 11:00:00+00:00,2023-01-23 11:00:00+00:00,2023H1,1,matched,3,33,0.8969913209601957,2023-01,1.0,2.0,1.0,1.0,1.0,-0.0030387524495789613,-0.0032791479003998463,0.00024039545082088498
2023-01-23T20:00:00+00:00_L,2023-01-23 21:00:00+00:00,2023-01-23 21:00:00+00:00,2023H1,1,matched,3,49,1.1668604843503376,2023-01,3.0,2.0,1.0,1.0,1.0,-0.007567063135359596,-0.00589521000723488,-0.0016718531281247158
2023-01-25T20:00:00+00:00_L,2023-01-25 21:00:00+00:00,2023-01-25 21:00:00+00:00,2023H1,1,matched,3,23,1.1370049870649785,2023-01,3.0,1.0,1.0,1.0,1.0,0.001666357140677423,-0.002952736822134629,0.004619093962812052
2023-01-27T16:00:00+00:00_L,2023-01-27 17:00:00+00:00,2023-01-27 17:00:00+00:00,2023H1,1,matched,3,15,1.2302132977824802,2023-01,2.0,1.0,1.0,1.0,1.0,-0.0008026902728310841,-0.002456621691088288,0.001653931418257204
2023-01-28T20:00:00+00:00_S,2023-01-28 21:00:00+00:00,2023-01-28 21:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,1,0.8351664678906443,,,,,,,-0.0036851143874805353,,
2023-01-30T09:00:00+00:00_S,2023-01-30 10:00:00+00:00,2023-01-30 10:00:00+00:00,2023H1,-1,matched,3,5,2.2422725360118414,2023-01,1.0,1.0,-1.0,1.0,1.0,-0.0014222469420048772,-0.0034457972776883064,0.0020235503356834292
2023-02-05T11:00:00+00:00_S,2023-02-05 12:00:00+00:00,2023-02-05 12:00:00+00:00,2023H1,-1,matched,3,3,0.6492249940048973,2023-02,2.0,0.0,-1.0,1.0,-1.0,0.016012270779190207,0.007163843281782732,0.008848427497407475
2023-02-07T09:00:00+00:00_L,2023-02-07 10:00:00+00:00,2023-02-07 10:00:00+00:00,2023H1,1,matched,3,9,1.2589363265752203,2023-02,1.0,0.0,1.0,-1.0,-1.0,-0.003872699859656213,-0.00392958941391308,5.6889554256867036e-05
2023-02-11T21:00:00+00:00_L,2023-02-11 22:00:00+00:00,2023-02-11 22:00:00+00:00,2023H1,1,matched,3,6,1.921736862519337,2023-02,3.0,0.0,1.0,-1.0,-1.0,-0.0022611588120481346,0.0010196337969657187,-0.0032807926090138535
