arm,events,excluded_results,rejected_entries,censored,mean_net_bp,median_net_bp,profit_factor,win_rate,p95_net_bp,worst_fold_bp,positive_folds,minimum_fold_events,robust_score_bp,net_week_cluster_p,net_month_cluster_p,extra_10bp_mean_net_bp,leave_top_two_mean_net_bp,range_feature_auc,range_top_decile_net_bp,range_top_decile_gross_bp,mean_hold_hours,matched_excess_bp,matched_coverage,all_gates
original,248,0,0,0,-13.81306777226048,-32.78446122738253,0.6356922783634396,0.25,179.27105721947487,-24.562819689803334,0,52,-13.40036299132535,0.9852,0.9963,-23.81306777226048,-16.8597618764658,0.5617412417620534,-17.373963267967103,2.6260367320328992,2.496975806451613,2.6072235634363103,0.6935483870967742,False
hourly_slope,109,0,0,0,-6.619344937701829,-29.784946236559566,0.8203837726091704,0.30275229357798167,208.4453384740771,-24.369767552179425,1,19,-7.937763240786268,0.7511,0.8402,-16.61934493770183,-13.489431890649403,0.5649920255183413,-29.242754913293005,-9.242754913293002,2.5902140672782874,10.245596772684703,0.7247706422018348,False
prior4h_trend,105,0,0,0,-16.559003480516843,-33.97842486154377,0.6034598936107325,0.23809523809523808,220.9156338190288,-29.88651652199007,0,23,-22.36520576763359,0.9501,0.9861,-26.559003480516843,-23.888893005284025,0.626,-58.48130537319514,-38.48130537319512,2.315873015873016,0.689499439110577,0.9047619047619048,False
prior4h_not_chasing,91,0,0,0,-11.378847859416215,-33.52564625771047,0.6908214783895451,0.24175824175824176,238.14475964626436,-27.806586474173567,1,21,-25.05938785486237,0.8662,0.8839,-21.378847859416215,-19.745345722436653,0.6778656126482213,8.818109598849775,28.818109598849784,2.27014652014652,14.860521307429671,0.5164835164835165,False
