outcome,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
colour_exit,105,-4.489823836815571,-29.048197872136843,-471.4315028656349,0.8748478972656774,False,0.3142857142857143,72,0
hard_stop,4,-62.51927383596615,-59.16230429564127,-250.0770953438646,0.0,False,0.0,4,0
