timeframe_min,arm,symbol,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r
15,joint,0GUSDT,6,1,5,0,0.16666666666666666,0.030053369411815023,0.5635028250257673,0.16666666666666666,-0.8489530537227855,-5.093718322336713,-1.092089024390243,-185.42428293240496,-165.42428293240485,0.07139056969681604,0.3916000000000011,-1.0970636644673426,0.3916000000000011,-1.1347499999999964,5.093718322336713,9.666666666666666,8.875,212.8995765473955,6,5,0,0,0,4,4,0,6,5,5,0,4,3,3,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,1000000BOBUSDT,3,2,1,0,0.6666666666666666,0.2076595988078242,0.9385080559790691,0.6666666666666666,1.4711172281959473,4.413351684587842,1.5872799999999987,240.68055427038735,260.68055427038735,4.938929508259668,2.7668980645161447,-1.120444444444447,3.9465161290322905,-1.120444444444447,1.120444444444447,19.75,14.5,166.051660516604,3,1,0,0,0,1,1,0,3,1,1,0,3,1,1,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
15,joint,1000000MOGUSDT,4,1,3,0,0.25,0.04558726029536886,0.6993581599030918,0.25,-0.7990255681818172,-3.196102272727269,-1.099738636363637,-152.05704819216874,-132.05704819216874,0.03716699644659403,0.1233750000000042,-1.1064924242424243,0.1233750000000042,-1.119999999999999,3.319477272727273,9.6875,1.875,183.583959899749,3,3,0,0,0,3,3,0,4,3,3,0,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,1000BONKUSDT,2,1,1,0,0.5,0.09453120463920084,0.9054687953607992,0.5,-0.5064950738916261,-1.0129901477832521,-0.5064950738916261,-52.21169470763251,-32.2116947076325,0.12844258334675415,0.1492857142857137,-1.162275862068966,0.1492857142857137,-1.162275862068966,1.162275862068966,8.0,8.0,191.654419165836,2,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,1000CATUSDT,4,1,3,0,0.25,0.04558726029536886,0.6993581599030918,0.25,-0.575716524327119,-2.302866097308476,-1.1147238095238112,-104.91594997636076,-84.91594997636075,0.318374377501519,1.0756250000000145,-1.12616369910283,1.0756250000000145,-1.1490434782608678,3.3784910973084905,7.3125,7.375,152.32178847989852,4,3,0,0,0,3,3,0,4,3,3,0,3,2,2,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,1000CHEEMSUSDT,3,1,2,0,0.3333333333333333,0.06149194402093078,0.7923404011921757,0.3333333333333333,0.2632192884322588,0.7896578652967763,-0.8759599999999963,44.38703760545667,64.38703760545665,1.3961449592149808,2.783013698630106,-0.9966779166666649,2.783013698630106,-1.1173958333333336,1.9933558333333299,5.416666666666667,6.75,148.373983739838,2,1,0,0,0,0,1,0,3,1,2,0,2,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15,joint,1000FLOKIUSDT,8,0,8,0,0.0,0.0,0.3244075683414076,0.0,-1.1392049568257414,-9.113639654605931,-1.1234530612244915,-186.07447728983277,-166.07447728983277,0.0,,-1.1392049568257414,-1.0816119402985074,-1.295571428571438,9.11363965460593,6.0625,3.5,164.160602323844,8,8,0,0,0,7,7,0,8,8,8,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,1000LUNCUSDT,4,1,3,0,0.25,0.04558726029536886,0.6993581599030918,0.25,-0.6648810299850417,-2.659524119940167,-0.927463672873311,-173.91026714848348,-153.9102671484835,0.11879574572478825,0.3585322580645202,-1.0060187926682291,0.3585322580645202,-1.1631290322580654,3.018056378004687,8.6875,7.375,228.41030954703248,3,2,0,0,0,1,2,0,4,2,3,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,1000PEPEUSDT,6,2,4,0,0.3333333333333333,0.09677141021353453,0.7000066870052566,0.3333333333333333,5.71215519364371,34.27293116186226,-1.0759310506771524,582.7532488908851,602.7532488908851,8.630786344776542,19.382166719275997,-1.1228505691724324,38.325218855218694,-1.2192252964426908,3.272176980247039,15.791666666666666,9.125,139.7838144107385,6,4,0,1,1,3,3,0,6,4,4,0,4,2,2,0,3,1,1,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
15,joint,1000RATSUSDT,8,0,8,0,0.0,0.0,0.3244075683414076,0.0,-0.971555977569714,-7.772447820557712,-1.0581109890109897,-275.43702871834097,-255.437028718341,0.0,,-0.971555977569714,-0.4984903225806452,-1.3061176470588285,7.772447820557712,6.5,4.125,270.233824698143,7,7,0,0,0,6,7,0,8,7,8,0,3,3,3,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,1000SATSUSDT,3,1,2,0,0.3333333333333333,0.06149194402093078,0.7923404011921757,0.3333333333333333,-0.1136245059288521,-0.3408735177865563,-1.1020000000000023,-2.142190756982681,17.85780924301767,0.8456252338238663,1.8672173913043577,-1.104045454545457,1.8672173913043577,-1.1060909090909117,1.1060909090909117,14.583333333333334,1.75,196.078431372548,3,2,0,0,0,0,0,0,3,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,1000SHIBUSDT,4,1,3,0,0.25,0.04558726029536886,0.6993581599030918,0.25,-0.5754130268372001,-2.3016521073488003,-1.1164257000903366,-70.42307978402175,-50.42307978402175,0.32579342655037363,1.112215686274498,-1.137955931207766,1.112215686274498,-1.1810163934426252,3.4138677936232984,9.6875,7.25,174.3444324953165,4,3,0,0,0,3,3,1,4,3,3,0,2,1,1,0,2,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,1000XECUSDT,7,2,5,0,0.2857142857142857,0.08221892324928332,0.6410655504689458,0.2857142857142857,0.24376993445305972,1.706389541171418,-1.0511137254901974,-22.15264246976241,-2.1526424697624083,1.312087604160131,3.5870257821754485,-1.0935324046358956,3.716440944881881,-1.1306017699115032,4.417150912068368,8.107142857142858,5.75,174.720174720175,7,5,0,0,0,3,3,0,6,4,4,0,4,2,2,0,3,1,1,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0
15,joint,1INCHUSDT,4,2,2,0,0.5,0.15003898774401986,0.8499610122559802,0.5,0.1704860588060616,0.6819442352242464,0.024931428571435987,31.804143352936496,51.8041433529365,1.4952648657483671,1.0294362934363046,-0.6884641758241813,1.4017297297297342,-0.7696483516483598,0.7696483516483598,38.375,19.625,141.5706838134935,2,0,0,0,0,0,2,0,4,0,2,0,4,0,2,0,4,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,1MBABYDOGEUSDT,5,1,4,0,0.2,0.03622410822563066,0.6244653729700049,0.2,-0.7700622557979424,-3.850311278989712,-1.0949382716049367,-167.925794958885,-147.92579495888498,0.12246509934377714,0.5373333333333299,-1.0969111530807605,0.5373333333333299,-1.1161428571428555,4.387644612323042,5.35,5.0,202.046706901076,5,4,0,0,0,3,3,0,4,3,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,2ZUSDT,4,0,4,0,0.0,0.0,0.4898908403969213,0.0,-1.0391262263350327,-4.156504905340131,-1.1449761111111163,-138.07709686143875,-118.07709686143876,0.0,,-1.0391262263350327,-0.6999729729729733,-1.166579710144925,4.156504905340131,7.4375,1.625,134.985223305671,3,3,0,0,0,3,4,0,4,3,4,0,3,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,4USDT,10,5,5,0,0.5,0.23659308901147935,0.7634069109885206,0.5,0.7388040208944175,7.388040208944175,0.44956767504187495,629.5295198938243,649.5295198938244,2.6735595581935643,2.360521371377034,-0.882913329588199,3.3210624999999734,-1.0965828571428573,2.246467012274647,21.275,21.25,357.418053275617,9,4,0,0,0,3,4,0,10,4,5,0,6,0,1,0,6,0,1,0,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0
