timeframe_min,arm,view,matched,target_net_bp,control_net_bp,control_win_rate,weeks,mean_excess_bp,ci_low_bp,ci_high_bp,p_one_sided,minimum_p_resolution,side,month,week,period,symbol,p_holm_primary_four
15,joint,summary,2697,-3.80742361818503,6.244530438545801,0.292918057100482,10,-10.05195405673083,-36.97143041561358,19.11493470895686,0.7333984375,0.0009765625,,,,,,1.0
15,v9_both,summary,5799,-22.95380902007694,-2.2545419027829845,0.27504742196930504,10,-20.69926711729395,-40.02859454044772,-1.0330860511618505,0.9482421875,0.0009765625,,,,,,1.0
60,joint,summary,651,137.6757974950999,189.57615696855078,0.4116743471582181,10,-51.90035947345088,-176.30301049309537,76.55784173907902,0.7734375,0.0009765625,,,,,,1.0
60,v9_both,summary,1269,44.3635959402693,93.04936754520722,0.37667454688731283,10,-48.6857716049379,-117.63762339235888,34.5165897430196,0.8525390625,0.0009765625,,,,,,1.0
15,joint,direction,2697,-3.80742361818503,6.244530438545801,0.292918057100482,10,-10.05195405673083,-36.97143041561358,19.11493470895686,0.7333984375,0.0009765625,1.0,,,,,
15,v9_both,direction,2816,-44.308380721069426,-29.3522510801707,0.2588778409090909,10,-14.956129640898734,-41.47564867204801,15.0451425320438,0.8046875,0.0009765625,-1.0,,,,,
15,v9_both,direction,2983,-2.7947497140109463,23.32613159487835,0.2903117666778411,10,-26.120881308889302,-55.82541778166559,4.1371743725872365,0.919921875,0.0009765625,1.0,,,,,
60,joint,direction,651,137.6757974950999,189.57615696855078,0.4116743471582181,10,-51.90035947345088,-176.30301049309537,76.55784173907902,0.7734375,0.0009765625,1.0,,,,,
60,v9_both,direction,605,-68.41708005650142,12.903140168498904,0.3487603305785124,10,-81.32022022500031,-151.91993529309573,-21.9266332250509,0.986328125,0.0009765625,-1.0,,,,,
60,v9_both,direction,664,147.12309741323057,166.07416809175618,0.40210843373493976,10,-18.95107067852562,-113.70779963443805,116.75063243180378,0.595703125,0.0009765625,1.0,,,,,
15,joint,monthly,305,-65.92880889085339,-45.90695155750954,0.24918032786885247,2,-20.02185733334387,-30.41187342104238,-13.820486474717526,1.0,0.25,,2026-07,,,,
15,joint,monthly,1551,8.552863358194008,17.869694360125806,0.29142488716956805,6,-9.316831001931794,-38.166386781147786,43.12078910809441,0.65625,0.015625,,2026-08,,,,
15,joint,monthly,841,-4.073514690955581,3.7184576281133253,0.31153388822829964,4,-7.791972319068904,-66.81693057320177,49.295500980044345,0.6875,0.0625,,2026-09,,,,
15,v9_both,monthly,718,-31.308761061643583,-4.145802982413184,0.27715877437325903,2,-27.162958079230393,-63.50181301482587,-3.7963259581724427,1.0,0.25,,2026-07,,,,
15,v9_both,monthly,3283,-31.891968862000557,-0.40078939137145836,0.27322570819372527,6,-31.491179470629106,-54.9661942925277,1.6980372566536668,0.890625,0.015625,,2026-08,,,,
15,v9_both,monthly,1798,-3.2970602287086876,-4.8840992107860846,0.2775305895439377,4,1.5870389820773956,-26.892617269284898,12.988068890231533,0.4375,0.0625,,2026-09,,,,
60,joint,monthly,91,-72.3215608177122,6.783427211303823,0.1978021978021978,2,-79.10498802901604,-138.96182993204914,-15.166997814412495,1.0,0.25,,2026-07,,,,
60,joint,monthly,347,287.15459140700057,264.24005390498195,0.4697406340057637,6,22.914537502018657,-243.9699435597245,184.5599303629205,0.5,0.015625,,2026-08,,,,
60,joint,monthly,213,-16.124117439001697,146.0351530763811,0.4084507042253521,4,-162.1592705153828,-200.65382177901344,-138.472918448895,1.0,0.0625,,2026-09,,,,
60,v9_both,monthly,282,20.933318045627747,22.539437735951186,0.35815602836879434,2,-1.6061196903234265,-57.69850220697037,59.472252383358786,0.75,0.25,,2026-07,,,,
60,v9_both,monthly,610,127.26118939377064,174.48652500786167,0.4377049180327869,6,-47.22533561409104,-206.82349765033953,91.01335571920599,0.75,0.015625,,2026-08,,,,
60,v9_both,monthly,377,-72.24169223041214,14.023198192398079,0.2917771883289125,4,-86.26489042281021,-118.21142019270751,30.269175558732506,0.875,0.0625,,2026-09,,,,
15,joint,weekly,114,-78.99902878663555,-48.58715536559316,0.2807017543859649,1,-30.41187342104239,,,,,,,2026-07-20,,,
15,joint,weekly,278,-27.251476577175342,-52.91353550028593,0.19784172661870503,1,25.662058923110582,,,,,,,2026-07-27,,,
15,joint,weekly,427,20.872273572670675,30.707452435521066,0.3255269320843091,1,-9.835178862850377,,,,,,,2026-08-03,,,
15,joint,weekly,259,17.722791529872683,-33.274795718723574,0.2548262548262548,1,50.99758724859621,,,,,,,2026-08-10,,,
15,joint,weekly,247,189.17971278888908,214.76226477440542,0.38866396761133604,1,-25.582551985516385,,,,,,,2026-08-17,,,
15,joint,weekly,495,-99.27185747420582,-48.101662385786945,0.25656565656565655,1,-51.17019508841888,,,,,,,2026-08-24,,,
15,joint,weekly,304,77.02778304544175,27.041263846408043,0.3618421052631579,1,49.98651919903373,,,,,,,2026-08-31,,,
15,joint,weekly,265,-134.82791413797864,-54.51218174001863,0.23773584905660378,1,-80.31573239795999,,,,,,,2026-09-07,,,
15,joint,weekly,221,46.24542500341034,45.40460142932718,0.3212669683257919,1,0.8408235740831531,,,,,,,2026-09-14,,,
15,joint,weekly,87,-30.857389471363163,-5.157498939091633,0.3563218390804598,1,-25.699890532271528,,,,,,,2026-09-21,,,
15,v9_both,weekly,281,-53.996358601219626,9.505454413606241,0.28825622775800713,1,-63.50181301482587,,,,,,,2026-07-20,,,
15,v9_both,weekly,615,-19.874823542079007,-18.658547195095085,0.2682926829268293,1,-1.2162763469839197,,,,,,,2026-07-27,,,
15,v9_both,weekly,793,-15.761686816824673,-5.2725772105372375,0.2572509457755359,1,-10.489109606287434,,,,,,,2026-08-03,,,
15,v9_both,weekly,573,-3.948577407552383,58.24700017405524,0.2914485165794066,1,-62.19557758160759,,,,,,,2026-08-10,,,
15,v9_both,weekly,499,80.63858456765232,63.03182681421068,0.3026052104208417,1,17.60675775344165,,,,,,,2026-08-17,,,
15,v9_both,weekly,1175,-104.04572520834724,-48.939170568400534,0.2604255319148936,1,-55.1065546399467,,,,,,,2026-08-24,,,
15,v9_both,weekly,536,-1.9722508326974515,-3.4036041569704585,0.2873134328358209,1,1.431353324273011,,,,,,,2026-08-31,,,
15,v9_both,weekly,683,-9.013313638129237,-9.621771841505684,0.2840409956076135,1,0.6084582033764407,,,,,,,2026-09-07,,,
15,v9_both,weekly,499,22.143859071959824,7.203870686529495,0.2665330661322645,1,14.939988385430336,,,,,,,2026-09-14,,,
15,v9_both,weekly,145,-88.0902438415567,-18.017777037035707,0.27586206896551724,1,-70.07246680452099,,,,,,,2026-09-21,,,
60,joint,weekly,47,-251.48518651783164,-112.52335658578258,0.14893617021276595,1,-138.9618299320491,,,,,,,2026-07-20,,,
60,joint,weekly,54,92.89309214087446,145.49640786243415,0.2962962962962963,1,-52.603315721559646,,,,,,,2026-07-27,,,
60,joint,weekly,146,134.75837867002159,138.9753400095682,0.4589041095890411,1,-4.216961339546701,,,,,,,2026-08-03,,,
60,joint,weekly,47,-108.55703414650874,126.36559800828961,0.40425531914893614,1,-234.92263215479835,,,,,,,2026-08-10,,,
60,joint,weekly,109,855.6658249033052,574.7560378182254,0.5504587155963303,1,280.90978708508004,,,,,,,2026-08-17,,,
60,joint,weekly,22,-273.47159761604775,-50.977406637114306,0.36363636363636365,1,-222.4941909789334,,,,,,,2026-08-24,,,
60,joint,weekly,124,-1.0592661524540985,152.13981316394853,0.41935483870967744,1,-153.19907931640262,,,,,,,2026-08-31,,,
60,joint,weekly,64,-153.35402065727493,31.975235944246855,0.3125,1,-185.32925660152182,,,,,,,2026-09-07,,,
60,joint,weekly,35,190.30541608173226,387.2465444847351,0.5428571428571428,1,-196.94112840300284,,,,,,,2026-09-14,,,
60,joint,weekly,3,-702.6349085647595,-458.66633073228934,0.0,1,-243.96857783247037,,,,,,,2026-09-21,,,
60,v9_both,weekly,147,-62.649514982635985,-4.951012775665613,0.3333333333333333,1,-57.69850220697037,,,,,,,2026-07-20,,,
60,v9_both,weekly,149,118.08872897928569,68.82696045383418,0.3825503355704698,1,49.261768525451544,,,,,,,2026-07-27,,,
60,v9_both,weekly,187,104.55344363830953,186.9046157356032,0.47593582887700536,1,-82.35117209729363,,,,,,,2026-08-03,,,
60,v9_both,weekly,145,2.7922019153309896,28.62041892554465,0.4206896551724138,1,-25.82821701021365,,,,,,,2026-08-10,,,
60,v9_both,weekly,148,630.2800192898692,449.6297960187992,0.527027027027027,1,180.65022327107005,,,,,,,2026-08-17,,,
60,v9_both,weekly,60,-292.144911159319,-39.09659736583115,0.3333333333333333,1,-253.04831379348784,,,,,,,2026-08-24,,,
60,v9_both,weekly,225,-133.75500764715014,35.80939920877629,0.29777777777777775,1,-169.5644068559264,,,,,,,2026-08-31,,,
60,v9_both,weekly,144,-72.2580648975784,44.647331724251245,0.3402777777777778,1,-116.90539662182965,,,,,,,2026-09-07,,,
60,v9_both,weekly,61,-86.5549839376347,-127.20955591375625,0.13114754098360656,1,40.65457197612156,,,,,,,2026-09-14,,,
60,v9_both,weekly,3,-672.519334878981,-491.61878328413627,0.0,1,-180.90055159484473,,,,,,,2026-09-21,,,
15,joint,periods,2,-844.9910248539825,-442.71326883431703,0.0,1,-402.2777560196655,,,,,,,,cross_split,,
15,joint,periods,1318,34.79081608697449,29.542653486944605,0.2936267071320182,5,5.248162600029878,-19.956896006966048,31.328199819885107,0.40625,0.03125,,,,earlier,,
15,joint,periods,1372,-39.298013563219264,-14.90509644648767,0.29300291545189505,5,-24.39291711673159,-59.74712214216993,26.027761445931834,0.84375,0.03125,,,,later,,
15,v9_both,periods,6,224.27125280060866,-440.267289379992,0.0,1,664.5385421806006,,,,,,,,cross_split,,
15,v9_both,periods,2739,-1.805230175015095,19.531701998567705,0.2778386272362176,5,-21.336932173582802,-47.64628400921427,-0.5380247585644028,0.9375,0.03125,,,,earlier,,
15,v9_both,periods,3038,-43.18309626764117,-21.36845740998918,0.27221856484529294,5,-21.814638857651993,-47.24299798228303,6.124263031306303,0.78125,0.03125,,,,later,,
60,joint,periods,1,2406.928793053999,2443.911378899141,1.0,1,-36.98258584514197,,,,,,,,cross_split,,
60,joint,periods,398,240.76168178922873,222.96186513843074,0.41708542713567837,5,17.799816650798,-138.32876355644078,164.4504599281542,0.5,0.03125,,,,earlier,,
60,joint,periods,248,-46.00643804579277,128.90273811094258,0.39919354838709675,5,-174.90917615673536,-213.48818075497638,-158.50349809042498,1.0,0.03125,,,,later,,
60,v9_both,periods,9,453.33180289305096,591.5315100489495,0.5555555555555556,2,-138.19970715589852,-187.867568038656,-131.99122454555385,1.0,0.25,,,,cross_split,,
60,v9_both,periods,764,155.81127212628303,144.2114918134631,0.4280104712041885,5,11.599780312819917,-63.20187427546728,110.87602446380426,0.4375,0.03125,,,,earlier,,
60,v9_both,periods,493,-132.50739302282327,5.894311334128674,0.2920892494929006,5,-138.40170435695194,-198.29969375319385,-33.6821699624535,0.9375,0.03125,,,,later,,
15,joint,symbols,6,-185.42428293240496,-157.39947619360115,0.16666666666666666,4,-28.024806738803836,-116.61800251911441,147.28298437494374,0.5625,0.0625,,,,,0GUSDT,
15,joint,symbols,3,240.68055427038735,337.9573298521336,0.6666666666666666,3,-97.27677558174635,-337.607703425757,337.93244198905296,0.625,0.125,,,,,1000000BOBUSDT,
15,joint,symbols,3,-140.52050870066967,218.39605619843505,0.6666666666666666,3,-358.9165648991047,-840.245911409805,121.20271001999402,0.875,0.125,,,,,1000000MOGUSDT,
15,joint,symbols,2,-52.21169470763251,-147.0958651641305,0.0,2,94.884170456498,-67.042854840865,256.811195753861,0.5,0.25,,,,,1000BONKUSDT,
15,joint,symbols,4,-104.91594997636076,185.22371861479326,0.5,4,-290.139668591154,-784.7967801489519,-6.5611368984445155,0.9375,0.0625,,,,,1000CATUSDT,
15,joint,symbols,3,44.38703760545667,-65.297262211842,0.3333333333333333,3,109.68429981729867,-212.32694310440797,522.339550259959,0.375,0.125,,,,,1000CHEEMSUSDT,
15,joint,symbols,7,-180.37802308115585,-101.94076302682416,0.14285714285714285,5,-78.4372600543317,-116.74680057323667,-32.735306089493676,0.96875,0.03125,,,,,1000FLOKIUSDT,
15,joint,symbols,4,-173.91026714848348,-93.05445499730774,0.0,3,-80.85581215117574,-209.075475337988,153.50873511152702,0.75,0.125,,,,,1000LUNCUSDT,
15,joint,symbols,6,582.7532488908851,-125.28658984473634,0.0,6,708.0398387356214,-92.69272150674144,2215.5150808669255,0.40625,0.015625,,,,,1000PEPEUSDT,
15,joint,symbols,8,-275.43702871834097,-174.8378636463555,0.125,5,-100.5991650719855,-214.59036625362543,71.83716597498199,0.875,0.03125,,,,,1000RATSUSDT,
15,joint,symbols,3,-2.142190756982681,-202.19240368077166,0.0,3,200.05021292378896,-53.69069862337102,644.253821978322,0.375,0.125,,,,,1000SATSUSDT,
15,joint,symbols,4,-70.42307978402175,185.23682920671627,0.75,4,-255.659908990738,-613.4804198504693,80.4038698324735,0.8125,0.0625,,,,,1000SHIBUSDT,
15,joint,symbols,7,-22.15264246976241,79.20469386225771,0.2857142857142857,5,-101.35733633202015,-395.106885130144,259.4341468873318,0.6875,0.03125,,,,,1000XECUSDT,
15,joint,symbols,4,31.804143352936496,-21.987257602547995,0.25,4,53.79140095548449,-47.932315484457,201.01287764058296,0.375,0.0625,,,,,1INCHUSDT,
15,joint,symbols,5,-167.925794958885,-13.532607499077999,0.2,4,-154.393187459807,-245.817852440775,-86.446577121966,1.0,0.0625,,,,,1MBABYDOGEUSDT,
15,joint,symbols,3,-129.636885969936,-124.87016751427866,0.0,3,-4.76671845565734,-44.460374215269006,22.756472938122997,0.625,0.125,,,,,2ZUSDT,
15,joint,symbols,10,629.5295198938243,-185.3221521931687,0.1,8,814.851672086993,-14.817877990815273,1753.2076809121857,0.1015625,0.00390625,,,,,4USDT,
15,joint,symbols,5,-86.5765948859848,160.35283242038682,0.4,5,-246.9294273063716,-614.4792158176475,-42.34617143739061,1.0,0.03125,,,,,AAVEUSDT,
15,joint,symbols,8,1949.6983374889119,-142.24146990774688,0.375,5,2091.9398073966586,-324.10924827076633,8664.206402355352,0.4375,0.03125,,,,,ACEUSDT,
15,joint,symbols,11,103.19322132035933,120.87959494734955,0.2727272727272727,7,-17.68637362699019,-310.11034954060455,218.89253766146734,0.546875,0.0078125,,,,,ACHUSDT,
15,joint,symbols,5,-20.969607702106998,-30.3823791185612,0.4,4,9.412771416454186,-171.04404512250701,280.09799622489595,0.5,0.0625,,,,,ACTUSDT,
15,joint,symbols,9,297.6301400888312,165.83210406844032,0.5555555555555556,8,131.79803602039078,-147.71626938634031,519.977269381641,0.34375,0.00390625,,,,,ACUUSDT,
15,joint,symbols,1,-146.220528697308,-71.382432101785,0.0,1,-74.838096595523,,,,,,,,,ACXUSDT,
