timeframe_min,arm,status,count
15,joint,censored_boundary,53
15,joint,closed,2736
15,joint,skipped_in_position,1
15,v9_both,censored_boundary,71
15,v9_both,closed,5842
15,v9_both,skipped_in_position,1147
60,joint,censored_boundary,33
60,joint,closed,656
60,v9_both,censored_boundary,41
60,v9_both,closed,1281
60,v9_both,skipped_in_position,293
