timeframe_min,arm,period,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r
15,joint,cross_split,2,0,2,0,0.0,0.0,0.6576197760453506,0.0,-0.5652945105382968,-1.1305890210765936,-0.5652945105382968,-844.9910248539825,-824.9910248539825,0.0,,-0.5652945105382968,-0.4908471910112346,-0.6397418300653591,1.1305890210765936,32.75,32.75,1436.8501993425352,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,earlier,1323,388,935,0,0.29327286470143615,0.26936777362228714,0.31837498468646086,0.30839002267573695,0.2654098648838838,351.13725124137824,-1.069987012987012,34.26926315963701,54.26926315963702,1.3568610431531527,3.440974169153825,-1.0523644132516639,78.61485477178441,-2.0886936416184967,235.86807761521402,13.748299319727892,8.25,157.79383571744398,1189,816,22,60,28,629,745,33,1274,768,886,8,874,393,486,1,668,222,280,4,462,72,84,2,312,24,24,2,161,6,6,0,58,1,1,0
15,joint,later,1411,361,1050,0,0.25584691708008506,0.23376408678926813,0.2792555553232929,0.26080793763288446,-0.20115545069680602,-283.83034093319327,-1.079333333333334,-40.58221492002653,-20.582214920026516,0.7388379739794989,2.224286861857948,-1.0350456172037261,24.859655172413778,-1.9914074074074104,440.9043784504116,11.518958185683912,6.5,185.684336627732,1272,923,8,29,10,761,886,31,1373,885,1012,9,871,398,510,3,658,225,298,2,415,54,64,0,268,10,10,0,122,2,2,0,30,0,0,0
15,v9_both,cross_split,6,2,4,0,0.3333333333333333,0.09677141021353453,0.7000066870052566,0.3333333333333333,0.250670951380704,1.504025708284224,-0.2818286587967562,224.27125280060866,244.27125280060864,1.5608846934446137,2.0927748020635377,-0.6703809739607128,2.174535980148879,-1.0801000000000005,2.6087137692605733,31.458333333333332,29.625,715.6976218377595,4,2,0,0,0,2,4,0,6,2,4,0,3,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,v9_both,earlier,2755,775,1980,0,0.2813067150635209,0.2648302179833348,0.29839223681889776,0.2943738656987296,0.030877788739844564,85.06830797827178,-1.0764571428571423,-1.1849435800856374,18.815056419914367,1.0406524066288483,2.8098654490470008,-1.0568572803197744,80.7416571428571,-2.8925263157896213,486.45456812452505,14.027041742286752,8.75,146.77314914741999,2415,1687,44,84,31,1306,1592,61,2662,1596,1887,15,1822,811,1047,2,1366,434,592,5,890,120,149,3,567,32,32,4,250,8,8,1,71,1,1,1
15,v9_both,later,3081,793,2288,0,0.25738396624472576,0.24225531021159505,0.2731168669562536,0.26517364492048034,-0.19212369712028013,-591.933110827583,-1.0770740740740732,-44.02078353939098,-24.020783539390965,0.7476871420298472,2.211973784704754,-1.025362028889184,24.859655172413778,-1.9914074074074104,1016.689133692645,14.128691983122362,7.75,190.901705930138,2693,1969,29,69,14,1607,1922,65,3000,1888,2207,13,1931,879,1138,6,1435,474,644,8,869,102,130,0,538,17,18,0,238,2,2,0,49,0,0,0
60,joint,cross_split,1,1,0,0,1.0,0.2065493117918027,1.0,1.0,17.45046124763703,17.45046124763703,17.45046124763703,2406.928793053999,2426.928793053999,,17.45046124763703,,17.45046124763703,17.45046124763703,0.0,107.0,107.0,137.929236304852,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
60,joint,earlier,402,170,232,0,0.4228855721393035,0.3755467936843183,0.47168419111722626,0.42786069651741293,0.9029149427900756,362.9718070016104,-1.0181237989544956,245.3472935612255,265.3472935612255,2.549487595329431,3.513085920617328,-1.0097103426867904,49.90969230769294,-1.3708453608247366,63.431126686835945,52.51243781094527,45.5,320.22104047107746,372,207,2,31,7,179,202,11,398,203,228,0,304,113,134,1,246,61,76,4,185,16,19,1,153,2,2,1,94,0,0,0,32,0,0,0
60,joint,later,253,78,175,0,0.308300395256917,0.2546191616079956,0.36771595351518116,0.31225296442687744,0.0244398385750718,6.183279159493166,-1.034280821917808,-53.79042933032484,-33.790429330324834,1.035957630940311,2.28388995675336,-0.9826293569558223,25.983122302158147,-1.3422914572864248,66.0501353895736,53.1501976284585,35.0,383.615889122634,233,160,1,7,3,150,165,10,251,158,173,1,178,88,100,2,138,51,60,0,92,17,18,0,54,0,0,0,28,0,0,0,6,0,0,0
60,v9_both,cross_split,9,4,5,0,0.4444444444444444,0.18877851977054566,0.7333487081991259,0.4444444444444444,2.144075005061507,19.296675045553563,-0.1692319749216304,453.33180289305096,473.33180289305113,8.73210180768695,5.44808304515951,-0.49913142701689645,18.017780202649984,-1.0631504424778786,1.8290760477368124,135.22222222222223,128.0,584.192439862543,5,1,0,1,1,1,5,0,9,1,5,0,8,1,4,0,6,0,2,0,4,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0
60,v9_both,earlier,767,312,455,0,0.4067796610169492,0.3725631771986684,0.4419252648117906,0.41199478487614083,0.5598040729083157,429.3697239206781,-1.0188009708737868,153.25105838646172,173.25105838646172,1.9418246553469005,2.837375272083731,-1.0019590350976837,49.90969230769294,-1.3708453608247366,104.43419883633564,62.16297262059974,49.0,299.384042400803,684,393,4,39,9,345,405,16,759,385,447,4,558,197,246,2,440,98,131,5,321,21,24,1,232,2,2,1,119,0,0,0,32,0,0,0
60,v9_both,later,505,125,380,0,0.24752475247524752,0.21188402361691827,0.2869775656870949,0.2514851485148515,-0.21933331742066817,-110.76332529743742,-1.0363645833333337,-130.5478888880018,-110.5478888880018,0.6995909249080756,2.063559955158262,-0.9702850518216319,25.983122302158147,-1.3422914572864248,173.6065871273711,55.902970297029704,38.0,386.247877758912,445,328,3,7,3,306,358,14,502,325,377,1,325,159,200,3,246,90,121,0,141,21,22,0,80,0,0,0,35,0,0,0,8,0,0,0
