timeframe_min,arm,week,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r
15,joint,2026-07-20,114,23,91,0,0.20175438596491227,0.1383706417318612,0.2845828701684139,0.22807017543859648,-0.4603638827677035,-52.4814826355182,-1.084315789473683,-78.99902878663555,-58.99902878663554,0.43842128470816827,1.7813909882758618,-1.0269612677567366,7.703235294117652,-1.682975609756126,73.9099718842415,11.971491228070175,8.5,161.04035695091846,103,80,3,2,0,61,71,6,111,77,88,0,71,40,48,0,57,28,34,0,38,13,15,0,22,4,4,0,9,0,0,0,2,0,0,0
15,joint,2026-07-27,278,61,217,0,0.21942446043165467,0.1747810406075483,0.27171628941903603,0.23381294964028776,-0.2636534876025286,-73.29566955350295,-1.0950022947925877,-27.251476577175342,-7.251476577175345,0.6816744023757844,2.5730836454471233,-1.0610772899805414,49.35325405405423,-1.480000000000005,131.31456179500455,10.726618705035971,7.625,162.7969845937605,254,196,5,6,1,155,176,1,264,182,203,2,170,91,109,0,119,44,58,1,70,9,11,1,40,3,3,1,23,1,1,0,7,1,1,0
15,joint,2026-08-03,427,154,273,0,0.36065573770491804,0.3165388777431259,0.40725743399300524,0.3747072599531616,0.13567930543807302,57.93506342205718,-1.045995807127882,20.872273572670675,40.87227357267068,1.1993843138262121,2.2630186988579326,-1.064358301106463,22.482898550724496,-2.0237500000000224,110.09092542619284,16.125878220140514,9.75,142.237222757953,380,234,6,12,5,174,213,12,415,222,261,1,297,114,143,0,235,64,81,1,176,24,27,0,128,7,7,1,58,2,2,0,13,0,0,0
15,joint,2026-08-10,259,64,195,0,0.2471042471042471,0.19852499742445584,0.30307569921769006,0.26640926640926643,0.008082367656887796,2.093333223133939,-1.069021276595746,17.722791529872683,37.72279152987268,1.0104407526271715,3.1654644440728177,-1.0281866215257762,78.61485477178441,-2.0886936416184967,77.36401794299961,11.83011583011583,7.0,175.87939698492298,225,163,5,5,4,125,156,10,249,154,185,4,170,82,106,1,129,50,65,1,83,17,20,1,48,6,6,0,18,2,2,0,6,0,0,0
15,joint,2026-08-17,247,86,161,0,0.3481781376518219,0.2915033016346774,0.40950306176918183,0.3562753036437247,1.6832203148345415,415.7554177641317,-1.0545539906103276,189.17971278888908,209.17971278888908,3.4410558939984504,6.814805563770729,-1.0578749113052857,41.86333333333372,-1.7064705882352778,77.18561849869283,16.024291497975707,8.75,176.014711677394,227,143,3,35,18,114,131,4,237,133,151,1,166,66,80,0,128,36,42,1,95,9,11,0,74,4,4,0,53,1,1,0,30,0,0,0
15,joint,2026-08-24,495,80,415,0,0.16161616161616163,0.13181494625742396,0.19662900314631565,0.16363636363636364,-0.5185324375448211,-256.6735565846865,-1.0838095238095258,-99.27185747420582,-79.2718574742058,0.3984995604728054,2.125607330486517,-1.02824612776773,24.859655172413778,-1.9914074074074104,272.90175611675755,9.537878787878787,5.25,200.974421437271,437,361,1,6,2,302,355,14,479,345,399,3,288,160,208,2,192,84,112,1,107,24,29,0,64,7,7,0,29,2,2,0,4,0,0,0
15,joint,2026-08-31,304,131,173,0,0.4309210526315789,0.37645794586344317,0.48710818927433486,0.4375,0.357960040515358,108.81985231666883,-0.7406195445920342,77.02778304544175,97.02778304544178,1.6187600090660348,2.1731868383616395,-1.0165758584318259,13.603205479452162,-1.24263157894736,75.08260114128043,17.439144736842106,15.0,171.235139693211,270,146,2,10,4,122,148,8,296,138,165,5,227,71,96,1,197,46,67,1,135,11,11,0,94,1,1,0,37,0,0,0,11,0,0,0
15,joint,2026-09-07,265,30,235,0,0.11320754716981132,0.08045861945491004,0.15701018147688559,0.11320754716981132,-0.7937479960129208,-210.343218943424,-1.1062047244094495,-134.82791413797864,-114.82791413797862,0.16032572481910173,1.3387504351264516,-1.065981838286032,5.003925925925936,-1.407820359281455,225.17837458270853,7.508490566037736,4.0,175.96566523605102,246,217,0,1,0,168,186,6,255,207,225,1,121,76,91,0,84,46,54,0,44,13,15,0,20,1,1,0,7,0,0,0,1,0,0,0
15,joint,2026-09-14,223,80,143,0,0.35874439461883406,0.29867480330758384,0.42359818721763015,0.3721973094170404,0.49402251695338706,110.16702128060531,-1.0374895833333342,46.6474695367343,66.64746953673429,1.7643046708240517,3.1788401542571747,-1.0079733640557251,19.689782608695932,-1.3448786677240263,82.70745523896998,12.938340807174887,8.25,193.344732342496,201,121,4,12,4,102,124,3,220,118,140,0,151,53,71,0,126,36,46,0,85,5,5,0,66,1,1,0,41,0,0,0,12,0,0,0
15,joint,2026-09-21,124,40,84,0,0.3225806451612903,0.246703990895697,0.4091197114851159,0.33064516129032256,-0.288713217760943,-35.80043900235693,-1.081896660482375,-50.091696035219805,-30.091696035219798,0.600272931941099,1.3440442368013872,-1.066216767552529,3.8236976744186104,-1.2729645603477084,53.41338551052526,10.931451612903226,5.125,180.6725709131405,118,78,1,0,0,67,73,0,123,77,83,0,84,38,44,0,59,13,19,0,44,1,4,0,24,0,0,0,8,0,0,0,2,0,0,0
