timeframe_min,arm,symbol,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r
15,joint,BTCUSDT,6,2,4,0,0.3333333333333333,0.09677141021353453,0.7000066870052566,0.3333333333333333,0.11271073659938546,0.6762644195963128,-0.9601520821547134,-2.835991447016833,17.164008552983166,1.1532397320664884,2.5446892510976404,-1.103278520649742,2.982345952023945,-1.2729645603477084,2.4826216572084574,12.916666666666666,16.625,93.183449373533,5,3,0,0,0,2,3,0,6,3,4,0,5,2,3,0,3,1,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
15,joint,ETHUSDT,7,2,5,0,0.2857142857142857,0.08221892324928332,0.6410655504689458,0.2857142857142857,-0.537661477360805,-3.7636303415256354,-1.20117722534082,-10.42325384025243,9.57674615974757,0.4497113601412152,1.537872306786654,-1.3678749910197885,1.9064750483559143,-2.0886936416184967,4.4689281645407295,11.964285714285714,9.5,89.320850852302,6,4,0,0,0,2,3,0,7,4,5,0,5,2,3,0,3,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
15,v9_both,BTCUSDT,8,4,4,0,0.5,0.21521606069626764,0.7847839393037324,0.5,0.5286262807931306,4.2290102463450445,0.06223700529413828,30.572920589014878,50.57292058901487,1.905845312232695,2.2243972686448905,-1.1671447070586292,3.9803809155882273,-1.465121842496298,1.9304924253905105,15.1875,18.75,70.923400173858,7,3,0,0,0,2,3,0,8,3,4,0,7,2,3,0,5,1,1,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
15,v9_both,ETHUSDT,12,3,9,0,0.25,0.08894166769488562,0.5323053370816633,0.25,-0.5973417274997342,-7.1681007299968105,-1.199803914732267,-30.098419022238243,-10.098419022238247,0.40366696896554183,1.6173990842544839,-1.3355886647511401,1.9064750483559143,-2.0886936416184967,7.624662784049557,11.541666666666666,7.75,82.360954593079,11,8,0,0,0,4,5,0,12,8,9,0,7,3,4,0,4,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
60,joint,ETHUSDT,2,1,1,0,0.5,0.09453120463920084,0.9054687953607992,0.5,8.347601369993976,16.695202739987952,8.347601369993976,1077.2023201463385,1097.2023201463385,23.10528258987207,17.45046124763703,-0.7552585076490792,17.45046124763703,-0.7552585076490792,0.7552585076490792,113.0,113.0,236.14191586163201,1,0,0,1,1,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
60,v9_both,BTCUSDT,3,2,1,0,0.6666666666666666,0.2076595988078242,0.9385080559790691,0.6666666666666666,0.8475259286441098,2.5425777859323295,0.7992622647330899,97.86948549711032,117.86948549711035,3.805173580715042,1.7244832698510746,-0.9063887537698196,2.6497042749690594,-0.9063887537698196,0.9063887537698196,77.0,44.0,135.596415080211,2,0,0,0,0,0,1,0,3,0,1,0,3,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,v9_both,ETHUSDT,3,1,2,0,0.3333333333333333,0.06149194402093078,0.7923404011921757,0.3333333333333333,5.34979749916839,16.04939249750517,-0.7552585076490792,681.8522247311064,701.8522247311063,9.153572822852206,18.017780202649984,-0.9841938525724065,18.017780202649984,-1.213129197495734,1.968387705144813,94.33333333333333,108.0,133.863361295438,2,1,0,1,1,1,2,0,3,1,2,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
